"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 15:24:33 CST 2025","Thu Jan 02 15:25:15 CST 2025","42567","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"passed","Thu Jan 02 16:09:43 CST 2025","Thu Jan 02 16:10:05 CST 2025","21184","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"passed","Thu Jan 02 16:02:57 CST 2025","Thu Jan 02 16:04:02 CST 2025","65865","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in clp page",""
"passed","Thu Jan 02 16:04:02 CST 2025","Thu Jan 02 16:05:43 CST 2025","100305","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in plp page",""
"passed","Thu Jan 02 15:17:51 CST 2025","Thu Jan 02 15:18:30 CST 2025","38433","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"broken","Thu Jan 02 14:45:30 CST 2025","Thu Jan 02 14:47:06 CST 2025","96036","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"broken","Thu Jan 02 14:58:10 CST 2025","Thu Jan 02 15:01:05 CST 2025","174298","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Thu Jan 02 15:52:21 CST 2025","Thu Jan 02 15:52:47 CST 2025","26260","","Store Locator Scenarios","","","","Verify the funtionality of store selector in coupons page",""
"passed","Thu Jan 02 14:47:45 CST 2025","Thu Jan 02 14:48:46 CST 2025","61286","","E2E - Checkout Scenarios -STM","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"broken","Thu Jan 02 16:02:02 CST 2025","Thu Jan 02 16:03:29 CST 2025","87756","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Thu Jan 02 15:42:25 CST 2025","Thu Jan 02 15:42:46 CST 2025","21213","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"passed","Thu Jan 02 15:58:32 CST 2025","Thu Jan 02 15:58:59 CST 2025","27151","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from home page",""
"broken","Thu Jan 02 15:05:17 CST 2025","Thu Jan 02 15:07:18 CST 2025","120709","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - STM, SDD",""
"broken","Thu Jan 02 15:41:42 CST 2025","Thu Jan 02 15:42:09 CST 2025","27161","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"broken","Thu Jan 02 15:59:04 CST 2025","Thu Jan 02 16:00:35 CST 2025","91528","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"broken","Thu Jan 02 15:09:39 CST 2025","Thu Jan 02 15:11:59 CST 2025","139931","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, SDD",""
"passed","Thu Jan 02 15:32:02 CST 2025","Thu Jan 02 15:33:22 CST 2025","80753","","Cart page Scenarios","","","","[Sign-in User] Verify items in the cart and store Name persist when the guest user signin, signout and re signin",""
