"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 04 19:42:07 IST 2024","Wed Dec 04 19:46:10 IST 2024","242326","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Wed Dec 04 21:21:29 IST 2024","Wed Dec 04 21:24:33 IST 2024","184524","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Wed Dec 04 19:52:47 IST 2024","Wed Dec 04 19:55:19 IST 2024","151689","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Wed Dec 04 20:07:09 IST 2024","Wed Dec 04 20:07:36 IST 2024","27077","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Wed Dec 04 19:54:02 IST 2024","Wed Dec 04 19:54:55 IST 2024","52947","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Wed Dec 04 20:02:38 IST 2024","Wed Dec 04 20:03:14 IST 2024","35940","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"passed","Wed Dec 04 19:55:15 IST 2024","Wed Dec 04 19:55:49 IST 2024","33819","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"broken","Wed Dec 04 20:04:50 IST 2024","Wed Dec 04 20:06:23 IST 2024","93269","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Wed Dec 04 19:57:44 IST 2024","Wed Dec 04 19:58:46 IST 2024","62114","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"broken","Wed Dec 04 20:02:09 IST 2024","Wed Dec 04 20:03:12 IST 2024","62925","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Wed Dec 04 19:54:55 IST 2024","Wed Dec 04 19:55:15 IST 2024","20543","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Wed Dec 04 19:58:46 IST 2024","Wed Dec 04 19:59:23 IST 2024","37530","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"passed","Wed Dec 04 20:00:51 IST 2024","Wed Dec 04 20:01:13 IST 2024","21942","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"passed","Wed Dec 04 19:59:23 IST 2024","Wed Dec 04 20:00:07 IST 2024","43963","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"passed","Wed Dec 04 19:47:40 IST 2024","Wed Dec 04 19:47:54 IST 2024","14101","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"broken","Wed Dec 04 21:45:42 IST 2024","Wed Dec 04 21:46:32 IST 2024","50931","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Wed Dec 04 19:58:02 IST 2024","Wed Dec 04 19:59:15 IST 2024","73198","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Wed Dec 04 20:01:50 IST 2024","Wed Dec 04 20:02:22 IST 2024","31908","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Wed Dec 04 20:08:01 IST 2024","Wed Dec 04 20:08:25 IST 2024","24254","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"passed","Wed Dec 04 19:51:04 IST 2024","Wed Dec 04 19:52:40 IST 2024","95898","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"broken","Wed Dec 04 19:51:07 IST 2024","Wed Dec 04 19:52:34 IST 2024","86882","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Wed Dec 04 19:55:19 IST 2024","Wed Dec 04 19:55:41 IST 2024","22038","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Wed Dec 04 20:03:14 IST 2024","Wed Dec 04 20:03:43 IST 2024","28522","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"passed","Wed Dec 04 20:03:43 IST 2024","Wed Dec 04 20:04:06 IST 2024","23382","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"broken","Wed Dec 04 19:45:11 IST 2024","Wed Dec 04 19:46:54 IST 2024","102380","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Wed Dec 04 19:55:49 IST 2024","Wed Dec 04 19:57:30 IST 2024","100559","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Wed Dec 04 20:07:36 IST 2024","Wed Dec 04 20:08:01 IST 2024","24551","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Wed Dec 04 20:01:13 IST 2024","Wed Dec 04 20:01:50 IST 2024","36393","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Wed Dec 04 20:06:23 IST 2024","Wed Dec 04 20:07:09 IST 2024","46365","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"passed","Wed Dec 04 19:59:36 IST 2024","Wed Dec 04 20:00:52 IST 2024","75668","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Wed Dec 04 19:57:19 IST 2024","Wed Dec 04 19:58:02 IST 2024","43730","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"broken","Wed Dec 04 19:48:07 IST 2024","Wed Dec 04 19:49:09 IST 2024","62053","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Wed Dec 04 20:00:18 IST 2024","Wed Dec 04 20:00:51 IST 2024","33682","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Wed Dec 04 20:04:06 IST 2024","Wed Dec 04 20:04:27 IST 2024","20827","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"broken","Wed Dec 04 19:44:49 IST 2024","Wed Dec 04 19:47:03 IST 2024","133824","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
