"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"5","","1","Cart page Scenarios","1","0","","0"
"1","","1","E2E - Checkout Scenarios -BOPIS","0","0","","0"
"1","","0","Home Page Scenarios","6","0","","0"
"0","","0","Global Scenarios - Headers & Footer","4","0","","0"
"4","","1","Product Landing Page Scenarios","3","0","","0"
"1","","0","E2E - Classes, Events & Project Scenarios","0","0","","0"
"0","","4","E2E - Checkout Mixcart Scenarios","0","0","","0"
"0","","0","E2E - Signup & My Account Scenarios","1","0","","0"
"0","","0","Birthday Party Scenarios","4","0","","0"
"1","","0","Sign In and Sign Up pages Scenarios","3","0","","0"
"1","","0","Mega menu Scenarios","3","0","","0"
"2","","0","E2E - Checkout Scenarios -STM","0","0","","0"
"0","","1","E2E - Checkout Scenarios -SDD","0","0","","0"
"0","","0","E2E - EventHub portal Scenarios","1","0","","0"
