"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","152929","[Guest User] Verify Zip code change for Same Day Delivery","","Tue Mar 04 15:29:46 IST 2025","failed","Tue Mar 04 15:32:19 IST 2025","","Cart page Scenarios","",""
"","96320","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Tue Mar 04 15:03:48 IST 2025","failed","Tue Mar 04 15:05:24 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","141832","Verify invalid search keywords display proper error message","","Tue Mar 04 15:22:24 IST 2025","broken","Tue Mar 04 15:24:46 IST 2025","","Home Page Scenarios","",""
"","24811","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page","","Tue Mar 04 15:30:59 IST 2025","passed","Tue Mar 04 15:31:24 IST 2025","","Global Scenarios - Headers & Footer","",""
"","38139","Verify all shipping methods are displayed in PLP page","","Tue Mar 04 15:31:08 IST 2025","passed","Tue Mar 04 15:31:46 IST 2025","","Product Landing Page Scenarios","",""
"","24061","Apply multiple filters on the PLP page","","Tue Mar 04 15:32:41 IST 2025","broken","Tue Mar 04 15:33:05 IST 2025","","Product Landing Page Scenarios","",""
"","108630","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card","","Tue Mar 04 15:09:42 IST 2025","broken","Tue Mar 04 15:11:30 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","42648","Validate marque banner gets frozen when it is paused","","Tue Mar 04 15:25:05 IST 2025","passed","Tue Mar 04 15:25:47 IST 2025","","Home Page Scenarios","",""
"","100321","[Guest user][.com]Place order using shipping methods - BOPIS, STM","","Tue Mar 04 15:07:50 IST 2025","failed","Tue Mar 04 15:09:30 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","97176","[Sign-up] Email-Sign up michaels offers email from footer","","Tue Mar 04 15:10:49 IST 2025","passed","Tue Mar 04 15:12:26 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","95481","Verify AddToCart functionality in PLP page","","Tue Mar 04 15:25:16 IST 2025","broken","Tue Mar 04 15:26:52 IST 2025","","Product Landing Page Scenarios","",""
"","92913","Verify ViewOptions functionality in PLP page","","Tue Mar 04 15:28:18 IST 2025","broken","Tue Mar 04 15:29:51 IST 2025","","Product Landing Page Scenarios","",""
"","101661","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD","","Tue Mar 04 15:04:32 IST 2025","failed","Tue Mar 04 15:06:14 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","64099","guest user books a party with Add-On and verifies the order in admin portal","","Tue Mar 04 15:07:28 IST 2025","passed","Tue Mar 04 15:08:32 IST 2025","","Birthday Party Scenarios","",""
"","32127","Verify social login options on sign up page","","Tue Mar 04 15:26:01 IST 2025","passed","Tue Mar 04 15:26:33 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","54631","signedIn user books a party with Add-On and verifies the order in admin portal","","Tue Mar 04 15:08:32 IST 2025","passed","Tue Mar 04 15:09:26 IST 2025","","Birthday Party Scenarios","",""
"","19196","Verify marque banner and links on homepage","","Tue Mar 04 15:18:50 IST 2025","passed","Tue Mar 04 15:19:09 IST 2025","","Home Page Scenarios","",""
"","40699","Verify pagination functionality in PLP page","","Tue Mar 04 15:30:27 IST 2025","failed","Tue Mar 04 15:31:08 IST 2025","","Product Landing Page Scenarios","",""
"","77850","Validate browsing through the megamenu to land on CLP or PLP","","Tue Mar 04 15:18:02 IST 2025","passed","Tue Mar 04 15:19:20 IST 2025","","Mega menu Scenarios","",""
"","97955","[Guest User]PlaceOrder using SHIP TO ME","","Tue Mar 04 15:00:18 IST 2025","broken","Tue Mar 04 15:01:56 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","29275","verify user is able to update zipcode for SDD in PLP","","Tue Mar 04 15:31:46 IST 2025","passed","Tue Mar 04 15:32:15 IST 2025","","Product Landing Page Scenarios","",""
"","22191","Verify sign in with invalid credentials displays error","","Tue Mar 04 15:28:58 IST 2025","passed","Tue Mar 04 15:29:20 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","112580","Navigating Back to Parent Category via Breadcrumb","","Tue Mar 04 15:15:13 IST 2025","broken","Tue Mar 04 15:17:05 IST 2025","","Mega menu Scenarios","",""
"","109044","[Guest User]PlaceOrder using Same Day Delivery","","Tue Mar 04 15:00:07 IST 2025","failed","Tue Mar 04 15:01:56 IST 2025","","E2E - Checkout Scenarios -SDD","",""
"","39415","Verify the user is able to click on the ""Back to Top"" up arrow button from home page","","Tue Mar 04 15:29:49 IST 2025","passed","Tue Mar 04 15:30:28 IST 2025","","Global Scenarios - Headers & Footer","",""
"","63367","Verify sign-in options on homepage","","Tue Mar 04 15:17:46 IST 2025","passed","Tue Mar 04 15:18:50 IST 2025","","Home Page Scenarios","",""
"","14337","Verify navigation to the classes & events from the Michaels Admin Portal","","Tue Mar 04 15:05:39 IST 2025","passed","Tue Mar 04 15:05:53 IST 2025","","E2E - EventHub portal Scenarios","",""
"","40230","Verify every link in all carousels on homepage","","Tue Mar 04 15:19:09 IST 2025","passed","Tue Mar 04 15:19:49 IST 2025","","Home Page Scenarios","",""
"","145862","[Guest User][.COM]Place order using SHIP TO ME with Gift Card","","Tue Mar 04 15:04:24 IST 2025","broken","Tue Mar 04 15:06:50 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","70822","Verifying the sort option using various available methods","","Tue Mar 04 15:19:39 IST 2025","passed","Tue Mar 04 15:20:50 IST 2025","","Product Landing Page Scenarios","",""
"","34655","Verify submenu navigation, disappearance, parent menu highlight, and options validation","","Tue Mar 04 15:17:27 IST 2025","passed","Tue Mar 04 15:18:02 IST 2025","","Mega menu Scenarios","",""
"","17214","Verify invalid email message for the forgot password","","Tue Mar 04 15:29:21 IST 2025","passed","Tue Mar 04 15:29:38 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","79111","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page","","Tue Mar 04 15:19:42 IST 2025","broken","Tue Mar 04 15:21:01 IST 2025","","Cart page Scenarios","",""
"","16563","Verify header labels are displayed in ellipses menu when browser window is minimized","","Tue Mar 04 15:19:49 IST 2025","passed","Tue Mar 04 15:20:06 IST 2025","","Home Page Scenarios","",""
"","75175","Guest user is able to signin from cart page via button","","Tue Mar 04 15:17:02 IST 2025","broken","Tue Mar 04 15:18:17 IST 2025","","Cart page Scenarios","",""
"","70917","signedIn user books a party without Add-On and verifies the order in admin portal","","Tue Mar 04 15:09:26 IST 2025","passed","Tue Mar 04 15:10:37 IST 2025","","Birthday Party Scenarios","",""
"","30389","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page","","Tue Mar 04 15:30:28 IST 2025","passed","Tue Mar 04 15:30:59 IST 2025","","Global Scenarios - Headers & Footer","",""
"","77761","Validate addition and removal of items quantity in the Cart Page","","Tue Mar 04 15:13:50 IST 2025","broken","Tue Mar 04 15:15:08 IST 2025","","Cart page Scenarios","",""
"","18719","Validate marque banner progression through automatic rotation","","Tue Mar 04 15:24:46 IST 2025","passed","Tue Mar 04 15:25:05 IST 2025","","Home Page Scenarios","",""
"","132546","[Guest user][.com]Place order using shipping methods - STM, SDD","","Tue Mar 04 15:11:54 IST 2025","failed","Tue Mar 04 15:14:06 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","98831","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Tue Mar 04 15:00:20 IST 2025","broken","Tue Mar 04 15:01:59 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","73176","Verify sign-up page fields and functionality","","Tue Mar 04 15:27:45 IST 2025","broken","Tue Mar 04 15:28:58 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","76965","guest user books a party without Add-On and verifies the order in admin portal","","Tue Mar 04 15:06:11 IST 2025","passed","Tue Mar 04 15:07:28 IST 2025","","Birthday Party Scenarios","",""
"","29716","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page","","Tue Mar 04 15:31:24 IST 2025","passed","Tue Mar 04 15:31:53 IST 2025","","Global Scenarios - Headers & Footer","",""
"","20658","Guest user is able to signin from cart page via signInlink","","Tue Mar 04 15:15:08 IST 2025","passed","Tue Mar 04 15:15:28 IST 2025","","Cart page Scenarios","",""
"","91897","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page","","Tue Mar 04 15:22:14 IST 2025","broken","Tue Mar 04 15:23:46 IST 2025","","Product Landing Page Scenarios","",""
"","81536","[Guest User] Verify successful PayPal account login from the Cart page","","Tue Mar 04 15:22:19 IST 2025","broken","Tue Mar 04 15:23:40 IST 2025","","Cart page Scenarios","",""
"","21683","Selecting subcategories for a product in the PLP","","Tue Mar 04 15:17:05 IST 2025","passed","Tue Mar 04 15:17:27 IST 2025","","Mega menu Scenarios","",""
"","111952","[Guest user][.com]Place order using shipping methods - BOPIS, SDD","","Tue Mar 04 15:15:43 IST 2025","failed","Tue Mar 04 15:17:35 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","145936","[Guest User] Verify successful PayPal account login from the Payment and Order Review page","","Tue Mar 04 15:25:06 IST 2025","broken","Tue Mar 04 15:27:32 IST 2025","","Cart page Scenarios","",""
