"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","108130","Verify default and changed store pickup options for products in the cart","","Tue Mar 04 14:23:27 IST 2025","broken","Tue Mar 04 14:25:15 IST 2025","","Store Locator Scenarios","",""
"","80863","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page","","Tue Mar 04 14:27:55 IST 2025","broken","Tue Mar 04 14:29:16 IST 2025","","Product Landing Page Scenarios","",""
"","22973","Selecting subcategories for a product in the PLP","","Tue Mar 04 14:15:51 IST 2025","passed","Tue Mar 04 14:16:14 IST 2025","","Mega menu Scenarios","",""
"","39821","Apply multiple filters on the PLP page","","Tue Mar 04 14:34:33 IST 2025","broken","Tue Mar 04 14:35:12 IST 2025","","Product Landing Page Scenarios","",""
"","141186","[Sign-in User][.com][MIKPro]Place order via PDP page","","Tue Mar 04 14:07:09 IST 2025","broken","Tue Mar 04 14:09:30 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","55123","Verify and validate each store details from the preview pane","","Tue Mar 04 14:20:08 IST 2025","passed","Tue Mar 04 14:21:03 IST 2025","","Store Locator Scenarios","",""
"","117749","[Guest user][.com][MIKPro]Place order via PDP page","","Tue Mar 04 14:05:11 IST 2025","broken","Tue Mar 04 14:07:09 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","75061","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page","","Tue Mar 04 14:21:38 IST 2025","broken","Tue Mar 04 14:22:53 IST 2025","","Cart page Scenarios","",""
"","54355","Verify the search functionality of Store Selector pane","","Tue Mar 04 14:21:03 IST 2025","passed","Tue Mar 04 14:21:57 IST 2025","","Store Locator Scenarios","",""
"","90718","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card","","Tue Mar 04 14:02:30 IST 2025","broken","Tue Mar 04 14:04:01 IST 2025","","E2E - Marketplace Scenarios","",""
"","34635","Verify social login options on sign up page","","Tue Mar 04 14:29:27 IST 2025","passed","Tue Mar 04 14:30:02 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","18805","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page","","Tue Mar 04 14:55:09 IST 2025","passed","Tue Mar 04 14:55:28 IST 2025","","Global Scenarios - Headers & Footer","",""
"","89505","Verify that the Store Locator can be changed multiple times","","Tue Mar 04 14:21:57 IST 2025","broken","Tue Mar 04 14:23:27 IST 2025","","Store Locator Scenarios","",""
"","177424","Verify signup with invalid data displays error","","Tue Mar 04 14:30:54 IST 2025","passed","Tue Mar 04 14:33:51 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","21506","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page","","Tue Mar 04 14:55:28 IST 2025","passed","Tue Mar 04 14:55:50 IST 2025","","Global Scenarios - Headers & Footer","",""
"","177045","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Tue Mar 04 13:39:02 IST 2025","broken","Tue Mar 04 13:41:59 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","17098","Verify navigation to the classes & events from the Michaels Admin Portal","","Tue Mar 04 13:57:54 IST 2025","passed","Tue Mar 04 13:58:11 IST 2025","","E2E - EventHub portal Scenarios","",""
"","18594","Validate marque banner progression through automatic rotation","","Tue Mar 04 14:21:01 IST 2025","passed","Tue Mar 04 14:21:20 IST 2025","","Home Page Scenarios","",""
"","28532","Verify the funtionality of store selector in plp page","","Tue Mar 04 14:28:38 IST 2025","passed","Tue Mar 04 14:29:07 IST 2025","","Store Locator Scenarios","",""
"","112024","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard","","Tue Mar 04 14:33:13 IST 2025","passed","Tue Mar 04 14:35:05 IST 2025","","Store Locator Scenarios","",""
"","78681","signedIn user books a party without Add-On and verifies the order in admin portal","","Tue Mar 04 14:03:31 IST 2025","passed","Tue Mar 04 14:04:50 IST 2025","","Birthday Party Scenarios","",""
"","47156","Edit profile","","Tue Mar 04 14:07:59 IST 2025","passed","Tue Mar 04 14:08:46 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","36360","Validate content for global headers and footers in makerplace_PLP page for makerplace","","Tue Mar 04 14:38:46 IST 2025","passed","Tue Mar 04 14:39:22 IST 2025","","Global Scenarios - Header & Footer for Makerplace","",""
"","143147","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page","","Tue Mar 04 14:10:34 IST 2025","passed","Tue Mar 04 14:12:57 IST 2025","","Cart page Scenarios","",""
