"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","51051","Validate addition and removal of items quantity in the Cart Page","","Fri Oct 04 17:14:44 IST 2024","passed","Fri Oct 04 17:15:36 IST 2024","","Cart page Scenarios","",""
"","133170","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card","","Fri Oct 04 17:06:36 IST 2024","passed","Fri Oct 04 17:08:49 IST 2024","","E2E - Marketplace Scenarios","",""
"","129112","[Seller account][marketplace] Create product and verify on marketplace listing management","","Fri Oct 04 16:58:35 IST 2024","passed","Fri Oct 04 17:00:44 IST 2024","","E2E - Marketplace seller Scenarios","",""
"","73928","Verify product details on PDP, PLP, Cart Slider and Cart Page","","Fri Oct 04 17:16:53 IST 2024","passed","Fri Oct 04 17:18:07 IST 2024","","Product Landing Page Scenarios","",""
"","49480","Verify sign-in options on homepage","","Fri Oct 04 17:11:51 IST 2024","passed","Fri Oct 04 17:12:41 IST 2024","","Home Page Scenarios","",""
"","105593","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store","","Fri Oct 04 17:08:45 IST 2024","broken","Fri Oct 04 17:10:31 IST 2024","","E2E - Classes, Events & Project Scenarios","",""
"","74982","Verifying the sort option using various available methods","","Fri Oct 04 17:15:38 IST 2024","passed","Fri Oct 04 17:16:53 IST 2024","","Product Landing Page Scenarios","",""
"","109703","[Sign-Up][Rewards] User can able to register with enrolling reward today","","Fri Oct 04 17:09:21 IST 2024","broken","Fri Oct 04 17:11:11 IST 2024","","E2E - Signup & My Account Scenarios","",""
"","159748","[Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button","","Fri Oct 04 17:06:12 IST 2024","failed","Fri Oct 04 17:08:52 IST 2024","","E2E - Signup & My Account Scenarios","",""
"","148459","[Guest User][Classes & Events][.COM]Free Classes & Events at online","","Fri Oct 04 17:00:59 IST 2024","broken","Fri Oct 04 17:03:27 IST 2024","","E2E - Classes, Events & Project Scenarios","",""
"","104509","[Sign-in User]PlaceOrder using Same Day Delivery","","Fri Oct 04 16:41:03 IST 2024","passed","Fri Oct 04 16:42:48 IST 2024","","E2E - Checkout Scenarios -SDD","",""
"","54714","Verify submenu navigation, disappearance, parent menu highlight, and options validation","","Fri Oct 04 17:13:19 IST 2024","passed","Fri Oct 04 17:14:14 IST 2024","","Mega menu Scenarios","",""
"","95132","Validate content for global headers in plp page","","Fri Oct 04 17:21:26 IST 2024","passed","Fri Oct 04 17:23:01 IST 2024","","Global Scenarios - Headers","",""
"","47705","Create Instructor","","Fri Oct 04 16:57:00 IST 2024","passed","Fri Oct 04 16:57:48 IST 2024","","E2E - EventHub portal Scenarios","",""
"","52352","Create template for Online Event","","Fri Oct 04 16:51:23 IST 2024","passed","Fri Oct 04 16:52:16 IST 2024","","E2E - EventHub portal Scenarios","",""
"","45120","Create Ondemand Class","","Fri Oct 04 16:54:34 IST 2024","passed","Fri Oct 04 16:55:19 IST 2024","","E2E - EventHub portal Scenarios","",""
"","119028","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card","","Fri Oct 04 16:58:47 IST 2024","passed","Fri Oct 04 17:00:46 IST 2024","","E2E - Marketplace Scenarios","",""
"","20937","Selecting subcategories for a product in the PLP","","Fri Oct 04 17:12:58 IST 2024","passed","Fri Oct 04 17:13:19 IST 2024","","Mega menu Scenarios","",""
"","116129","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Fri Oct 04 16:43:05 IST 2024","passed","Fri Oct 04 16:45:02 IST 2024","","E2E - Checkout Scenarios -BOIPS","",""
"","138723","[Guest User]MarketPlace PlaceOrder using SHIP TO ME","","Fri Oct 04 16:41:13 IST 2024","passed","Fri Oct 04 16:43:31 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","26495","verify user is able to update zipcode for SDD in PLP","","Fri Oct 04 17:22:19 IST 2024","passed","Fri Oct 04 17:22:45 IST 2024","","Product Landing Page Scenarios","",""
"","54092","Create template for Online Class","","Fri Oct 04 16:53:06 IST 2024","passed","Fri Oct 04 16:54:00 IST 2024","","E2E - EventHub portal Scenarios","",""
"","103347","[Guest User][Classes & Events][.COM]Free Classes & Events in store","","Fri Oct 04 17:03:27 IST 2024","broken","Fri Oct 04 17:05:10 IST 2024","","E2E - Classes, Events & Project Scenarios","",""
"","126796","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Fri Oct 04 16:40:58 IST 2024","passed","Fri Oct 04 16:43:05 IST 2024","","E2E - Checkout Scenarios -BOIPS","",""
"","58174","[Guest][MK] Navigating Back to Parent Category via Breadcrumb","","Fri Oct 04 17:20:55 IST 2024","broken","Fri Oct 04 17:21:53 IST 2024","","MakerPlace - Mega menu Scenarios","",""
"","23891","Verify navigation to the classes & events from the Michaels Admin Portal","","Fri Oct 04 16:57:48 IST 2024","passed","Fri Oct 04 16:58:12 IST 2024","","E2E - EventHub portal Scenarios","",""
"","132591","[Guest User][.COM]Place order using SHIP TO ME with Gift Card","","Fri Oct 04 16:52:47 IST 2024","failed","Fri Oct 04 16:55:00 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","74407","Verify that products in the cart are grouped separately according to their respective sellers","","Fri Oct 04 17:18:25 IST 2024","passed","Fri Oct 04 17:19:40 IST 2024","","Cart page Scenarios","",""
"","112983","Verify the product variants","","Fri Oct 04 17:14:26 IST 2024","passed","Fri Oct 04 17:16:19 IST 2024","","Product Description Page Scenarios","",""
"","37077","Verify pagination functionality in PLP page","","Fri Oct 04 17:21:09 IST 2024","passed","Fri Oct 04 17:21:46 IST 2024","","Product Landing Page Scenarios","",""
"","44914","Find a template by searching with template name","","Fri Oct 04 16:56:15 IST 2024","passed","Fri Oct 04 16:57:00 IST 2024","","E2E - EventHub portal Scenarios","",""
"","13714","Verify the user is able to click on the ""Back to Top"" up arrow button from home page","","Fri Oct 04 17:24:54 IST 2024","passed","Fri Oct 04 17:25:08 IST 2024","","Global Scenarios - Headers","",""
"","29268","[Sign-up] Email-Sign up michaels offers email from footer","","Fri Oct 04 17:08:52 IST 2024","passed","Fri Oct 04 17:09:21 IST 2024","","E2E - Signup & My Account Scenarios","",""
"","75587","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page","","Fri Oct 04 17:13:29 IST 2024","passed","Fri Oct 04 17:14:44 IST 2024","","Cart page Scenarios","",""
"","91955","Update quantity in PDP page and verify in cart page","","Fri Oct 04 17:16:19 IST 2024","passed","Fri Oct 04 17:17:51 IST 2024","","Product Description Page Scenarios","",""
"","22233","Verify and validate each store details from the preview pane","","Fri Oct 04 17:14:03 IST 2024","passed","Fri Oct 04 17:14:26 IST 2024","","Store Locator Scenarios","",""
"","287053","Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card","","Fri Oct 04 16:46:16 IST 2024","broken","Fri Oct 04 16:51:03 IST 2024","","E2E - Checkout Scenarios -SDD","",""
"","68277","SignIn user able to view michaels rewards amount","","Fri Oct 04 17:16:38 IST 2024","passed","Fri Oct 04 17:17:46 IST 2024","","Cart page Scenarios","",""
"","95046","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.","","Fri Oct 04 16:44:41 IST 2024","passed","Fri Oct 04 16:46:16 IST 2024","","E2E - Checkout Scenarios -SDD","",""
"","25586","Guest user is able to signin from cart page via signInlink","","Fri Oct 04 17:15:36 IST 2024","passed","Fri Oct 04 17:16:01 IST 2024","","Cart page Scenarios","",""
"","33653","Create template for In Store Class","","Fri Oct 04 16:54:00 IST 2024","passed","Fri Oct 04 16:54:34 IST 2024","","E2E - EventHub portal Scenarios","",""
"","75274","Verify preview page links of Store Selector","","Fri Oct 04 17:12:48 IST 2024","passed","Fri Oct 04 17:14:03 IST 2024","","Store Locator Scenarios","",""
"","56067","Search template by different filter","","Fri Oct 04 16:55:19 IST 2024","passed","Fri Oct 04 16:56:15 IST 2024","","E2E - EventHub portal Scenarios","",""
"","167666","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card","","Fri Oct 04 17:00:46 IST 2024","failed","Fri Oct 04 17:03:33 IST 2024","","E2E - Marketplace Scenarios","",""
"","57421","Edit profile","","Fri Oct 04 17:04:07 IST 2024","passed","Fri Oct 04 17:05:04 IST 2024","","E2E - Signup & My Account Scenarios","",""
"","33405","Verify all shipping methods are displayed in PLP page","","Fri Oct 04 17:21:46 IST 2024","passed","Fri Oct 04 17:22:19 IST 2024","","Product Landing Page Scenarios","",""
"","92573","Validate content for global headers in home page","","Fri Oct 04 17:18:03 IST 2024","passed","Fri Oct 04 17:19:36 IST 2024","","Global Scenarios - Headers","",""
"","71032","Forgot password","","Fri Oct 04 17:02:56 IST 2024","passed","Fri Oct 04 17:04:07 IST 2024","","E2E - Signup & My Account Scenarios","",""
"","39166","SignIn user able to view cart's empty message","","Fri Oct 04 17:17:46 IST 2024","passed","Fri Oct 04 17:18:25 IST 2024","","Cart page Scenarios","",""
"","94919","Navigating Back to Parent Category via Breadcrumb","","Fri Oct 04 17:11:23 IST 2024","passed","Fri Oct 04 17:12:58 IST 2024","","Mega menu Scenarios","",""
"","94809","[Guest user][.com][MIKPro]Place order via PDP page","","Fri Oct 04 16:49:16 IST 2024","passed","Fri Oct 04 16:50:50 IST 2024","","E2E - Checkout Scenarios -BOIPS","",""
"","154271","Search product and then PlaceOrder using SHIP TO ME with Sign-in user","","Fri Oct 04 16:43:31 IST 2024","failed","Fri Oct 04 16:46:06 IST 2024","","E2E - Checkout Scenarios -STM","",""
