"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 05 18:13:42 IST 2025","Wed Feb 05 18:15:27 IST 2025","105005","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Wed Feb 05 18:42:39 IST 2025","Wed Feb 05 18:43:30 IST 2025","51311","","Home Page Scenarios","","","","Validate marque banner gets frozen when it is paused",""
"passed","Wed Feb 05 20:34:17 IST 2025","Wed Feb 05 20:35:17 IST 2025","59880","","Product Description Page Scenarios for makerplace","","","","Verify Share links upon hovering share icon",""
"passed","Wed Feb 05 18:15:34 IST 2025","Wed Feb 05 18:17:15 IST 2025","101651","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com]Place order using different variant",""
"passed","Wed Feb 05 18:52:00 IST 2025","Wed Feb 05 18:54:40 IST 2025","159692","","Sign In and Sign Up pages Scenarios","","","","Verify signup with invalid data displays error",""
"passed","Wed Feb 05 18:38:07 IST 2025","Wed Feb 05 18:40:03 IST 2025","115537","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Wed Feb 05 18:31:12 IST 2025","Wed Feb 05 18:32:06 IST 2025","53726","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"passed","Wed Feb 05 18:46:57 IST 2025","Wed Feb 05 18:48:54 IST 2025","116374","","Product Description Page Scenarios","","","","Update quantity in PDP page and verify order summary in cart, checkout and payment review page",""
"passed","Wed Feb 05 18:50:39 IST 2025","Wed Feb 05 18:51:43 IST 2025","63288","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"skipped","Wed Feb 05 18:14:57 IST 2025","Wed Feb 05 18:15:05 IST 2025","7226","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"skipped","Wed Feb 05 18:14:50 IST 2025","Wed Feb 05 18:14:57 IST 2025","6986","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"passed","Wed Feb 05 18:21:39 IST 2025","Wed Feb 05 18:23:39 IST 2025","119570","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"skipped","Wed Feb 05 18:55:06 IST 2025","Wed Feb 05 18:55:21 IST 2025","14094","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from plp page",""
"passed","Wed Feb 05 18:40:43 IST 2025","Wed Feb 05 18:41:19 IST 2025","36796","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"skipped","Wed Feb 05 18:11:34 IST 2025","Wed Feb 05 18:11:37 IST 2025","2347","","E2E - Checkout Scenarios -STM","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"skipped","Wed Feb 05 18:15:31 IST 2025","Wed Feb 05 18:15:34 IST 2025","3057","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"skipped","Wed Feb 05 18:15:13 IST 2025","Wed Feb 05 18:15:18 IST 2025","4219","","E2E - EventHub portal Scenarios","","","","Search template by different filter",""
"failed","Wed Feb 05 18:47:11 IST 2025","Wed Feb 05 18:47:57 IST 2025","45782","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Wed Feb 05 18:49:11 IST 2025","Wed Feb 05 18:50:05 IST 2025","53937","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Wed Feb 05 18:22:57 IST 2025","Wed Feb 05 18:25:35 IST 2025","157905","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, SDD",""
"passed","Wed Feb 05 18:34:17 IST 2025","Wed Feb 05 18:34:48 IST 2025","30774","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"broken","Wed Feb 05 18:45:32 IST 2025","Wed Feb 05 18:46:57 IST 2025","85048","","Product Description Page Scenarios","","","","Verify the product variants",""
"passed","Wed Feb 05 18:49:22 IST 2025","Wed Feb 05 18:50:14 IST 2025","52201","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"skipped","Wed Feb 05 18:27:03 IST 2025","Wed Feb 05 18:27:06 IST 2025","2989","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"skipped","Wed Feb 05 18:30:59 IST 2025","Wed Feb 05 18:31:04 IST 2025","5514","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"skipped","Wed Feb 05 18:55:01 IST 2025","Wed Feb 05 18:55:06 IST 2025","5905","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from clp page",""
"passed","Wed Feb 05 18:35:25 IST 2025","Wed Feb 05 18:36:59 IST 2025","93889","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Wed Feb 05 18:40:03 IST 2025","Wed Feb 05 18:42:13 IST 2025","129717","","Cart page Scenarios","","","","[Guest User] Verify Zip code change for Same Day Delivery",""
