"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 05 20:57:42 IST 2024","Tue Nov 05 20:59:40 IST 2024","118577","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Tue Nov 05 20:50:26 IST 2024","Tue Nov 05 20:55:01 IST 2024","274665","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"skipped","Tue Nov 05 20:55:34 IST 2024","Tue Nov 05 20:55:55 IST 2024","21164","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Tue Nov 05 21:10:21 IST 2024","Tue Nov 05 21:12:50 IST 2024","148890","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Tue Nov 05 21:33:50 IST 2024","Tue Nov 05 21:34:20 IST 2024","30755","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Tue Nov 05 21:14:59 IST 2024","Tue Nov 05 21:16:44 IST 2024","105100","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Tue Nov 05 21:11:38 IST 2024","Tue Nov 05 21:11:57 IST 2024","18818","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"skipped","Tue Nov 05 21:03:46 IST 2024","Tue Nov 05 21:03:49 IST 2024","2893","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"passed","Tue Nov 05 21:28:33 IST 2024","Tue Nov 05 21:29:14 IST 2024","41243","","Store Locator Scenarios","","","","Verify the funtionality of store selector in coupons page",""
"passed","Tue Nov 05 21:12:32 IST 2024","Tue Nov 05 21:14:07 IST 2024","95503","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Nov 05 20:59:40 IST 2024","Tue Nov 05 21:01:47 IST 2024","126726","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Tue Nov 05 21:40:56 IST 2024","Tue Nov 05 21:41:18 IST 2024","21938","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"passed","Tue Nov 05 20:57:38 IST 2024","Tue Nov 05 20:59:14 IST 2024","95845","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"skipped","Tue Nov 05 21:03:45 IST 2024","Tue Nov 05 21:03:46 IST 2024","1124","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"passed","Tue Nov 05 21:23:59 IST 2024","Tue Nov 05 21:27:01 IST 2024","181917","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Tue Nov 05 21:17:45 IST 2024","Tue Nov 05 21:19:58 IST 2024","132258","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
