"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 06 19:10:44 GMT 2024","Tue Aug 06 19:11:16 GMT 2024","32027","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"skipped","Tue Aug 06 19:03:30 GMT 2024","Tue Aug 06 19:03:30 GMT 2024","195","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"skipped","Tue Aug 06 19:07:35 GMT 2024","Tue Aug 06 19:07:36 GMT 2024","205","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Tue Aug 06 19:09:06 GMT 2024","Tue Aug 06 19:10:03 GMT 2024","56165","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Tue Aug 06 19:03:07 GMT 2024","Tue Aug 06 19:04:07 GMT 2024","60460","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"skipped","Tue Aug 06 19:09:50 GMT 2024","Tue Aug 06 19:09:50 GMT 2024","215","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Aug 06 19:11:23 GMT 2024","Tue Aug 06 19:12:43 GMT 2024","79710","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"passed","Tue Aug 06 19:00:48 GMT 2024","Tue Aug 06 19:03:07 GMT 2024","138690","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"skipped","Tue Aug 06 19:06:31 GMT 2024","Tue Aug 06 19:06:31 GMT 2024","21","","E2E - Marketplace seller Scenarios","","","","[Seller account][marketplace] Create product and verify on marketplace listing management",""
"skipped","Tue Aug 06 19:05:21 GMT 2024","Tue Aug 06 19:05:21 GMT 2024","193","","E2E - Checkout Scenarios","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"skipped","Tue Aug 06 19:08:39 GMT 2024","Tue Aug 06 19:08:39 GMT 2024","187","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"skipped","Tue Aug 06 19:05:21 GMT 2024","Tue Aug 06 19:05:22 GMT 2024","188","","E2E - Checkout Scenarios","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"skipped","Tue Aug 06 19:07:36 GMT 2024","Tue Aug 06 19:07:36 GMT 2024","187","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"passed","Tue Aug 06 19:04:21 GMT 2024","Tue Aug 06 19:05:21 GMT 2024","59771","","E2E - Checkout Scenarios","","","","[Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"skipped","Tue Aug 06 19:08:39 GMT 2024","Tue Aug 06 19:08:39 GMT 2024","185","","E2E - Signup & My Account Scenarios","","","","[Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Tue Aug 06 19:06:38 GMT 2024","Tue Aug 06 19:07:51 GMT 2024","73000","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Tue Aug 06 19:04:07 GMT 2024","Tue Aug 06 19:05:20 GMT 2024","72655","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"skipped","Tue Aug 06 19:09:00 GMT 2024","Tue Aug 06 19:09:00 GMT 2024","14","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"skipped","Tue Aug 06 19:08:54 GMT 2024","Tue Aug 06 19:08:55 GMT 2024","221","","E2E - Signup & My Account Scenarios","","","","[Sign-Up][Rewards] User can able to register with enrolling reward today",""
"passed","Tue Aug 06 19:00:48 GMT 2024","Tue Aug 06 19:01:57 GMT 2024","69449","","E2E - Mega-menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"skipped","Tue Aug 06 19:05:52 GMT 2024","Tue Aug 06 19:05:52 GMT 2024","253","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"skipped","Tue Aug 06 19:05:52 GMT 2024","Tue Aug 06 19:05:52 GMT 2024","193","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"skipped","Tue Aug 06 19:08:39 GMT 2024","Tue Aug 06 19:08:39 GMT 2024","186","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"passed","Tue Aug 06 19:14:10 GMT 2024","Tue Aug 06 19:15:35 GMT 2024","84989","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"skipped","Tue Aug 06 19:03:07 GMT 2024","Tue Aug 06 19:03:07 GMT 2024","214","","E2E - Checkout Scenarios","","","","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Tue Aug 06 19:09:56 GMT 2024","Tue Aug 06 19:10:42 GMT 2024","45661","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
