"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 06 14:50:04 IST 2024","Fri Dec 06 14:52:31 IST 2024","147500","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Fri Dec 06 14:46:34 IST 2024","Fri Dec 06 14:48:42 IST 2024","128315","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"passed","Fri Dec 06 15:54:22 IST 2024","Fri Dec 06 15:56:07 IST 2024","105325","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"passed","Fri Dec 06 14:48:42 IST 2024","Fri Dec 06 14:53:03 IST 2024","260210","","E2E - Checkout Scenarios -SDD","","","","Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Fri Dec 06 15:40:06 IST 2024","Fri Dec 06 15:40:32 IST 2024","26072","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"passed","Fri Dec 06 17:26:58 IST 2024","Fri Dec 06 17:30:03 IST 2024","185142","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Fri Dec 06 15:38:54 IST 2024","Fri Dec 06 15:40:06 IST 2024","72144","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Fri Dec 06 15:59:43 IST 2024","Fri Dec 06 16:00:42 IST 2024","59715","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page",""
"passed","Fri Dec 06 14:48:32 IST 2024","Fri Dec 06 14:50:04 IST 2024","91711","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Fri Dec 06 15:53:51 IST 2024","Fri Dec 06 15:54:32 IST 2024","40463","","Store Locator Scenarios","","","","Verify the funtionality of store selector in coupons page",""
"passed","Fri Dec 06 15:56:07 IST 2024","Fri Dec 06 15:56:56 IST 2024","48599","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Fri Dec 06 14:57:46 IST 2024","Fri Dec 06 15:01:16 IST 2024","209969","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"passed","Fri Dec 06 14:42:23 IST 2024","Fri Dec 06 14:44:24 IST 2024","121132","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User]PlaceOrder using Same Day Delivery",""
