"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 06 18:10:57 GMT 2025","Thu Feb 06 18:11:30 GMT 2025","32968","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"skipped","Thu Feb 06 17:56:26 GMT 2025","Thu Feb 06 17:56:27 GMT 2025","807","","E2E - Checkout Scenarios -STM","","","","[Sign-in] Validate Save order for pre-existing user",""
"passed","Thu Feb 06 18:30:34 GMT 2025","Thu Feb 06 18:31:36 GMT 2025","62012","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Thu Feb 06 18:30:50 GMT 2025","Thu Feb 06 18:33:37 GMT 2025","166791","","Store Locator Scenarios","","","","Verify default and changed store pickup options for products in the cart",""
"passed","Thu Feb 06 18:16:05 GMT 2025","Thu Feb 06 18:17:55 GMT 2025","109949","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Thu Feb 06 18:26:58 GMT 2025","Thu Feb 06 18:27:33 GMT 2025","34861","","Store Locator Scenarios","","","","Verify and validate each store details from the preview pane",""
"passed","Thu Feb 06 17:49:19 GMT 2025","Thu Feb 06 17:50:25 GMT 2025","65582","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"broken","Thu Feb 06 17:48:42 GMT 2025","Thu Feb 06 17:51:26 GMT 2025","164556","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Thu Feb 06 17:43:56 GMT 2025","Thu Feb 06 17:45:09 GMT 2025","73197","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Thu Feb 06 18:46:52 GMT 2025","Thu Feb 06 18:47:33 GMT 2025","41537","","Store Locator Scenarios","","","","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard",""
"passed","Thu Feb 06 18:27:04 GMT 2025","Thu Feb 06 18:27:29 GMT 2025","25329","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"passed","Thu Feb 06 18:45:08 GMT 2025","Thu Feb 06 18:45:38 GMT 2025","29398","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from cart page",""
"passed","Thu Feb 06 18:33:48 GMT 2025","Thu Feb 06 18:35:10 GMT 2025","81708","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"broken","Thu Feb 06 18:36:39 GMT 2025","Thu Feb 06 18:38:11 GMT 2025","91376","","Store Locator Scenarios","","","","Verify the funtionality of store selector in plp page",""
"broken","Thu Feb 06 17:57:15 GMT 2025","Thu Feb 06 17:58:23 GMT 2025","67790","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"passed","Thu Feb 06 18:18:45 GMT 2025","Thu Feb 06 18:19:49 GMT 2025","64038","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Thu Feb 06 18:08:34 GMT 2025","Thu Feb 06 18:09:41 GMT 2025","66500","","Birthday Party Scenarios","","","","signedIn user books a party without Add-On and verifies the order in admin portal",""
"passed","Thu Feb 06 18:39:40 GMT 2025","Thu Feb 06 18:40:14 GMT 2025","33191","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Thu Feb 06 18:41:02 GMT 2025","Thu Feb 06 18:42:57 GMT 2025","115450","","Sign In and Sign Up pages Scenarios","","","","Verify signup with invalid data displays error",""
"passed","Thu Feb 06 17:46:41 GMT 2025","Thu Feb 06 17:48:03 GMT 2025","82104","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Thu Feb 06 18:26:47 GMT 2025","Thu Feb 06 18:27:04 GMT 2025","16623","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"broken","Thu Feb 06 18:06:18 GMT 2025","Thu Feb 06 18:07:25 GMT 2025","67257","","E2E - EventHub portal Scenarios","","","","Create Instructor",""
"broken","Thu Feb 06 17:52:43 GMT 2025","Thu Feb 06 17:53:51 GMT 2025","68340","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"passed","Thu Feb 06 17:42:37 GMT 2025","Thu Feb 06 17:44:08 GMT 2025","91356","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"failed","Thu Feb 06 18:35:40 GMT 2025","Thu Feb 06 18:37:08 GMT 2025","87738","","Product Description Page Scenarios","","","","Update quantity in PDP page and verify order summary in cart, checkout and payment review page",""
"passed","Thu Feb 06 18:24:26 GMT 2025","Thu Feb 06 18:25:59 GMT 2025","93428","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Thu Feb 06 18:27:11 GMT 2025","Thu Feb 06 18:27:42 GMT 2025","30824","","Cart page Scenarios","","","","SignIn user able to view cart's empty message",""
"passed","Thu Feb 06 17:48:03 GMT 2025","Thu Feb 06 17:49:19 GMT 2025","75981","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"broken","Thu Feb 06 17:54:59 GMT 2025","Thu Feb 06 17:56:07 GMT 2025","67684","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"broken","Thu Feb 06 17:55:29 GMT 2025","Thu Feb 06 17:57:36 GMT 2025","127361","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - STM, SDD",""
"broken","Thu Feb 06 18:10:01 GMT 2025","Thu Feb 06 18:13:01 GMT 2025","179917","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Thu Feb 06 18:38:28 GMT 2025","Thu Feb 06 18:39:30 GMT 2025","61673","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
