"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","19321","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page","","Mon Jan 06 15:20:22 IST 2025","passed","Mon Jan 06 15:20:42 IST 2025","","Global Scenarios - Headers & Footer","",""
"","107316","Verify all shipping methods are displayed in PLP page","","Mon Jan 06 15:01:19 IST 2025","passed","Mon Jan 06 15:03:06 IST 2025","","Product Landing Page Scenarios","",""
"","101404","Create template for Online Event","","Mon Jan 06 17:30:37 IST 2025","broken","Mon Jan 06 17:32:18 IST 2025","","E2E - EventHub portal Scenarios","",""
"","172854","[Guest user][.com]Place order using shipping methods - BOPIS, SDD","","Mon Jan 06 13:43:16 IST 2025","passed","Mon Jan 06 13:46:09 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","99163","Verify that products in the cart are grouped separately according to their respective sellers","","Mon Jan 06 14:24:09 IST 2025","broken","Mon Jan 06 14:25:48 IST 2025","","Cart page Scenarios","",""
"","177725","[Sign-in User][.com][MIKPro]Place order via PDP page","","Mon Jan 06 13:45:22 IST 2025","broken","Mon Jan 06 13:48:19 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","318354","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card","","Mon Jan 06 13:46:35 IST 2025","passed","Mon Jan 06 13:51:53 IST 2025","","E2E - Marketplace Scenarios","",""
"","128965","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Mon Jan 06 13:29:24 IST 2025","passed","Mon Jan 06 13:31:33 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","43678","Create template for In Store Class","","Mon Jan 06 13:44:21 IST 2025","passed","Mon Jan 06 13:45:05 IST 2025","","E2E - EventHub portal Scenarios","",""
"","171268","Validate content for global headers and footers in home page","","Mon Jan 06 15:05:58 IST 2025","passed","Mon Jan 06 15:08:49 IST 2025","","Global Scenarios - Headers & Footer","",""
"","67140","[Sign-up] Email-Sign up michaels offers email from footer","","Mon Jan 06 14:08:36 IST 2025","passed","Mon Jan 06 14:09:43 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","152309","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card","","Mon Jan 06 13:31:33 IST 2025","passed","Mon Jan 06 13:34:05 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","82331","[Guest][MK] Navigating Back to Parent Category via Breadcrumb","","Mon Jan 06 15:13:10 IST 2025","passed","Mon Jan 06 15:14:32 IST 2025","","MakerPlace - Mega menu Scenarios","",""
