"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 11:43:04 CDT 2024","Mon May 06 11:43:43 CDT 2024","38894","","P1 E2E Scenarios - SET 2","","","","P1_21 Forgot password",""
"passed","Mon May 06 11:39:26 CDT 2024","Mon May 06 11:40:18 CDT 2024","51920","","P1 E2E Scenarios - SET 2","","","","P1_17 [Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Mon May 06 11:37:42 CDT 2024","Mon May 06 11:38:37 CDT 2024","55246","","P1 E2E Scenarios - SET 2","","","","P1_15 [Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"passed","Mon May 06 11:39:11 CDT 2024","Mon May 06 11:40:18 CDT 2024","66700","","P1 E2E Scenarios - SET 1","","","","P1_06 [Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Mon May 06 11:37:19 CDT 2024","Mon May 06 11:38:12 CDT 2024","52361","","P1 E2E Scenarios - SET 1","","","","P1_04 [Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Mon May 06 11:38:04 CDT 2024","Mon May 06 11:38:49 CDT 2024","44628","","P0 E2E Scenarios","","","","P0_04 [Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"broken","Mon May 06 11:36:40 CDT 2024","Mon May 06 11:37:42 CDT 2024","61438","","P1 E2E Scenarios - SET 2","","","","P1_14 [Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Mon May 06 11:40:18 CDT 2024","Mon May 06 11:41:13 CDT 2024","54817","","P1 E2E Scenarios - SET 1","","","","P1_07 [Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Mon May 06 11:38:49 CDT 2024","Mon May 06 11:39:28 CDT 2024","39124","","P0 E2E Scenarios","","","","P0_05 Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"passed","Mon May 06 11:44:55 CDT 2024","Mon May 06 11:45:50 CDT 2024","55003","","P1 E2E Scenarios - SET 1","","","","P1_12 [Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Mon May 06 11:41:13 CDT 2024","Mon May 06 11:42:09 CDT 2024","55597","","P1 E2E Scenarios - SET 2","","","","P1_19 [Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Mon May 06 11:36:42 CDT 2024","Mon May 06 11:37:24 CDT 2024","41334","","P0 E2E Scenarios","","","","P0_02 [Guest User]PlaceOrder using SHIP TO ME",""
"passed","Mon May 06 11:34:38 CDT 2024","Mon May 06 11:36:42 CDT 2024","124553","","P0 E2E Scenarios","","","","P0_01 [Guest User]PlaceOrder using Store pickup",""
"passed","Mon May 06 11:38:37 CDT 2024","Mon May 06 11:39:26 CDT 2024","49283","","P1 E2E Scenarios - SET 2","","","","P1_16 [Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"passed","Mon May 06 11:43:52 CDT 2024","Mon May 06 11:44:55 CDT 2024","63811","","P1 E2E Scenarios - SET 1","","","","P1_11 [Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Mon May 06 11:43:43 CDT 2024","Mon May 06 11:44:23 CDT 2024","40177","","P1 E2E Scenarios - SET 2","","","","P1_22 Edit profile",""
"broken","Mon May 06 11:35:41 CDT 2024","Mon May 06 11:36:36 CDT 2024","54740","","P1 E2E Scenarios - SET 1","","","","P1_02 [Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Mon May 06 11:36:36 CDT 2024","Mon May 06 11:37:19 CDT 2024","43707","","P1 E2E Scenarios - SET 1","","","","P1_03 [Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Mon May 06 11:42:43 CDT 2024","Mon May 06 11:43:23 CDT 2024","40514","","P0 E2E Scenarios","","","","P0_10 Signup with enrolling reward today",""
"passed","Mon May 06 11:42:09 CDT 2024","Mon May 06 11:43:04 CDT 2024","54935","","P1 E2E Scenarios - SET 2","","","","P1_20 [Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Mon May 06 11:41:58 CDT 2024","Mon May 06 11:42:43 CDT 2024","44511","","P0 E2E Scenarios","","","","P0_09 [Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Mon May 06 11:34:38 CDT 2024","Mon May 06 11:36:40 CDT 2024","122422","","P1 E2E Scenarios - SET 2","","","","P1_13 [Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Mon May 06 11:37:24 CDT 2024","Mon May 06 11:38:04 CDT 2024","40873","","P0 E2E Scenarios","","","","P0_03 [Guest User]PlaceOrder using Same Day Delivery",""
"passed","Mon May 06 11:38:12 CDT 2024","Mon May 06 11:39:11 CDT 2024","59727","","P1 E2E Scenarios - SET 1","","","","P1_05 [Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"passed","Mon May 06 11:40:24 CDT 2024","Mon May 06 11:41:07 CDT 2024","43323","","P0 E2E Scenarios","","","","P0_07 [Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Mon May 06 11:41:13 CDT 2024","Mon May 06 11:42:02 CDT 2024","48834","","P1 E2E Scenarios - SET 1","","","","P1_08 [Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Mon May 06 11:44:23 CDT 2024","Mon May 06 11:45:02 CDT 2024","39181","","P1 E2E Scenarios - SET 2","","","","P1_23 Reset password",""
