"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 06 15:51:59 CDT 2024","Fri Sep 06 15:52:15 CDT 2024","15252","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"broken","Fri Sep 06 15:46:04 CDT 2024","Fri Sep 06 15:47:23 CDT 2024","79369","","E2E - Signup & My Account Scenarios","","","","[Sign-Up][Rewards] User can able to register with enrolling reward today",""
"passed","Fri Sep 06 15:44:35 CDT 2024","Fri Sep 06 15:45:57 CDT 2024","81394","","Product Description Page Scenarios","","","","Verify the product variants",""
"passed","Fri Sep 06 15:42:46 CDT 2024","Fri Sep 06 15:44:15 CDT 2024","89155","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"passed","Fri Sep 06 15:33:33 CDT 2024","Fri Sep 06 15:34:13 CDT 2024","39865","","E2E - EventHub portal Scenarios","","","","Create Ondemand Class",""
"passed","Fri Sep 06 15:31:26 CDT 2024","Fri Sep 06 15:32:00 CDT 2024","34272","","E2E - EventHub portal Scenarios","","","","Create template for Online Event",""
"passed","Fri Sep 06 15:23:46 CDT 2024","Fri Sep 06 15:26:06 CDT 2024","140702","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Fri Sep 06 15:26:58 CDT 2024","Fri Sep 06 15:28:15 CDT 2024","77599","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"passed","Fri Sep 06 15:43:19 CDT 2024","Fri Sep 06 15:44:13 CDT 2024","53786","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"broken","Fri Sep 06 15:29:24 CDT 2024","Fri Sep 06 15:30:19 CDT 2024","54870","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Fri Sep 06 15:52:15 CDT 2024","Fri Sep 06 15:52:30 CDT 2024","15746","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"passed","Fri Sep 06 15:46:35 CDT 2024","Fri Sep 06 15:47:09 CDT 2024","33942","","Product Landing Page Scenarios","","","","Verify product details on PDP, PLP, Cart Slider and Cart Page",""
"passed","Fri Sep 06 15:34:24 CDT 2024","Fri Sep 06 15:37:48 CDT 2024","204112","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"passed","Fri Sep 06 15:51:09 CDT 2024","Fri Sep 06 15:51:59 CDT 2024","50400","","Global Scenarios - Headers","","","","Validate content for global headers in cart page",""
"passed","Fri Sep 06 15:48:55 CDT 2024","Fri Sep 06 15:49:23 CDT 2024","28354","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Fri Sep 06 15:29:55 CDT 2024","Fri Sep 06 15:31:07 CDT 2024","71460","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Fri Sep 06 15:23:46 CDT 2024","Fri Sep 06 15:25:56 CDT 2024","130515","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Fri Sep 06 15:34:13 CDT 2024","Fri Sep 06 15:34:50 CDT 2024","36821","","E2E - EventHub portal Scenarios","","","","Search template by different filter",""
"passed","Fri Sep 06 15:39:10 CDT 2024","Fri Sep 06 15:40:30 CDT 2024","79314","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"passed","Fri Sep 06 15:44:13 CDT 2024","Fri Sep 06 15:44:31 CDT 2024","18413","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"broken","Fri Sep 06 15:30:19 CDT 2024","Fri Sep 06 15:31:17 CDT 2024","58725","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Fri Sep 06 15:44:49 CDT 2024","Fri Sep 06 15:45:35 CDT 2024","46127","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"broken","Fri Sep 06 15:47:09 CDT 2024","Fri Sep 06 15:48:15 CDT 2024","65579","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"broken","Fri Sep 06 15:39:43 CDT 2024","Fri Sep 06 15:40:45 CDT 2024","62254","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Fri Sep 06 15:37:50 CDT 2024","Fri Sep 06 15:38:59 CDT 2024","68926","","E2E - Signup & My Account Scenarios","","","","Forgot password",""
"passed","Fri Sep 06 15:31:17 CDT 2024","Fri Sep 06 15:32:15 CDT 2024","57673","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Fri Sep 06 15:40:30 CDT 2024","Fri Sep 06 15:41:58 CDT 2024","87898","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Fri Sep 06 15:32:15 CDT 2024","Fri Sep 06 15:33:20 CDT 2024","65358","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"failed","Fri Sep 06 15:48:29 CDT 2024","Fri Sep 06 15:49:26 CDT 2024","57548","","MakerPlace - Mega menu Scenarios","","","","[Guest][MK] Navigating Back to Parent Category via Breadcrumb",""
"passed","Fri Sep 06 15:31:07 CDT 2024","Fri Sep 06 15:32:04 CDT 2024","57325","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Fri Sep 06 15:32:28 CDT 2024","Fri Sep 06 15:33:05 CDT 2024","37023","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"broken","Fri Sep 06 15:39:30 CDT 2024","Fri Sep 06 15:44:50 CDT 2024","320084","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"passed","Fri Sep 06 15:27:36 CDT 2024","Fri Sep 06 15:28:29 CDT 2024","52491","","E2E - Checkout Scenarios","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"broken","Fri Sep 06 15:38:50 CDT 2024","Fri Sep 06 15:39:43 CDT 2024","53705","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Fri Sep 06 15:33:05 CDT 2024","Fri Sep 06 15:33:33 CDT 2024","28049","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"broken","Fri Sep 06 15:41:42 CDT 2024","Fri Sep 06 15:42:40 CDT 2024","58335","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Fri Sep 06 15:47:25 CDT 2024","Fri Sep 06 15:48:46 CDT 2024","81793","","Global Scenarios - Headers","","","","Validate content for global headers in clp page",""
"passed","Fri Sep 06 15:33:21 CDT 2024","Fri Sep 06 15:34:18 CDT 2024","57311","","E2E - Checkout Scenarios","","","","[Guest user][.com]Place order using different variant",""
"passed","Fri Sep 06 15:35:54 CDT 2024","Fri Sep 06 15:36:07 CDT 2024","12999","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Fri Sep 06 15:28:15 CDT 2024","Fri Sep 06 15:29:20 CDT 2024","64953","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"broken","Fri Sep 06 15:29:20 CDT 2024","Fri Sep 06 15:31:19 CDT 2024","118949","","E2E - Checkout Scenarios","","","","Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Fri Sep 06 15:26:50 CDT 2024","Fri Sep 06 15:27:36 CDT 2024","46212","","E2E - Checkout Scenarios","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"passed","Fri Sep 06 15:36:48 CDT 2024","Fri Sep 06 15:37:50 CDT 2024","61964","","E2E - Signup & My Account Scenarios","","","","Signup with enrolling reward today",""
