"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 07 14:55:49 GMT 2024","Wed Aug 07 14:56:32 GMT 2024","43566","","E2E - Signup & My Account Scenarios","","","","[Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"broken","Wed Aug 07 14:59:11 GMT 2024","Wed Aug 07 15:00:36 GMT 2024","85801","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"skipped","Wed Aug 07 14:55:48 GMT 2024","Wed Aug 07 14:55:48 GMT 2024","191","","E2E - Signup & My Account Scenarios","","","","Forgot password",""
"failed","Wed Aug 07 14:48:09 GMT 2024","Wed Aug 07 14:48:50 GMT 2024","40823","","E2E - Checkout Scenarios","","","","[Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Wed Aug 07 14:56:32 GMT 2024","Wed Aug 07 14:56:44 GMT 2024","11272","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Wed Aug 07 14:45:06 GMT 2024","Wed Aug 07 14:47:10 GMT 2024","123610","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"broken","Wed Aug 07 14:59:56 GMT 2024","Wed Aug 07 15:00:37 GMT 2024","40642","","Product Landing Page Scenarios","","","","Verify product details on PDP, PLP, Cart Slider and Cart Page",""
"failed","Wed Aug 07 14:49:31 GMT 2024","Wed Aug 07 14:50:21 GMT 2024","50468","","E2E - Checkout Scenarios","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Wed Aug 07 14:53:22 GMT 2024","Wed Aug 07 14:54:21 GMT 2024","58498","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"failed","Wed Aug 07 14:48:48 GMT 2024","Wed Aug 07 14:49:29 GMT 2024","40623","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Wed Aug 07 14:51:11 GMT 2024","Wed Aug 07 14:52:00 GMT 2024","48659","","E2E - Checkout Scenarios","","","","[Sign-in User][.com][MIKPro]Place order via PDP page",""
"passed","Wed Aug 07 15:00:37 GMT 2024","Wed Aug 07 15:01:03 GMT 2024","25588","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Wed Aug 07 14:56:36 GMT 2024","Wed Aug 07 14:57:43 GMT 2024","67062","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"skipped","Wed Aug 07 14:56:44 GMT 2024","Wed Aug 07 14:56:44 GMT 2024","192","","E2E - Signup & My Account Scenarios","","","","[Sign-Up][Rewards] User can able to register with enrolling reward today",""
"passed","Wed Aug 07 14:54:26 GMT 2024","Wed Aug 07 14:55:02 GMT 2024","35363","","E2E - EventHub portal Scenarios","","","","Find a template by searching with template name",""
