"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","73117","Validate content for global headers and footers in makerplace_home page for makerplace","","Fri Feb 07 16:52:52 IST 2025","passed","Fri Feb 07 16:54:05 IST 2025","","Global Scenarios - Header & Footer for Makerplace","",""
"","23220","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page","","Fri Feb 07 16:56:49 IST 2025","passed","Fri Feb 07 16:57:12 IST 2025","","Global Scenarios - Headers & Footer","",""
"","23142","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page","","Fri Feb 07 16:57:33 IST 2025","passed","Fri Feb 07 16:57:56 IST 2025","","Global Scenarios - Headers & Footer","",""
"","77974","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page","","Fri Feb 07 16:45:01 IST 2025","passed","Fri Feb 07 16:46:19 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","92492","[Guest][MK] Navigating Back to Parent Category via Breadcrumb","","Fri Feb 07 16:48:35 IST 2025","passed","Fri Feb 07 16:50:07 IST 2025","","MakerPlace - Mega menu Scenarios","",""
"","40569","SignIn user able to view cart's empty message","","Fri Feb 07 16:14:55 IST 2025","passed","Fri Feb 07 16:15:36 IST 2025","","Cart page Scenarios","",""
"","158766","Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card","","Fri Feb 07 15:11:57 IST 2025","broken","Fri Feb 07 15:14:36 IST 2025","","E2E - Checkout Scenarios -SDD","",""
"","58153","Validate marque banner gets frozen when it is paused","","Fri Feb 07 16:26:54 IST 2025","passed","Fri Feb 07 16:27:52 IST 2025","","Home Page Scenarios","",""
"","145371","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page","","Fri Feb 07 16:06:36 IST 2025","passed","Fri Feb 07 16:09:02 IST 2025","","Cart page Scenarios","",""
"","21226","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page","","Fri Feb 07 16:57:12 IST 2025","passed","Fri Feb 07 16:57:33 IST 2025","","Global Scenarios - Headers & Footer","",""
"","35243","Verify AddToCart functionality in PLP page","","Fri Feb 07 16:37:18 IST 2025","failed","Fri Feb 07 16:37:53 IST 2025","","Product Landing Page Scenarios","",""
"","85415","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page","","Fri Feb 07 16:18:45 IST 2025","passed","Fri Feb 07 16:20:11 IST 2025","","Cart page Scenarios","",""
"","350732","[Guest User][.COM] Verify error messages for invalid values for payment fields in payment review page","","Fri Feb 07 16:12:20 IST 2025","passed","Fri Feb 07 16:18:11 IST 2025","","Payment Review page Scenarios","",""
"","95696","Verify the search functionality of Store Selector pane","","Fri Feb 07 16:28:34 IST 2025","passed","Fri Feb 07 16:30:10 IST 2025","","Store Locator Scenarios","",""
"","183461","[Sign-in User][.com][MIKPro]Place order via PDP page","","Fri Feb 07 15:39:36 IST 2025","passed","Fri Feb 07 15:42:39 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","61754","[Sign-in] Verify user lands on the same page after logging in and logging out from clp page","","Fri Feb 07 16:43:12 IST 2025","passed","Fri Feb 07 16:44:14 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","25662","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_PLP page for makerplace","","Fri Feb 07 16:55:39 IST 2025","passed","Fri Feb 07 16:56:05 IST 2025","","Global Scenarios - Header & Footer for Makerplace","",""
"","111084","[Guest User][Classes & Events][.COM]Free Classes & Events at online","","Fri Feb 07 15:50:39 IST 2025","passed","Fri Feb 07 15:52:30 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","41144","Verify social login options on sign up page","","Fri Feb 07 16:36:56 IST 2025","passed","Fri Feb 07 16:37:37 IST 2025","","Sign In and Sign Up pages Scenarios","",""
