"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 07 15:57:57 IST 2025","Tue Jan 07 16:03:53 IST 2025","355707","","Payment Review page Scenarios","","","","[Guest User][.COM] Verify error messages for invalid values for payment fields in payment review page",""
"passed","Tue Jan 07 16:59:08 IST 2025","Tue Jan 07 16:59:28 IST 2025","20712","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"passed","Tue Jan 07 16:16:17 IST 2025","Tue Jan 07 16:17:01 IST 2025","43984","","Store Locator Scenarios","","","","Verify that the Store Locator can be changed multiple times",""
"passed","Tue Jan 07 14:44:02 IST 2025","Tue Jan 07 14:46:00 IST 2025","118045","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Tue Jan 07 20:48:37 IST 2025","Tue Jan 07 20:49:22 IST 2025","45282","","E2E - EventHub portal Scenarios","","","","Create template for Online Event",""
"passed","Tue Jan 07 16:56:27 IST 2025","Tue Jan 07 16:57:27 IST 2025","60268","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in pdp page",""
"passed","Tue Jan 07 16:47:09 IST 2025","Tue Jan 07 16:47:52 IST 2025","42733","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Tue Jan 07 14:38:03 IST 2025","Tue Jan 07 14:42:12 IST 2025","248894","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"broken","Tue Jan 07 15:41:44 IST 2025","Tue Jan 07 15:44:26 IST 2025","162382","","E2E - Checkout Scenarios -STM","","","","[Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior",""
"broken","Tue Jan 07 16:33:56 IST 2025","Tue Jan 07 16:35:49 IST 2025","113236","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Tue Jan 07 15:56:12 IST 2025","Tue Jan 07 15:58:19 IST 2025","126900","","Cart page Scenarios","","","","Verify that products in the cart are grouped separately according to their respective sellers",""
"passed","Tue Jan 07 15:45:24 IST 2025","Tue Jan 07 15:46:15 IST 2025","50847","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"broken","Tue Jan 07 16:06:56 IST 2025","Tue Jan 07 16:09:58 IST 2025","182205","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Tue Jan 07 18:48:24 IST 2025","Tue Jan 07 18:51:49 IST 2025","205054","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Tue Jan 07 16:20:36 IST 2025","Tue Jan 07 16:21:00 IST 2025","24071","","Home Page Scenarios","","","","Validate marque banner progression through automatic rotation",""
"passed","Tue Jan 07 15:40:54 IST 2025","Tue Jan 07 15:42:47 IST 2025","112770","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Jan 07 15:10:33 IST 2025","Tue Jan 07 15:15:52 IST 2025","319191","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"failed","Tue Jan 07 20:39:39 IST 2025","Tue Jan 07 20:42:25 IST 2025","166330","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com][MIKPro]Place order via PDP page",""
"passed","Tue Jan 07 15:02:07 IST 2025","Tue Jan 07 15:02:49 IST 2025","41442","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"passed","Tue Jan 07 16:15:24 IST 2025","Tue Jan 07 16:16:17 IST 2025","52731","","Store Locator Scenarios","","","","Verify the search functionality of Store Selector pane",""
"passed","Tue Jan 07 15:45:38 IST 2025","Tue Jan 07 15:48:06 IST 2025","147503","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"broken","Tue Jan 07 15:08:56 IST 2025","Tue Jan 07 15:11:21 IST 2025","145561","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Tue Jan 07 15:49:33 IST 2025","Tue Jan 07 15:50:44 IST 2025","71227","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Tue Jan 07 16:21:00 IST 2025","Tue Jan 07 16:21:55 IST 2025","55582","","Home Page Scenarios","","","","Validate marque banner gets frozen when it is paused",""
"failed","Tue Jan 07 19:32:20 IST 2025","Tue Jan 07 19:35:48 IST 2025","207770","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Tue Jan 07 16:14:08 IST 2025","Tue Jan 07 16:15:24 IST 2025","76156","","Store Locator Scenarios","","","","Verify and validate each store details from the preview pane",""
"passed","Tue Jan 07 15:22:51 IST 2025","Tue Jan 07 15:24:54 IST 2025","122739","","E2E - Marketplace seller Scenarios","","","","[Seller account][marketplace] Create product and verify on marketplace listing management",""
"passed","Tue Jan 07 19:21:44 IST 2025","Tue Jan 07 19:23:57 IST 2025","133697","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Tue Jan 07 16:42:25 IST 2025","Tue Jan 07 16:43:16 IST 2025","50911","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from home page",""
"failed","Tue Jan 07 15:13:29 IST 2025","Tue Jan 07 15:15:35 IST 2025","125190","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Tue Jan 07 16:17:04 IST 2025","Tue Jan 07 16:17:32 IST 2025","27865","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"passed","Tue Jan 07 16:58:31 IST 2025","Tue Jan 07 16:58:49 IST 2025","18370","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"passed","Tue Jan 07 16:49:23 IST 2025","Tue Jan 07 16:50:43 IST 2025","80213","","MakerPlace - Mega menu Scenarios","","","","[Guest][MK] Navigating Back to Parent Category via Breadcrumb",""
"passed","Tue Jan 07 15:53:52 IST 2025","Tue Jan 07 15:55:30 IST 2025","98151","","Cart page Scenarios","","","","SignIn user able to view michaels rewards amount",""
"broken","Tue Jan 07 16:19:08 IST 2025","Tue Jan 07 16:20:36 IST 2025","88139","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"passed","Tue Jan 07 16:47:19 IST 2025","Tue Jan 07 16:49:31 IST 2025","132132","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in home page",""
"passed","Tue Jan 07 15:50:43 IST 2025","Tue Jan 07 15:51:52 IST 2025","69331","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Tue Jan 07 14:44:07 IST 2025","Tue Jan 07 14:45:34 IST 2025","87191","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User]PlaceOrder using Same Day Delivery",""
"passed","Tue Jan 07 19:49:07 IST 2025","Tue Jan 07 19:50:47 IST 2025","100250","","Birthday Party Scenarios","","","","signedIn user books a party with Add-On and verifies the order in admin portal",""
"passed","Tue Jan 07 15:02:49 IST 2025","Tue Jan 07 15:03:31 IST 2025","42465","","E2E - EventHub portal Scenarios","","","","Create Ondemand Class",""
"failed","Tue Jan 07 14:49:47 IST 2025","Tue Jan 07 14:52:12 IST 2025","145546","","E2E - Checkout Scenarios -STM","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"passed","Tue Jan 07 15:48:06 IST 2025","Tue Jan 07 15:49:28 IST 2025","82348","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"passed","Tue Jan 07 16:46:39 IST 2025","Tue Jan 07 16:47:02 IST 2025","22858","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Tue Jan 07 16:45:45 IST 2025","Tue Jan 07 16:46:39 IST 2025","54575","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from cart page",""
"passed","Tue Jan 07 16:07:01 IST 2025","Tue Jan 07 16:07:38 IST 2025","37626","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Tue Jan 07 16:38:56 IST 2025","Tue Jan 07 16:39:39 IST 2025","42864","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Tue Jan 07 16:54:08 IST 2025","Tue Jan 07 16:54:34 IST 2025","26687","","Global Scenarios - Header & Footer for Makerplace","","","","Validate content for global headers and footers in makerplace_CLP page for makerplace",""
"passed","Tue Jan 07 16:37:33 IST 2025","Tue Jan 07 16:38:14 IST 2025","41568","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Tue Jan 07 15:15:52 IST 2025","Tue Jan 07 15:18:09 IST 2025","136641","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
