"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","","0","Product Landing Page Scenarios","6","0","","0"
"1","","0","Cart page Scenarios","8","0","","0"
"0","","0","E2E - EventHub portal Scenarios","9","0","","0"
"0","","0","Home Page Scenarios","1","0","","0"
"2","","6","E2E - Checkout Scenarios -STM","3","0","","0"
"0","","1","Store Locator Scenarios","2","0","","0"
"1","","0","E2E - Checkout Scenarios -SDD","4","0","","0"
"2","","1","E2E - Signup & My Account Scenarios","4","0","","0"
"1","","0","Global Scenarios - Headers","8","0","","0"
"0","","0","E2E - Marketplace seller Scenarios","1","0","","0"
"2","","0","E2E - Classes, Events & Project Scenarios","4","0","","0"
"1","","1","E2E - Checkout Scenarios -BOIPS","6","0","","0"
"1","","1","E2E - Marketplace Scenarios","3","0","","0"
"0","","0","Mega menu Scenarios","3","0","","0"
"0","","0","MAP - Admin Portal scenarios","1","0","","0"
"1","","0","MakerPlace - Mega menu Scenarios","0","0","","0"
"1","","0","Product Description Page Scenarios","1","0","","0"
