"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 08 14:27:27 IST 2025","Wed Jan 08 14:29:03 IST 2025","96248","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Wed Jan 08 14:55:14 IST 2025","Wed Jan 08 14:56:51 IST 2025","96469","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Wed Jan 08 14:43:30 IST 2025","Wed Jan 08 14:44:17 IST 2025","46636","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"passed","Wed Jan 08 14:57:38 IST 2025","Wed Jan 08 14:57:58 IST 2025","19792","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"failed","Wed Jan 08 14:31:31 IST 2025","Wed Jan 08 14:33:59 IST 2025","148565","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"failed","Wed Jan 08 15:29:59 IST 2025","Wed Jan 08 15:31:21 IST 2025","82722","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"passed","Wed Jan 08 15:54:59 IST 2025","Wed Jan 08 15:56:18 IST 2025","79051","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"passed","Wed Jan 08 14:56:53 IST 2025","Wed Jan 08 14:57:29 IST 2025","35618","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Wed Jan 08 18:11:11 IST 2025","Wed Jan 08 18:12:34 IST 2025","83251","","Birthday Party Scenarios","","","","signedIn user books a party without Add-On and verifies the order in admin portal",""
"broken","Wed Jan 08 14:58:44 IST 2025","Wed Jan 08 14:59:58 IST 2025","73352","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"failed","Wed Jan 08 14:51:48 IST 2025","Wed Jan 08 14:52:31 IST 2025","43315","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"broken","Wed Jan 08 14:54:34 IST 2025","Wed Jan 08 14:54:47 IST 2025","12599","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"passed","Wed Jan 08 14:55:55 IST 2025","Wed Jan 08 14:56:40 IST 2025","44716","","Home Page Scenarios","","","","Validate marque banner gets frozen when it is paused",""
"broken","Wed Jan 08 14:26:43 IST 2025","Wed Jan 08 14:28:22 IST 2025","99192","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Wed Jan 08 14:57:03 IST 2025","Wed Jan 08 14:57:38 IST 2025","35451","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"passed","Wed Jan 08 14:40:38 IST 2025","Wed Jan 08 14:43:09 IST 2025","151448","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"broken","Wed Jan 08 15:03:48 IST 2025","Wed Jan 08 15:05:14 IST 2025","86715","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"broken","Wed Jan 08 15:06:36 IST 2025","Wed Jan 08 15:07:57 IST 2025","80881","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"broken","Wed Jan 08 18:56:13 IST 2025","Wed Jan 08 18:59:01 IST 2025","168055","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, SDD",""
"failed","Wed Jan 08 18:25:39 IST 2025","Wed Jan 08 18:27:40 IST 2025","121223","","Birthday Party Scenarios","","","","signedIn user books a party with Add-On and verifies the order in admin portal",""
"passed","Wed Jan 08 14:55:31 IST 2025","Wed Jan 08 14:55:55 IST 2025","23445","","Home Page Scenarios","","","","Validate marque banner progression through automatic rotation",""
"passed","Wed Jan 08 14:54:04 IST 2025","Wed Jan 08 14:54:21 IST 2025","17259","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"broken","Wed Jan 08 18:46:03 IST 2025","Wed Jan 08 18:48:09 IST 2025","126043","","Cart page Scenarios","","","","[Guest User] Verify Zip code change for Same Day Delivery",""
"passed","Wed Jan 08 14:53:07 IST 2025","Wed Jan 08 14:54:04 IST 2025","56824","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"broken","Wed Jan 08 14:57:59 IST 2025","Wed Jan 08 14:59:28 IST 2025","88733","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"broken","Wed Jan 08 18:49:37 IST 2025","Wed Jan 08 18:52:55 IST 2025","198463","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Wed Jan 08 14:54:47 IST 2025","Wed Jan 08 14:55:03 IST 2025","16461","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"broken","Wed Jan 08 14:43:01 IST 2025","Wed Jan 08 14:45:22 IST 2025","141579","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - STM, SDD",""
"passed","Wed Jan 08 14:59:58 IST 2025","Wed Jan 08 15:00:20 IST 2025","22417","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Wed Jan 08 14:57:58 IST 2025","Wed Jan 08 14:58:19 IST 2025","21236","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Wed Jan 08 14:58:19 IST 2025","Wed Jan 08 14:58:42 IST 2025","23154","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"passed","Wed Jan 08 14:44:17 IST 2025","Wed Jan 08 14:45:14 IST 2025","57493","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"broken","Wed Jan 08 14:27:35 IST 2025","Wed Jan 08 14:29:10 IST 2025","94991","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Wed Jan 08 14:34:08 IST 2025","Wed Jan 08 14:34:21 IST 2025","13033","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Wed Jan 08 14:52:32 IST 2025","Wed Jan 08 14:52:57 IST 2025","25081","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Wed Jan 08 14:45:15 IST 2025","Wed Jan 08 14:46:10 IST 2025","55948","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"passed","Wed Jan 08 14:43:09 IST 2025","Wed Jan 08 14:43:30 IST 2025","21016","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"broken","Wed Jan 08 14:37:10 IST 2025","Wed Jan 08 14:38:40 IST 2025","90091","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Wed Jan 08 14:52:57 IST 2025","Wed Jan 08 14:53:37 IST 2025","40653","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Wed Jan 08 14:55:06 IST 2025","Wed Jan 08 14:56:28 IST 2025","82039","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Wed Jan 08 14:55:03 IST 2025","Wed Jan 08 14:55:31 IST 2025","28109","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"broken","Wed Jan 08 15:31:49 IST 2025","Wed Jan 08 15:32:14 IST 2025","24868","","Product Landing Page Scenarios","","","","Apply multiple filters on the PLP page",""
"passed","Wed Jan 08 18:03:49 IST 2025","Wed Jan 08 18:05:06 IST 2025","76605","","Birthday Party Scenarios","","","","guest user books a party without Add-On and verifies the order in admin portal",""
"passed","Wed Jan 08 19:04:17 IST 2025","Wed Jan 08 19:05:31 IST 2025","73876","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"broken","Wed Jan 08 15:00:54 IST 2025","Wed Jan 08 15:02:21 IST 2025","87044","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"broken","Wed Jan 08 14:37:48 IST 2025","Wed Jan 08 14:40:41 IST 2025","172780","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"passed","Wed Jan 08 15:00:20 IST 2025","Wed Jan 08 15:00:37 IST 2025","16653","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Wed Jan 08 14:38:50 IST 2025","Wed Jan 08 14:40:27 IST 2025","96728","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"failed","Wed Jan 08 14:31:39 IST 2025","Wed Jan 08 14:34:11 IST 2025","151757","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"broken","Wed Jan 08 18:38:28 IST 2025","Wed Jan 08 18:40:41 IST 2025","133187","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
