"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 08 09:41:49 CDT 2024","Tue Oct 08 09:42:11 CDT 2024","21359","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"skipped","Tue Oct 08 09:24:40 CDT 2024","Tue Oct 08 09:24:40 CDT 2024","8","","E2E - Signup & My Account Scenarios","","","","Signup with enrolling reward today",""
"passed","Tue Oct 08 09:30:39 CDT 2024","Tue Oct 08 09:31:00 CDT 2024","21093","","Cart page Scenarios","","","","SignIn user able to view cart's empty message",""
"passed","Tue Oct 08 09:42:11 CDT 2024","Tue Oct 08 09:42:29 CDT 2024","18037","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Tue Oct 08 09:31:00 CDT 2024","Tue Oct 08 09:31:50 CDT 2024","50111","","Cart page Scenarios","","","","Verify that products in the cart are grouped separately according to their respective sellers",""
"passed","Tue Oct 08 09:47:50 CDT 2024","Tue Oct 08 09:48:03 CDT 2024","13317","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Tue Oct 08 09:16:35 CDT 2024","Tue Oct 08 09:17:37 CDT 2024","62200","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"passed","Tue Oct 08 09:11:37 CDT 2024","Tue Oct 08 09:12:39 CDT 2024","61464","","E2E - Checkout Scenarios -BOIPS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Tue Oct 08 09:34:17 CDT 2024","Tue Oct 08 09:34:53 CDT 2024","35595","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Tue Oct 08 09:41:12 CDT 2024","Tue Oct 08 09:41:49 CDT 2024","37110","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"broken","Tue Oct 08 09:34:34 CDT 2024","Tue Oct 08 09:36:46 CDT 2024","132166","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Tue Oct 08 09:30:02 CDT 2024","Tue Oct 08 09:30:39 CDT 2024","36060","","Cart page Scenarios","","","","SignIn user able to view michaels rewards amount",""
"passed","Tue Oct 08 09:17:42 CDT 2024","Tue Oct 08 09:18:30 CDT 2024","48229","","E2E - Checkout Scenarios -BOIPS","","","","[Sign-in User][.com][MIKPro]Place order via PDP page",""
"passed","Tue Oct 08 09:35:34 CDT 2024","Tue Oct 08 09:36:00 CDT 2024","26259","","Store Locator Scenarios","","","","Verify and validate each store details from the preview pane",""
"passed","Tue Oct 08 09:36:08 CDT 2024","Tue Oct 08 09:37:24 CDT 2024","76186","","Product Description Page Scenarios","","","","Verify the product variants",""
"passed","Tue Oct 08 09:28:18 CDT 2024","Tue Oct 08 09:29:26 CDT 2024","67487","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Tue Oct 08 09:13:54 CDT 2024","Tue Oct 08 09:14:55 CDT 2024","60351","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"broken","Tue Oct 08 09:24:20 CDT 2024","Tue Oct 08 09:25:40 CDT 2024","79786","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events at online",""
"broken","Tue Oct 08 09:27:01 CDT 2024","Tue Oct 08 09:28:20 CDT 2024","79735","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Tue Oct 08 09:45:42 CDT 2024","Tue Oct 08 09:47:26 CDT 2024","103864","","Global Scenarios - Headers","","","","Validate content for global headers in cart page",""
"passed","Tue Oct 08 09:10:38 CDT 2024","Tue Oct 08 09:11:24 CDT 2024","45696","","E2E - Checkout Scenarios -STM","","","","[Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
