"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Sep 09 14:30:55 IST 2024","Mon Sep 09 14:32:10 IST 2024","74899","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"passed","Mon Sep 09 14:34:46 IST 2024","Mon Sep 09 14:35:39 IST 2024","52937","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"skipped","Mon Sep 09 14:40:09 IST 2024","Mon Sep 09 14:40:10 IST 2024","982","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"broken","Mon Sep 09 14:31:40 IST 2024","Mon Sep 09 14:32:52 IST 2024","71699","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Mon Sep 09 14:41:18 IST 2024","Mon Sep 09 14:42:36 IST 2024","77385","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"passed","Mon Sep 09 14:34:07 IST 2024","Mon Sep 09 14:34:46 IST 2024","38936","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"skipped","Mon Sep 09 14:40:04 IST 2024","Mon Sep 09 14:40:07 IST 2024","3246","","E2E - Signup & My Account Scenarios","","","","Forgot password",""
"broken","Mon Sep 09 14:28:16 IST 2024","Mon Sep 09 14:29:34 IST 2024","78471","","E2E - Checkout Scenarios","","","","[Sign-in User]PlaceOrder using Same Day Delivery",""
"broken","Mon Sep 09 14:26:12 IST 2024","Mon Sep 09 14:28:14 IST 2024","122293","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Mon Sep 09 14:39:37 IST 2024","Mon Sep 09 14:39:55 IST 2024","17937","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"skipped","Mon Sep 09 14:40:07 IST 2024","Mon Sep 09 14:40:09 IST 2024","1812","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"passed","Mon Sep 09 14:35:39 IST 2024","Mon Sep 09 14:36:18 IST 2024","39205","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"broken","Mon Sep 09 14:38:08 IST 2024","Mon Sep 09 14:39:07 IST 2024","58441","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"broken","Mon Sep 09 14:32:42 IST 2024","Mon Sep 09 14:33:41 IST 2024","58886","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"broken","Mon Sep 09 14:35:53 IST 2024","Mon Sep 09 14:37:07 IST 2024","74853","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"broken","Mon Sep 09 14:44:01 IST 2024","Mon Sep 09 14:44:45 IST 2024","44246","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"broken","Mon Sep 09 14:26:12 IST 2024","Mon Sep 09 14:28:18 IST 2024","125672","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"broken","Mon Sep 09 14:42:36 IST 2024","Mon Sep 09 14:44:01 IST 2024","84912","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"broken","Mon Sep 09 14:29:33 IST 2024","Mon Sep 09 14:30:40 IST 2024","67501","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Mon Sep 09 14:33:22 IST 2024","Mon Sep 09 14:34:07 IST 2024","45489","","E2E - EventHub portal Scenarios","","","","Create template for Online Event",""
"passed","Mon Sep 09 14:46:44 IST 2024","Mon Sep 09 14:48:09 IST 2024","84552","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"skipped","Mon Sep 09 14:38:16 IST 2024","Mon Sep 09 14:38:16 IST 2024","13","","E2E - Marketplace seller Scenarios","","","","[Seller account][marketplace] Create product and verify on marketplace listing management",""
