"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 18:39:07 IST 2024","Wed Apr 10 18:40:56 IST 2024","109193","","P2 E2E Scenarios","","","","P2_04 [Guest user][.com][MIKPro]Place order via PDP page",""
"broken","Wed Apr 10 18:42:21 IST 2024","Wed Apr 10 18:43:37 IST 2024","76514","","P2 E2E Scenarios","","","","P2_06 [Sign-in User][.com][MIKPro]Place order via PDP page",""
"passed","Wed Apr 10 18:32:18 IST 2024","Wed Apr 10 18:33:56 IST 2024","98878","","P1 E2E Scenarios","","","","P1_04 [Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Wed Apr 10 18:57:22 IST 2024","Wed Apr 10 18:58:31 IST 2024","68777","","P1 E2E Scenarios","","","","P1_19 [Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Wed Apr 10 18:48:49 IST 2024","Wed Apr 10 18:50:35 IST 2024","106945","","P1 E2E Scenarios","","","","P1_12 [Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Wed Apr 10 18:51:26 IST 2024","Wed Apr 10 18:52:19 IST 2024","53150","","P1 E2E Scenarios","","","","P1_13 [Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Wed Apr 10 18:50:36 IST 2024","Wed Apr 10 18:51:26 IST 2024","49999","","P1 E2E Scenarios","","","","P1_12 [Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Wed Apr 10 18:32:46 IST 2024","Wed Apr 10 18:34:04 IST 2024","78359","","P0 E2E Scenarios","","","","P0_03 [Guest User]PlaceOrder using Same Day Delivery",""
"broken","Wed Apr 10 19:00:05 IST 2024","Wed Apr 10 19:00:28 IST 2024","23070","","P1 E2E Scenarios","","","","P1_22 Reset password",""
"passed","Wed Apr 10 18:41:58 IST 2024","Wed Apr 10 18:44:27 IST 2024","149625","","P1 E2E Scenarios","","","","P1_09 [Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"broken","Wed Apr 10 18:29:04 IST 2024","Wed Apr 10 18:35:10 IST 2024","365716","","P2 E2E Scenarios","","","","P2_01 Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"broken","Wed Apr 10 18:38:56 IST 2024","Wed Apr 10 18:40:11 IST 2024","74573","","P0 E2E Scenarios","","","","P0_07 [Sign-in User]PlaceOrder using SHIP TO ME",""
"broken","Wed Apr 10 18:40:43 IST 2024","Wed Apr 10 18:41:58 IST 2024","74941","","P1 E2E Scenarios","","","","P1_08 [Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"broken","Wed Apr 10 18:43:01 IST 2024","Wed Apr 10 18:44:07 IST 2024","65916","","P0 E2E Scenarios","","","","P0_10 Signup with enrolling reward today",""
"passed","Wed Apr 10 18:29:04 IST 2024","Wed Apr 10 18:29:53 IST 2024","49187","","P1 E2E Scenarios","","","","P1_01 [Guest User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Wed Apr 10 18:33:56 IST 2024","Wed Apr 10 18:36:09 IST 2024","132613","","P1 E2E Scenarios","","","","P1_05 [Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"passed","Wed Apr 10 18:29:05 IST 2024","Wed Apr 10 18:31:30 IST 2024","145606","","P0 E2E Scenarios","","","","P0_01 [Guest User]PlaceOrder using Store pickup",""
"passed","Wed Apr 10 18:35:10 IST 2024","Wed Apr 10 18:36:37 IST 2024","86741","","P2 E2E Scenarios","","","","P2_02 [Guest user][.com]Place order using different variant",""
"passed","Wed Apr 10 18:34:04 IST 2024","Wed Apr 10 18:35:52 IST 2024","107535","","P0 E2E Scenarios","","","","P0_04 [Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"broken","Wed Apr 10 18:42:06 IST 2024","Wed Apr 10 18:43:01 IST 2024","54664","","P0 E2E Scenarios","","","","P0_09 [Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Wed Apr 10 18:36:09 IST 2024","Wed Apr 10 18:38:50 IST 2024","160449","","P1 E2E Scenarios","","","","P1_06 [Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"broken","Wed Apr 10 18:44:54 IST 2024","Wed Apr 10 18:45:20 IST 2024","25968","","P2 E2E Scenarios","","","","P2_08 [Sign-in User][.com]Reordering from order history page by clicking on ""Buy All Again"" Button",""
"broken","Wed Apr 10 18:55:39 IST 2024","Wed Apr 10 18:56:34 IST 2024","55018","","P1 E2E Scenarios","","","","P1_17 [Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"passed","Wed Apr 10 18:35:52 IST 2024","Wed Apr 10 18:37:20 IST 2024","88013","","P0 E2E Scenarios","","","","P0_05 Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
