"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 10 16:44:45 IST 2024","Tue Dec 10 16:46:47 IST 2024","121700","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Tue Dec 10 16:56:38 IST 2024","Tue Dec 10 16:57:03 IST 2024","25566","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"broken","Tue Dec 10 16:33:23 IST 2024","Tue Dec 10 16:35:32 IST 2024","128189","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Tue Dec 10 16:44:38 IST 2024","Tue Dec 10 16:46:09 IST 2024","91511","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Tue Dec 10 16:38:14 IST 2024","Tue Dec 10 16:41:07 IST 2024","172834","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Tue Dec 10 16:56:09 IST 2024","Tue Dec 10 16:56:38 IST 2024","29239","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"broken","Tue Dec 10 16:38:25 IST 2024","Tue Dec 10 16:39:44 IST 2024","79057","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Tue Dec 10 16:49:24 IST 2024","Tue Dec 10 16:49:59 IST 2024","35144","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"broken","Tue Dec 10 16:38:57 IST 2024","Tue Dec 10 16:40:43 IST 2024","106132","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Dec 10 16:41:07 IST 2024","Tue Dec 10 16:41:57 IST 2024","49358","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Tue Dec 10 16:48:08 IST 2024","Tue Dec 10 16:48:51 IST 2024","43662","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"broken","Tue Dec 10 16:49:34 IST 2024","Tue Dec 10 16:50:41 IST 2024","67658","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"broken","Tue Dec 10 16:35:04 IST 2024","Tue Dec 10 16:36:16 IST 2024","71364","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Tue Dec 10 16:39:58 IST 2024","Tue Dec 10 16:42:08 IST 2024","129974","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Tue Dec 10 16:41:57 IST 2024","Tue Dec 10 16:43:16 IST 2024","78874","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"passed","Tue Dec 10 16:45:50 IST 2024","Tue Dec 10 16:46:30 IST 2024","40223","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"broken","Tue Dec 10 16:53:48 IST 2024","Tue Dec 10 16:55:21 IST 2024","93781","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"broken","Tue Dec 10 16:29:45 IST 2024","Tue Dec 10 16:32:20 IST 2024","154655","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Tue Dec 10 16:40:52 IST 2024","Tue Dec 10 16:41:56 IST 2024","63951","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Tue Dec 10 16:33:12 IST 2024","Tue Dec 10 16:33:30 IST 2024","18264","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Tue Dec 10 16:48:41 IST 2024","Tue Dec 10 16:49:24 IST 2024","43051","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Tue Dec 10 16:43:41 IST 2024","Tue Dec 10 16:44:45 IST 2024","64109","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Tue Dec 10 16:57:03 IST 2024","Tue Dec 10 16:57:35 IST 2024","31969","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"passed","Tue Dec 10 16:46:30 IST 2024","Tue Dec 10 16:47:27 IST 2024","56090","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"passed","Tue Dec 10 16:43:16 IST 2024","Tue Dec 10 16:45:20 IST 2024","124520","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
