"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 10 13:42:50 IST 2024","Tue Dec 10 13:44:42 IST 2024","112038","","Cart page Scenarios","","","","Verify that products in the cart are grouped separately according to their respective sellers",""
"passed","Tue Dec 10 13:33:30 IST 2024","Tue Dec 10 13:39:48 IST 2024","378110","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"passed","Tue Dec 10 13:16:07 IST 2024","Tue Dec 10 13:18:54 IST 2024","167322","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"broken","Tue Dec 10 13:31:09 IST 2024","Tue Dec 10 13:33:04 IST 2024","115246","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com]Place order using different variant",""
"passed","Tue Dec 10 13:21:50 IST 2024","Tue Dec 10 13:24:15 IST 2024","144979","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Tue Dec 10 13:22:31 IST 2024","Tue Dec 10 13:24:38 IST 2024","126725","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Tue Dec 10 14:21:54 IST 2024","Tue Dec 10 14:22:22 IST 2024","28220","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"skipped","Tue Dec 10 13:26:53 IST 2024","Tue Dec 10 13:27:08 IST 2024","14364","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"skipped","Tue Dec 10 13:33:42 IST 2024","Tue Dec 10 13:33:52 IST 2024","9483","","E2E - EventHub portal Scenarios","","","","Create Ondemand Class",""
"passed","Tue Dec 10 14:16:17 IST 2024","Tue Dec 10 14:16:44 IST 2024","27006","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"skipped","Tue Dec 10 13:19:22 IST 2024","Tue Dec 10 13:19:33 IST 2024","10926","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"skipped","Tue Dec 10 14:16:00 IST 2024","Tue Dec 10 14:16:03 IST 2024","2549","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from plp page",""
"passed","Tue Dec 10 14:12:52 IST 2024","Tue Dec 10 14:14:56 IST 2024","124002","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"skipped","Tue Dec 10 14:16:03 IST 2024","Tue Dec 10 14:16:08 IST 2024","4683","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page",""
"passed","Tue Dec 10 13:44:42 IST 2024","Tue Dec 10 13:46:34 IST 2024","111632","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Tue Dec 10 14:16:05 IST 2024","Tue Dec 10 14:17:54 IST 2024","109025","","Global Scenarios - Headers","","","","Validate content for global headers and footers in clp page",""
"passed","Tue Dec 10 14:34:35 IST 2024","Tue Dec 10 14:34:51 IST 2024","16338","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"passed","Tue Dec 10 14:17:02 IST 2024","Tue Dec 10 14:18:36 IST 2024","93879","","MakerPlace - Mega menu Scenarios","","","","[Guest][MK] Navigating Back to Parent Category via Breadcrumb",""
"skipped","Tue Dec 10 13:39:06 IST 2024","Tue Dec 10 13:39:06 IST 2024","46","","MAP - Admin Portal scenarios","","","","[Sign-in] Verifying the Category & Content list display for ""FAQ Management""",""
"skipped","Tue Dec 10 13:22:09 IST 2024","Tue Dec 10 13:22:18 IST 2024","9294","","E2E - Checkout Scenarios -STM","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"skipped","Tue Dec 10 13:46:40 IST 2024","Tue Dec 10 13:46:46 IST 2024","5982","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Tue Dec 10 15:00:16 IST 2024","Tue Dec 10 15:04:11 IST 2024","234937","","Product Description Page Scenarios","","","","Update quantity in PDP page and verify order summary in cart, checkout and payment review page",""
"skipped","Tue Dec 10 13:42:46 IST 2024","Tue Dec 10 13:42:47 IST 2024","1216","","Cart page Scenarios","","","","SignIn user able to view michaels rewards amount",""
"skipped","Tue Dec 10 13:46:17 IST 2024","Tue Dec 10 13:46:40 IST 2024","23421","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"skipped","Tue Dec 10 13:33:05 IST 2024","Tue Dec 10 13:33:08 IST 2024","2950","","E2E - Checkout Scenarios -STM","","","","[Sign-in] Validate Save order for pre-existing user",""
"passed","Tue Dec 10 13:41:33 IST 2024","Tue Dec 10 13:42:46 IST 2024","73431","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"skipped","Tue Dec 10 14:15:54 IST 2024","Tue Dec 10 14:15:56 IST 2024","1945","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from home page",""
"passed","Tue Dec 10 13:54:23 IST 2024","Tue Dec 10 13:54:57 IST 2024","33979","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Tue Dec 10 14:30:48 IST 2024","Tue Dec 10 14:32:04 IST 2024","76199","","Global Scenarios - Headers","","","","Validate content for global headers and footers in pdp page",""
"skipped","Tue Dec 10 13:33:30 IST 2024","Tue Dec 10 13:33:42 IST 2024","12620","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
