"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 10 23:23:23 IST 2024","Tue Dec 10 23:24:31 IST 2024","68175","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Tue Dec 10 22:24:05 IST 2024","Tue Dec 10 22:26:47 IST 2024","161668","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Tue Dec 10 23:08:48 IST 2024","Tue Dec 10 23:09:48 IST 2024","59736","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"passed","Tue Dec 10 22:36:00 IST 2024","Tue Dec 10 22:36:56 IST 2024","56267","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"passed","Tue Dec 10 23:42:57 IST 2024","Tue Dec 10 23:43:19 IST 2024","21667","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Tue Dec 10 23:06:04 IST 2024","Tue Dec 10 23:07:21 IST 2024","77579","","Cart page Scenarios","","","","SignIn user able to view michaels rewards amount",""
"passed","Tue Dec 10 23:24:37 IST 2024","Tue Dec 10 23:25:13 IST 2024","36058","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Tue Dec 10 22:35:14 IST 2024","Tue Dec 10 22:36:00 IST 2024","45977","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"passed","Tue Dec 10 23:20:10 IST 2024","Tue Dec 10 23:22:05 IST 2024","115522","","Store Locator Scenarios","","","","Verify that store options can be updated from the pickup dialog in the cart",""
"passed","Tue Dec 10 22:59:37 IST 2024","Tue Dec 10 23:00:46 IST 2024","68806","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Dec 10 23:09:55 IST 2024","Tue Dec 10 23:11:50 IST 2024","115008","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Tue Dec 10 22:28:44 IST 2024","Tue Dec 10 22:30:35 IST 2024","111378","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Tue Dec 10 23:25:13 IST 2024","Tue Dec 10 23:25:49 IST 2024","36383","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
