"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100462","[Sign-up] Email-Sign up michaels offers email from footer","","Mon Feb 10 19:00:13 IST 2025","passed","Mon Feb 10 19:01:54 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","156011","Guest user is able to signin from cart page via button","","Mon Feb 10 19:30:29 IST 2025","broken","Mon Feb 10 19:33:05 IST 2025","","Cart page Scenarios","",""
"","25006","Validate marque banner progression through automatic rotation","","Mon Feb 10 19:08:15 IST 2025","passed","Mon Feb 10 19:08:40 IST 2025","","Home Page Scenarios","",""
"","23569","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page","","Mon Feb 10 19:13:09 IST 2025","passed","Mon Feb 10 19:13:33 IST 2025","","Global Scenarios - Headers & Footer","",""
"","23315","Verify header labels are displayed in ellipses menu when browser window is minimized","","Mon Feb 10 19:07:28 IST 2025","passed","Mon Feb 10 19:07:52 IST 2025","","Home Page Scenarios","",""
"","130883","[Guest user][.com]Place order using shipping methods - BOPIS, SDD","","Mon Feb 10 19:02:31 IST 2025","broken","Mon Feb 10 19:04:42 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","149925","Validate browsing through the megamenu to land on CLP or PLP","","Mon Feb 10 19:06:30 IST 2025","passed","Mon Feb 10 19:09:00 IST 2025","","Mega menu Scenarios","",""
"","23452","Verify all shipping methods are displayed in PLP page","","Mon Feb 10 19:14:13 IST 2025","passed","Mon Feb 10 19:14:36 IST 2025","","Product Landing Page Scenarios","",""
"","77639","signedIn user books a party without Add-On and verifies the order in admin portal","","Mon Feb 10 19:00:47 IST 2025","passed","Mon Feb 10 19:02:05 IST 2025","","Birthday Party Scenarios","",""
"","167632","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Mon Feb 10 18:51:40 IST 2025","passed","Mon Feb 10 18:54:28 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","120030","Navigating Back to Parent Category via Breadcrumb","","Mon Feb 10 19:02:31 IST 2025","passed","Mon Feb 10 19:04:31 IST 2025","","Mega menu Scenarios","",""
"","157453","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card","","Mon Feb 10 19:30:19 IST 2025","broken","Mon Feb 10 19:32:57 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","81534","guest user books a party without Add-On and verifies the order in admin portal","","Mon Feb 10 18:56:54 IST 2025","passed","Mon Feb 10 18:58:15 IST 2025","","Birthday Party Scenarios","",""
"","24548","Apply multiple filters on the PLP page","","Mon Feb 10 19:15:03 IST 2025","broken","Mon Feb 10 19:15:28 IST 2025","","Product Landing Page Scenarios","",""
"","33304","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page","","Mon Feb 10 19:13:55 IST 2025","passed","Mon Feb 10 19:14:28 IST 2025","","Global Scenarios - Headers & Footer","",""
"","31891","Verify social login options on sign up page","","Mon Feb 10 19:09:31 IST 2025","passed","Mon Feb 10 19:10:03 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","26705","verify user is able to update zipcode for SDD in PLP","","Mon Feb 10 19:14:37 IST 2025","passed","Mon Feb 10 19:15:03 IST 2025","","Product Landing Page Scenarios","",""
"","22133","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page","","Mon Feb 10 19:13:33 IST 2025","passed","Mon Feb 10 19:13:55 IST 2025","","Global Scenarios - Headers & Footer","",""
"","31801","Verify pagination functionality in PLP page","","Mon Feb 10 19:13:41 IST 2025","passed","Mon Feb 10 19:14:13 IST 2025","","Product Landing Page Scenarios","",""
"","144296","[Guest user][.com]Place order using shipping methods - BOPIS, STM","","Mon Feb 10 18:58:15 IST 2025","passed","Mon Feb 10 19:00:39 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","120484","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Mon Feb 10 18:54:28 IST 2025","passed","Mon Feb 10 18:56:28 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","136742","Validate addition and removal of items quantity in the Cart Page","","Mon Feb 10 19:02:10 IST 2025","passed","Mon Feb 10 19:04:27 IST 2025","","Cart page Scenarios","",""
"","127803","[Guest user][.com]Place order using shipping methods - STM, SDD","","Mon Feb 10 19:30:10 IST 2025","broken","Mon Feb 10 19:32:18 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","13976","Verify navigation to the classes & events from the Michaels Admin Portal","","Mon Feb 10 18:56:44 IST 2025","passed","Mon Feb 10 18:56:58 IST 2025","","E2E - EventHub portal Scenarios","",""
"","67449","Verify sign-in options on homepage","","Mon Feb 10 19:05:02 IST 2025","passed","Mon Feb 10 19:06:09 IST 2025","","Home Page Scenarios","",""
"","30942","Verify marque banner and links on homepage","","Mon Feb 10 19:06:09 IST 2025","passed","Mon Feb 10 19:06:40 IST 2025","","Home Page Scenarios","",""
"","35095","Verify the user is able to click on the ""Back to Top"" up arrow button from home page","","Mon Feb 10 19:12:34 IST 2025","passed","Mon Feb 10 19:13:09 IST 2025","","Global Scenarios - Headers & Footer","",""
"","107322","[Guest User][.COM]Place order using SHIP TO ME with Gift Card","","Mon Feb 10 18:54:30 IST 2025","passed","Mon Feb 10 18:56:18 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","20439","Guest user is able to signin from cart page via signInlink","","Mon Feb 10 19:04:27 IST 2025","passed","Mon Feb 10 19:04:48 IST 2025","","Cart page Scenarios","",""
"","72653","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page","","Mon Feb 10 19:10:33 IST 2025","passed","Mon Feb 10 19:11:46 IST 2025","","Product Landing Page Scenarios","",""
"","24624","Verify invalid email message for the forgot password","","Mon Feb 10 19:11:59 IST 2025","passed","Mon Feb 10 19:12:23 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","61659","Selecting subcategories for a product in the PLP","","Mon Feb 10 19:04:31 IST 2025","passed","Mon Feb 10 19:05:33 IST 2025","","Mega menu Scenarios","",""
"","39679","Validate marque banner gets frozen when it is paused","","Mon Feb 10 19:08:40 IST 2025","passed","Mon Feb 10 19:09:20 IST 2025","","Home Page Scenarios","",""
"","23642","Verify invalid search keywords display proper error message","","Mon Feb 10 19:07:52 IST 2025","passed","Mon Feb 10 19:08:15 IST 2025","","Home Page Scenarios","",""
"","62266","Verify AddToCart functionality in PLP page","","Mon Feb 10 19:11:46 IST 2025","failed","Mon Feb 10 19:12:48 IST 2025","","Product Landing Page Scenarios","",""
"","79938","signedIn user books a party with Add-On and verifies the order in admin portal","","Mon Feb 10 18:59:27 IST 2025","passed","Mon Feb 10 19:00:47 IST 2025","","Birthday Party Scenarios","",""
"","77345","[Guest User] Verify successful PayPal account login from the Payment and Order Review page","","Mon Feb 10 19:10:11 IST 2025","passed","Mon Feb 10 19:11:28 IST 2025","","Cart page Scenarios","",""
"","72173","guest user books a party with Add-On and verifies the order in admin portal","","Mon Feb 10 18:58:15 IST 2025","passed","Mon Feb 10 18:59:27 IST 2025","","Birthday Party Scenarios","",""
"","207260","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD","","Mon Feb 10 18:54:47 IST 2025","broken","Mon Feb 10 18:58:15 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","170750","[Guest User]PlaceOrder using SHIP TO ME","","Mon Feb 10 18:51:40 IST 2025","passed","Mon Feb 10 18:54:30 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","38461","Verify sign in with invalid credentials displays error","","Mon Feb 10 19:11:20 IST 2025","passed","Mon Feb 10 19:11:59 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","69624","Verifying the sort option using various available methods","","Mon Feb 10 19:09:24 IST 2025","passed","Mon Feb 10 19:10:33 IST 2025","","Product Landing Page Scenarios","",""
"","84350","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page","","Mon Feb 10 19:33:05 IST 2025","broken","Mon Feb 10 19:34:29 IST 2025","","Cart page Scenarios","",""
"","53068","Verify ViewOptions functionality in PLP page","","Mon Feb 10 19:12:48 IST 2025","passed","Mon Feb 10 19:13:41 IST 2025","","Product Landing Page Scenarios","",""
"","47866","Verify every link in all carousels on homepage","","Mon Feb 10 19:06:40 IST 2025","passed","Mon Feb 10 19:07:28 IST 2025","","Home Page Scenarios","",""
"","85051","[Guest User] Verify successful PayPal account login from the Cart page","","Mon Feb 10 19:34:29 IST 2025","broken","Mon Feb 10 19:35:55 IST 2025","","Cart page Scenarios","",""
"","176875","[Guest User]PlaceOrder using Same Day Delivery","","Mon Feb 10 18:51:40 IST 2025","broken","Mon Feb 10 18:54:36 IST 2025","","E2E - Checkout Scenarios -SDD","",""
"","57530","Verify submenu navigation, disappearance, parent menu highlight, and options validation","","Mon Feb 10 19:05:33 IST 2025","passed","Mon Feb 10 19:06:30 IST 2025","","Mega menu Scenarios","",""
"","67565","[Guest User] Verify Zip code change for Same Day Delivery","","Mon Feb 10 19:35:55 IST 2025","passed","Mon Feb 10 19:37:02 IST 2025","","Cart page Scenarios","",""
