"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 10 17:52:10 IST 2025","Fri Jan 10 17:52:37 IST 2025","27374","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Fri Jan 10 17:07:44 IST 2025","Fri Jan 10 17:08:15 IST 2025","30180","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"broken","Fri Jan 10 16:45:47 IST 2025","Fri Jan 10 16:48:12 IST 2025","144732","","E2E - Checkout Scenarios -SDD","","","","Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Fri Jan 10 17:30:41 IST 2025","Fri Jan 10 17:31:48 IST 2025","67586","","E2E - Signup & My Account Scenarios","","","","Validate user navigation and section accessibility for from the dashboard",""
"passed","Fri Jan 10 17:24:56 IST 2025","Fri Jan 10 17:26:49 IST 2025","113692","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"passed","Fri Jan 10 18:41:37 IST 2025","Fri Jan 10 18:43:24 IST 2025","107173","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"broken","Fri Jan 10 17:49:39 IST 2025","Fri Jan 10 17:51:08 IST 2025","89211","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Fri Jan 10 16:28:33 IST 2025","Fri Jan 10 16:32:09 IST 2025","216598","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Fri Jan 10 17:40:21 IST 2025","Fri Jan 10 17:42:25 IST 2025","123445","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Fri Jan 10 17:10:19 IST 2025","Fri Jan 10 17:10:50 IST 2025","30924","","E2E - EventHub portal Scenarios","","","","Create Instructor",""
