"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 10 08:52:40 CDT 2024","Thu Oct 10 08:52:56 CDT 2024","16071","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Thu Oct 10 08:49:13 CDT 2024","Thu Oct 10 08:49:35 CDT 2024","21432","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"skipped","Thu Oct 10 08:32:53 CDT 2024","Thu Oct 10 08:32:54 CDT 2024","1177","","E2E - Checkout Scenarios -BOIPS","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"broken","Thu Oct 10 08:46:38 CDT 2024","Thu Oct 10 08:48:09 CDT 2024","90699","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"skipped","Thu Oct 10 08:33:48 CDT 2024","Thu Oct 10 08:33:49 CDT 2024","846","","E2E - Checkout Scenarios -BOIPS","","","","[Sign-in User][.com][MIKPro]Place order via PDP page",""
"passed","Thu Oct 10 08:50:56 CDT 2024","Thu Oct 10 08:51:59 CDT 2024","62336","","Global Scenarios - Headers","","","","Validate content for global headers in cart page",""
"skipped","Thu Oct 10 08:34:31 CDT 2024","Thu Oct 10 08:34:31 CDT 2024","7","","E2E - Signup & My Account Scenarios","","","","Signup with enrolling reward today",""
"passed","Thu Oct 10 08:49:35 CDT 2024","Thu Oct 10 08:50:02 CDT 2024","27435","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"skipped","Thu Oct 10 08:31:54 CDT 2024","Thu Oct 10 08:31:55 CDT 2024","1249","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"passed","Thu Oct 10 08:42:12 CDT 2024","Thu Oct 10 08:42:44 CDT 2024","32081","","Store Locator Scenarios","","","","Verify and validate each store details from the preview pane",""
"skipped","Thu Oct 10 08:30:20 CDT 2024","Thu Oct 10 08:30:21 CDT 2024","812","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Thu Oct 10 08:35:43 CDT 2024","Thu Oct 10 08:37:21 CDT 2024","97105","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Thu Oct 10 08:42:44 CDT 2024","Thu Oct 10 08:43:17 CDT 2024","33200","","Store Locator Scenarios","","","","Verify the search functionality of Store Selector pane",""
"skipped","Thu Oct 10 08:33:25 CDT 2024","Thu Oct 10 08:33:26 CDT 2024","706","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"skipped","Thu Oct 10 08:40:39 CDT 2024","Thu Oct 10 08:40:40 CDT 2024","982","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Thu Oct 10 08:39:20 CDT 2024","Thu Oct 10 08:40:38 CDT 2024","78427","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Thu Oct 10 08:27:13 CDT 2024","Thu Oct 10 08:30:20 CDT 2024","187577","","E2E - Checkout Scenarios -BOIPS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"skipped","Thu Oct 10 08:29:48 CDT 2024","Thu Oct 10 08:29:48 CDT 2024","694","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"skipped","Thu Oct 10 08:33:49 CDT 2024","Thu Oct 10 08:33:50 CDT 2024","870","","E2E - Checkout Scenarios -BOIPS","","","","[Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior",""
"passed","Thu Oct 10 08:46:56 CDT 2024","Thu Oct 10 08:48:09 CDT 2024","72990","","Global Scenarios - Headers","","","","Validate content for global headers in clp page",""
"broken","Thu Oct 10 08:37:11 CDT 2024","Thu Oct 10 08:39:20 CDT 2024","128703","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"skipped","Thu Oct 10 08:32:00 CDT 2024","Thu Oct 10 08:32:01 CDT 2024","973","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Thu Oct 10 08:32:54 CDT 2024","Thu Oct 10 08:33:48 CDT 2024","53877","","E2E - Checkout Scenarios -BOIPS","","","","[Guest user][.com][MIKPro]Place order via PDP page",""
"skipped","Thu Oct 10 08:34:59 CDT 2024","Thu Oct 10 08:35:00 CDT 2024","728","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"passed","Thu Oct 10 08:43:42 CDT 2024","Thu Oct 10 08:44:11 CDT 2024","29597","","Store Locator Scenarios","","","","Verify the funtionality of store selector in plp page",""
"skipped","Thu Oct 10 08:31:51 CDT 2024","Thu Oct 10 08:31:52 CDT 2024","1031","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"passed","Thu Oct 10 08:27:13 CDT 2024","Thu Oct 10 08:29:26 CDT 2024","132929","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Thu Oct 10 08:51:59 CDT 2024","Thu Oct 10 08:52:14 CDT 2024","15614","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"skipped","Thu Oct 10 08:40:40 CDT 2024","Thu Oct 10 08:40:41 CDT 2024","975","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"skipped","Thu Oct 10 08:34:32 CDT 2024","Thu Oct 10 08:34:32 CDT 2024","703","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"skipped","Thu Oct 10 08:36:56 CDT 2024","Thu Oct 10 08:36:56 CDT 2024","793","","Cart page Scenarios","","","","SignIn user able to view cart's empty message",""
"passed","Thu Oct 10 08:40:48 CDT 2024","Thu Oct 10 08:41:38 CDT 2024","50063","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
