"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 10 13:43:20 GMT 2024","Tue Sep 10 13:44:18 GMT 2024","57411","","E2E - Signup & My Account Scenarios","","","","[Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Tue Sep 10 13:29:04 GMT 2024","Tue Sep 10 13:31:47 GMT 2024","163412","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Tue Sep 10 13:52:13 GMT 2024","Tue Sep 10 13:53:21 GMT 2024","67363","","Product Landing Page Scenarios","","","","Verify product details on PDP, PLP, Cart Slider and Cart Page",""
"passed","Tue Sep 10 13:47:27 GMT 2024","Tue Sep 10 13:48:22 GMT 2024","55287","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Tue Sep 10 13:50:04 GMT 2024","Tue Sep 10 13:51:04 GMT 2024","59798","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Sep 10 13:35:13 GMT 2024","Tue Sep 10 13:36:50 GMT 2024","97774","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Tue Sep 10 13:50:20 GMT 2024","Tue Sep 10 13:51:57 GMT 2024","96722","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Tue Sep 10 13:33:55 GMT 2024","Tue Sep 10 13:35:03 GMT 2024","68522","","E2E - Checkout Scenarios","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Tue Sep 10 14:03:13 GMT 2024","Tue Sep 10 14:03:51 GMT 2024","38050","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"passed","Tue Sep 10 13:32:54 GMT 2024","Tue Sep 10 13:33:55 GMT 2024","60835","","E2E - Checkout Scenarios","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"passed","Tue Sep 10 13:51:09 GMT 2024","Tue Sep 10 13:52:13 GMT 2024","64292","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"broken","Tue Sep 10 13:53:21 GMT 2024","Tue Sep 10 13:54:52 GMT 2024","91656","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Tue Sep 10 13:32:18 GMT 2024","Tue Sep 10 13:33:37 GMT 2024","79569","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"passed","Tue Sep 10 13:29:04 GMT 2024","Tue Sep 10 13:32:23 GMT 2024","198988","","E2E - Checkout Scenarios","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Tue Sep 10 13:44:49 GMT 2024","Tue Sep 10 13:46:14 GMT 2024","85076","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"passed","Tue Sep 10 13:48:34 GMT 2024","Tue Sep 10 13:50:20 GMT 2024","106428","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Tue Sep 10 13:42:44 GMT 2024","Tue Sep 10 13:43:06 GMT 2024","22743","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"failed","Tue Sep 10 13:33:45 GMT 2024","Tue Sep 10 13:35:13 GMT 2024","88133","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Tue Sep 10 13:41:35 GMT 2024","Tue Sep 10 13:42:12 GMT 2024","37546","","E2E - EventHub portal Scenarios","","","","Find a template by searching with template name",""
"passed","Tue Sep 10 13:58:11 GMT 2024","Tue Sep 10 13:59:51 GMT 2024","99802","","Global Scenarios - Headers","","","","Validate content for global headers in pdp page",""
"passed","Tue Sep 10 14:02:42 GMT 2024","Tue Sep 10 14:03:13 GMT 2024","30716","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Tue Sep 10 13:52:02 GMT 2024","Tue Sep 10 13:53:14 GMT 2024","71273","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Tue Sep 10 13:33:37 GMT 2024","Tue Sep 10 13:35:01 GMT 2024","83308","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"passed","Tue Sep 10 14:02:14 GMT 2024","Tue Sep 10 14:02:42 GMT 2024","27932","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"passed","Tue Sep 10 13:55:55 GMT 2024","Tue Sep 10 13:58:11 GMT 2024","136560","","Global Scenarios - Headers","","","","Validate content for global headers in plp page",""
"passed","Tue Sep 10 13:46:14 GMT 2024","Tue Sep 10 13:47:27 GMT 2024","73144","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"passed","Tue Sep 10 13:40:54 GMT 2024","Tue Sep 10 13:41:35 GMT 2024","40946","","E2E - EventHub portal Scenarios","","","","Search template by different filter",""
"passed","Tue Sep 10 13:44:18 GMT 2024","Tue Sep 10 13:44:42 GMT 2024","24917","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"skipped","Tue Sep 10 13:43:20 GMT 2024","Tue Sep 10 13:43:20 GMT 2024","10","","E2E - Signup & My Account Scenarios","","","","Signup with enrolling reward today",""
"passed","Tue Sep 10 13:59:51 GMT 2024","Tue Sep 10 14:01:43 GMT 2024","112095","","Global Scenarios - Headers","","","","Validate content for global headers in cart page",""
"passed","Tue Sep 10 13:38:00 GMT 2024","Tue Sep 10 13:39:08 GMT 2024","68273","","E2E - Checkout Scenarios","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Tue Sep 10 13:39:22 GMT 2024","Tue Sep 10 13:40:45 GMT 2024","82297","","E2E - Checkout Scenarios","","","","[Sign-in User][.com][MIKPro]Place order via PDP page",""
"passed","Tue Sep 10 13:55:28 GMT 2024","Tue Sep 10 13:56:03 GMT 2024","34451","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Tue Sep 10 13:46:43 GMT 2024","Tue Sep 10 13:48:34 GMT 2024","110593","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"broken","Tue Sep 10 13:47:31 GMT 2024","Tue Sep 10 13:48:55 GMT 2024","83467","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Tue Sep 10 13:32:23 GMT 2024","Tue Sep 10 13:33:45 GMT 2024","81611","","E2E - Checkout Scenarios","","","","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Tue Sep 10 13:40:29 GMT 2024","Tue Sep 10 13:41:48 GMT 2024","78442","","E2E - Checkout Scenarios","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"passed","Tue Sep 10 13:50:12 GMT 2024","Tue Sep 10 13:51:41 GMT 2024","88965","","Product Description Page Scenarios","","","","Verify the product variants",""
"passed","Tue Sep 10 13:39:01 GMT 2024","Tue Sep 10 13:39:38 GMT 2024","37195","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"broken","Tue Sep 10 13:45:09 GMT 2024","Tue Sep 10 13:46:09 GMT 2024","60815","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"broken","Tue Sep 10 13:35:01 GMT 2024","Tue Sep 10 13:37:48 GMT 2024","167209","","E2E - Checkout Scenarios","","","","Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
