"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 11 13:45:03 IST 2024","Mon Nov 11 13:52:56 IST 2024","473053","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Mon Nov 11 14:28:40 IST 2024","Mon Nov 11 14:30:02 IST 2024","82234","","Store Locator Scenarios","","","","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard",""
"passed","Mon Nov 11 14:32:00 IST 2024","Mon Nov 11 14:32:47 IST 2024","46301","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"passed","Mon Nov 11 14:33:20 IST 2024","Mon Nov 11 14:33:46 IST 2024","26550","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Mon Nov 11 13:27:16 IST 2024","Mon Nov 11 13:30:58 IST 2024","222206","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"broken","Mon Nov 11 14:30:23 IST 2024","Mon Nov 11 14:32:00 IST 2024","97166","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Mon Nov 11 17:56:52 IST 2024","Mon Nov 11 17:57:22 IST 2024","30315","","E2E - EventHub portal Scenarios","","","","Create Instructor",""
"passed","Mon Nov 11 14:24:28 IST 2024","Mon Nov 11 14:25:11 IST 2024","42738","","Store Locator Scenarios","","","","Verify the funtionality of store selector in plp page",""
"passed","Mon Nov 11 14:21:10 IST 2024","Mon Nov 11 14:21:54 IST 2024","43375","","Store Locator Scenarios","","","","Verify that the Store Locator can be changed multiple times",""
"passed","Mon Nov 11 13:34:12 IST 2024","Mon Nov 11 13:36:22 IST 2024","130535","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Mon Nov 11 13:42:57 IST 2024","Mon Nov 11 13:45:09 IST 2024","132124","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"broken","Mon Nov 11 13:58:25 IST 2024","Mon Nov 11 14:00:00 IST 2024","95626","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Mon Nov 11 13:30:58 IST 2024","Mon Nov 11 13:32:39 IST 2024","101438","","E2E - Checkout Scenarios -STM","","","","[Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Mon Nov 11 14:21:28 IST 2024","Mon Nov 11 14:22:20 IST 2024","52190","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"skipped","Mon Nov 11 14:05:44 IST 2024","Mon Nov 11 14:05:45 IST 2024","961","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"passed","Mon Nov 11 14:23:56 IST 2024","Mon Nov 11 14:24:28 IST 2024","31728","","Store Locator Scenarios","","","","Verify the funtionality of store selector in clp page",""
"passed","Mon Nov 11 14:16:49 IST 2024","Mon Nov 11 14:17:25 IST 2024","36151","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Mon Nov 11 14:22:20 IST 2024","Mon Nov 11 14:24:24 IST 2024","123196","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Mon Nov 11 14:13:07 IST 2024","Mon Nov 11 14:14:32 IST 2024","84482","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Mon Nov 11 14:15:57 IST 2024","Mon Nov 11 14:17:17 IST 2024","79566","","Cart page Scenarios","","","","Verify that products in the cart are grouped separately according to their respective sellers",""
"passed","Mon Nov 11 14:18:53 IST 2024","Mon Nov 11 14:20:13 IST 2024","80412","","Store Locator Scenarios","","","","Verify and validate each store details from the preview pane",""
"passed","Mon Nov 11 13:45:09 IST 2024","Mon Nov 11 13:46:44 IST 2024","95458","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com]Place order using different variant",""
"passed","Mon Nov 11 14:10:00 IST 2024","Mon Nov 11 14:11:13 IST 2024","72905","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"passed","Mon Nov 11 14:12:03 IST 2024","Mon Nov 11 14:13:04 IST 2024","60922","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb Kids",""
"passed","Mon Nov 11 14:19:15 IST 2024","Mon Nov 11 14:21:28 IST 2024","133036","","Cart page Scenarios","","","","[Sign-in User] Verify items in the cart and store Name persist when the guest user signin, signout and re signin",""
"passed","Mon Nov 11 14:32:47 IST 2024","Mon Nov 11 14:33:20 IST 2024","33048","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Mon Nov 11 14:33:46 IST 2024","Mon Nov 11 14:34:26 IST 2024","39770","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"passed","Mon Nov 11 14:16:27 IST 2024","Mon Nov 11 14:16:49 IST 2024","21424","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Mon Nov 11 14:13:58 IST 2024","Mon Nov 11 14:15:21 IST 2024","82670","","Cart page Scenarios","","","","SignIn user able to view michaels rewards amount",""
"passed","Mon Nov 11 14:30:14 IST 2024","Mon Nov 11 14:33:04 IST 2024","170074","","Global Scenarios - Headers","","","","Validate content for global headers and footers in home page",""
"passed","Mon Nov 11 14:17:25 IST 2024","Mon Nov 11 14:19:09 IST 2024","104064","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Mon Nov 11 14:15:21 IST 2024","Mon Nov 11 14:15:57 IST 2024","36163","","Cart page Scenarios","","","","SignIn user able to view cart's empty message",""
"passed","Mon Nov 11 17:56:13 IST 2024","Mon Nov 11 17:56:52 IST 2024","38709","","E2E - EventHub portal Scenarios","","","","Find a template by searching with template name",""
"passed","Mon Nov 11 14:09:12 IST 2024","Mon Nov 11 14:11:04 IST 2024","111781","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb Art Supplies",""
"passed","Mon Nov 11 17:55:33 IST 2024","Mon Nov 11 17:56:13 IST 2024","40684","","E2E - EventHub portal Scenarios","","","","Search template by different filter",""
"passed","Mon Nov 11 13:58:03 IST 2024","Mon Nov 11 13:59:54 IST 2024","111194","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Mon Nov 11 17:37:05 IST 2024","Mon Nov 11 17:38:16 IST 2024","71409","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"passed","Mon Nov 11 13:27:16 IST 2024","Mon Nov 11 13:32:00 IST 2024","284582","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"skipped","Mon Nov 11 13:55:22 IST 2024","Mon Nov 11 13:55:22 IST 2024","23","","E2E - Marketplace seller Scenarios","","","","[Seller account][marketplace] Create product and verify on marketplace listing management",""
