"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","195903","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Wed Feb 12 13:04:32 IST 2025","passed","Wed Feb 12 13:07:48 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","282033","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card","","Wed Feb 12 14:55:58 IST 2025","passed","Wed Feb 12 15:00:41 IST 2025","","E2E - Marketplace Scenarios","",""
"","22404","Verify header labels are displayed in ellipses menu when browser window is minimized","","Wed Feb 12 13:45:42 IST 2025","passed","Wed Feb 12 13:46:04 IST 2025","","Home Page Scenarios","",""
"","3656","[Sign-in] Verify preview page links of Store Selector","","Wed Feb 12 13:57:12 IST 2025","skipped","Wed Feb 12 13:57:15 IST 2025","","Store Locator Scenarios","",""
"","105173","Validate content for global headers and footers in plp page","","Wed Feb 12 14:07:06 IST 2025","passed","Wed Feb 12 14:08:51 IST 2025","","Global Scenarios - Headers & Footer","",""
"","99718","[Guest User][Classes & Events][.COM]Free Classes & Events at online","","Wed Feb 12 13:31:56 IST 2025","passed","Wed Feb 12 13:33:35 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","18782","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page","","Wed Feb 12 14:11:35 IST 2025","passed","Wed Feb 12 14:11:54 IST 2025","","Global Scenarios - Headers & Footer","",""
"","30803","Verify all shipping methods are displayed in PLP page","","Wed Feb 12 13:52:52 IST 2025","passed","Wed Feb 12 13:53:23 IST 2025","","Product Landing Page Scenarios","",""
"","1046","Search template by different filter","","Wed Feb 12 13:26:22 IST 2025","skipped","Wed Feb 12 13:26:23 IST 2025","","E2E - EventHub portal Scenarios","",""
"","457330","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Wed Feb 12 13:07:57 IST 2025","passed","Wed Feb 12 13:15:34 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
