"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 12 17:13:28 GMT 2024","Tue Nov 12 17:14:18 GMT 2024","50478","","Store Locator Scenarios","","","","Verify and validate each store details from the preview pane",""
"passed","Tue Nov 12 17:15:06 GMT 2024","Tue Nov 12 17:15:38 GMT 2024","31704","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Tue Nov 12 17:19:09 GMT 2024","Tue Nov 12 17:19:32 GMT 2024","22560","","Store Locator Scenarios","","","","Verify the funtionality of store selector in cart page",""
"passed","Tue Nov 12 17:12:40 GMT 2024","Tue Nov 12 17:13:31 GMT 2024","50790","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Tue Nov 12 17:13:43 GMT 2024","Tue Nov 12 17:15:09 GMT 2024","85655","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"passed","Tue Nov 12 17:22:45 GMT 2024","Tue Nov 12 17:23:07 GMT 2024","21369","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"passed","Tue Nov 12 17:19:32 GMT 2024","Tue Nov 12 17:19:58 GMT 2024","26336","","Store Locator Scenarios","","","","Verify the funtionality of store selector in coupons page",""
"broken","Tue Nov 12 17:23:43 GMT 2024","Tue Nov 12 17:24:56 GMT 2024","73683","","Store Locator Scenarios","","","","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard",""
"passed","Tue Nov 12 17:17:46 GMT 2024","Tue Nov 12 17:18:10 GMT 2024","24246","","Store Locator Scenarios","","","","Verify the funtionality of store selector in clp page",""
"passed","Tue Nov 12 17:18:43 GMT 2024","Tue Nov 12 17:19:09 GMT 2024","25875","","Store Locator Scenarios","","","","Verify the funtionality of store selector in pdp page",""
"passed","Tue Nov 12 17:12:40 GMT 2024","Tue Nov 12 17:13:28 GMT 2024","47951","","Store Locator Scenarios","","","","Verify preview page links of Store Selector",""
"passed","Tue Nov 12 17:23:07 GMT 2024","Tue Nov 12 17:23:33 GMT 2024","26488","","Product Landing Page Scenarios","","","","Apply multiple filters on the PLP page",""
"broken","Tue Nov 12 17:21:12 GMT 2024","Tue Nov 12 17:22:28 GMT 2024","75597","","Store Locator Scenarios","","","","[Sign-in] Verify preview page links of Store Selector",""
"passed","Tue Nov 12 17:15:38 GMT 2024","Tue Nov 12 17:17:05 GMT 2024","87015","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Tue Nov 12 17:15:18 GMT 2024","Tue Nov 12 17:16:57 GMT 2024","98354","","Store Locator Scenarios","","","","Verify default and changed store pickup options for products in the cart",""
"passed","Tue Nov 12 17:21:58 GMT 2024","Tue Nov 12 17:22:24 GMT 2024","25241","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Tue Nov 12 17:18:10 GMT 2024","Tue Nov 12 17:18:43 GMT 2024","33174","","Store Locator Scenarios","","","","Verify the funtionality of store selector in plp page",""
"passed","Tue Nov 12 17:12:35 GMT 2024","Tue Nov 12 17:14:47 GMT 2024","131960","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Tue Nov 12 17:14:18 GMT 2024","Tue Nov 12 17:14:54 GMT 2024","35682","","Store Locator Scenarios","","","","Verify the search functionality of Store Selector pane",""
"passed","Tue Nov 12 17:13:31 GMT 2024","Tue Nov 12 17:13:43 GMT 2024","12168","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"broken","Tue Nov 12 17:19:39 GMT 2024","Tue Nov 12 17:21:10 GMT 2024","91371","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Tue Nov 12 17:21:10 GMT 2024","Tue Nov 12 17:21:58 GMT 2024","48177","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"passed","Tue Nov 12 17:14:54 GMT 2024","Tue Nov 12 17:15:18 GMT 2024","24160","","Store Locator Scenarios","","","","Verify that the Store Locator can be changed multiple times",""
"passed","Tue Nov 12 17:14:47 GMT 2024","Tue Nov 12 17:15:06 GMT 2024","19502","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Tue Nov 12 17:15:09 GMT 2024","Tue Nov 12 17:15:22 GMT 2024","13409","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"passed","Tue Nov 12 17:15:36 GMT 2024","Tue Nov 12 17:16:59 GMT 2024","82615","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Tue Nov 12 17:22:24 GMT 2024","Tue Nov 12 17:22:45 GMT 2024","21608","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Tue Nov 12 17:16:59 GMT 2024","Tue Nov 12 17:18:07 GMT 2024","67958","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Tue Nov 12 17:16:57 GMT 2024","Tue Nov 12 17:17:46 GMT 2024","49136","","Store Locator Scenarios","","","","Verify that store options can be updated from the pickup dialog in the cart",""
