"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 13 17:47:04 IST 2025","Mon Jan 13 17:47:21 IST 2025","17067","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Mon Jan 13 17:52:43 IST 2025","Mon Jan 13 17:54:20 IST 2025","96916","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Mon Jan 13 19:52:30 IST 2025","Mon Jan 13 19:54:42 IST 2025","131735","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"broken","Mon Jan 13 18:13:48 IST 2025","Mon Jan 13 18:15:07 IST 2025","78653","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Mon Jan 13 18:06:05 IST 2025","Mon Jan 13 18:06:21 IST 2025","15640","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Mon Jan 13 17:58:23 IST 2025","Mon Jan 13 17:59:09 IST 2025","46019","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"broken","Mon Jan 13 18:06:32 IST 2025","Mon Jan 13 18:07:48 IST 2025","76079","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"broken","Mon Jan 13 18:47:45 IST 2025","Mon Jan 13 18:48:08 IST 2025","22907","","Product Landing Page Scenarios","","","","Apply multiple filters on the PLP page",""
"broken","Mon Jan 13 20:41:19 IST 2025","Mon Jan 13 20:43:27 IST 2025","127406","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Mon Jan 13 17:54:41 IST 2025","Mon Jan 13 17:56:20 IST 2025","99415","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"broken","Mon Jan 13 17:51:45 IST 2025","Mon Jan 13 17:53:23 IST 2025","98108","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Mon Jan 13 18:11:05 IST 2025","Mon Jan 13 18:12:30 IST 2025","84551","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
