"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65211","[Sign-in User][.com][MIKPro]Place order via PDP page","","Mon Jan 13 16:49:00 IST 2025","passed","Mon Jan 13 16:50:05 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","31180","Verify sign-up page fields and functionality","","Mon Jan 13 17:20:35 IST 2025","passed","Mon Jan 13 17:21:06 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","23799","Verify invalid search keywords display proper error message","","Mon Jan 13 17:08:22 IST 2025","passed","Mon Jan 13 17:08:46 IST 2025","","Home Page Scenarios","",""
"","26445","Verify every link in all carousels on homepage","","Mon Jan 13 19:44:50 IST 2025","broken","Mon Jan 13 19:45:17 IST 2025","","Home Page Scenarios","",""
"","67900","Guest user is able to signin from cart page via button","","Mon Jan 13 17:05:16 IST 2025","passed","Mon Jan 13 17:06:24 IST 2025","","Cart page Scenarios","",""
"","60469","Verify and validate each store details from the preview pane","","Mon Jan 13 17:07:22 IST 2025","passed","Mon Jan 13 17:08:23 IST 2025","","Store Locator Scenarios","",""
"","46139","Create template for Online Class","","Mon Jan 13 16:38:42 IST 2025","passed","Mon Jan 13 16:39:28 IST 2025","","E2E - EventHub portal Scenarios","",""
"","18","[Seller account][marketplace] Create product and verify on marketplace listing management","","Mon Jan 13 16:50:05 IST 2025","skipped","Mon Jan 13 16:50:05 IST 2025","","E2E - Marketplace seller Scenarios","",""
"","51656","SignIn user able to view michaels rewards amount","","Mon Jan 13 17:06:24 IST 2025","passed","Mon Jan 13 17:07:16 IST 2025","","Cart page Scenarios","",""
"","27953","[Sign-in] Verify user lands on the same page after logging in and logging out from clp page","","Mon Jan 13 17:24:13 IST 2025","passed","Mon Jan 13 17:24:41 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","44861","Verify the search functionality of Store Selector pane","","Mon Jan 13 17:08:23 IST 2025","passed","Mon Jan 13 17:09:07 IST 2025","","Store Locator Scenarios","",""
"","63345","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard","","Mon Jan 13 17:22:40 IST 2025","passed","Mon Jan 13 17:23:44 IST 2025","","Store Locator Scenarios","",""
"","134417","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page","","Mon Jan 13 16:59:41 IST 2025","passed","Mon Jan 13 17:01:56 IST 2025","","Cart page Scenarios","",""
"","26666","[Sign-in] Verify preview page links of Store Selector","","Mon Jan 13 17:20:13 IST 2025","passed","Mon Jan 13 17:20:40 IST 2025","","Store Locator Scenarios","",""
"","2461","[Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior","","Mon Jan 13 16:50:05 IST 2025","skipped","Mon Jan 13 16:50:08 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","56016","Create Instructor","","Mon Jan 13 16:42:54 IST 2025","passed","Mon Jan 13 16:43:50 IST 2025","","E2E - EventHub portal Scenarios","",""
"","100046","[Guest User][.COM]Place order using SHIP TO ME with PLCC","","Mon Jan 13 16:28:48 IST 2025","passed","Mon Jan 13 16:30:29 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","15670","[Sign-up] Email-Sign up michaels offers email from footer","","Mon Jan 13 17:00:05 IST 2025","passed","Mon Jan 13 17:00:21 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","65436","Verify the product variants","","Mon Jan 13 19:47:02 IST 2025","passed","Mon Jan 13 19:48:08 IST 2025","","Product Description Page Scenarios","",""
"","61826","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card","","Mon Jan 13 17:00:46 IST 2025","passed","Mon Jan 13 17:01:48 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","130536","[Sign-in User][.COM]Place order using Store pickup with Gift Card.","","Mon Jan 13 16:29:23 IST 2025","passed","Mon Jan 13 16:31:33 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","150087","[Guest user][.com]Place order using shipping methods - BOPIS, STM","","Mon Jan 13 16:39:40 IST 2025","passed","Mon Jan 13 16:42:10 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","51272","Verify Share links upon hovering share icon","","Mon Jan 13 17:30:00 IST 2025","passed","Mon Jan 13 17:30:51 IST 2025","","Product Description Page Scenarios for makerplace","",""
"","48046","Verify sign-in options on homepage","","Mon Jan 13 17:06:13 IST 2025","passed","Mon Jan 13 17:07:01 IST 2025","","Home Page Scenarios","",""
"","39843","Verify sign in with invalid credentials displays error","","Mon Jan 13 17:21:06 IST 2025","passed","Mon Jan 13 17:21:46 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","163574","[Guest user][.com]Place order using shipping methods - BOPIS, SDD","","Mon Jan 13 19:41:36 IST 2025","broken","Mon Jan 13 19:44:19 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","134623","Navigating Back to Parent Category via Breadcrumb","","Thu Jan 02 13:42:35 IST 2025","broken","Thu Jan 02 13:44:50 IST 2025","","Mega menu Scenarios","",""
"","47799","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page","","Mon Jan 13 17:02:34 IST 2025","passed","Mon Jan 13 17:03:21 IST 2025","","Cart page Scenarios","",""
"","31777","Verify the funtionality of store selector in clp page","","Mon Jan 13 17:12:29 IST 2025","passed","Mon Jan 13 17:13:00 IST 2025","","Store Locator Scenarios","",""
"","16684","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page","","Mon Jan 13 17:44:01 IST 2025","passed","Mon Jan 13 17:44:18 IST 2025","","Global Scenarios - Headers & Footer","",""
"","51680","Verify the funtionality of store selector in plp page","","Mon Jan 13 17:14:35 IST 2025","passed","Mon Jan 13 17:15:26 IST 2025","","Store Locator Scenarios","",""
"","163899","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card","","Mon Jan 13 16:26:39 IST 2025","passed","Mon Jan 13 16:29:23 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","45735","Verify preview page links of Store Selector","","Mon Jan 13 17:06:36 IST 2025","passed","Mon Jan 13 17:07:22 IST 2025","","Store Locator Scenarios","",""
"","21046","Verify the funtionality of store selector in cart page","","Mon Jan 13 17:17:55 IST 2025","passed","Mon Jan 13 17:18:16 IST 2025","","Store Locator Scenarios","",""
