"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jan 13 20:11:06 GMT 2025","Mon Jan 13 20:14:18 GMT 2025","192440","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, SDD",""
"broken","Mon Jan 13 20:36:12 GMT 2025","Mon Jan 13 20:37:13 GMT 2025","60720","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"passed","Mon Jan 13 20:03:49 GMT 2025","Mon Jan 13 20:05:17 GMT 2025","88472","","E2E - EventHub portal Scenarios","","","","Search template by different filter",""
"broken","Mon Jan 13 21:12:00 GMT 2025","Mon Jan 13 21:14:07 GMT 2025","126139","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Mon Jan 13 20:42:48 GMT 2025","Mon Jan 13 20:44:09 GMT 2025","81524","","Home Page Scenarios","","","","Validate marque banner gets frozen when it is paused",""
"passed","Mon Jan 13 20:05:17 GMT 2025","Mon Jan 13 20:06:47 GMT 2025","89521","","E2E - EventHub portal Scenarios","","","","Find a template by searching with template name",""
"passed","Mon Jan 13 21:08:57 GMT 2025","Mon Jan 13 21:10:13 GMT 2025","75654","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from plp page",""
"passed","Mon Jan 13 21:18:25 GMT 2025","Mon Jan 13 21:19:54 GMT 2025","89125","","Product Description Page Scenarios for makerplace","","","","Verify Share links upon hovering share icon",""
"passed","Mon Jan 13 19:54:43 GMT 2025","Mon Jan 13 19:56:38 GMT 2025","115723","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com]Place order using different variant",""
"broken","Mon Jan 13 19:38:05 GMT 2025","Mon Jan 13 19:40:24 GMT 2025","138797","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Mon Jan 13 20:50:46 GMT 2025","Mon Jan 13 20:52:16 GMT 2025","89621","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"passed","Mon Jan 13 21:25:09 GMT 2025","Mon Jan 13 21:26:10 GMT 2025","60180","","Global Scenarios - Header & Footer for Makerplace","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_home page for makerplace",""
"passed","Mon Jan 13 19:35:02 GMT 2025","Mon Jan 13 19:38:41 GMT 2025","218797","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Mon Jan 13 21:11:28 GMT 2025","Mon Jan 13 21:12:41 GMT 2025","73314","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from cart page",""
"passed","Mon Jan 13 21:10:13 GMT 2025","Mon Jan 13 21:11:28 GMT 2025","75144","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page",""
"passed","Mon Jan 13 19:59:33 GMT 2025","Mon Jan 13 20:02:18 GMT 2025","165569","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"passed","Mon Jan 13 20:41:11 GMT 2025","Mon Jan 13 20:42:31 GMT 2025","79252","","Store Locator Scenarios","","","","Verify the search functionality of Store Selector pane",""
"passed","Mon Jan 13 21:07:39 GMT 2025","Mon Jan 13 21:08:57 GMT 2025","77492","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from clp page",""
"passed","Mon Jan 13 20:31:48 GMT 2025","Mon Jan 13 20:33:27 GMT 2025","98368","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"broken","Mon Jan 13 19:47:49 GMT 2025","Mon Jan 13 19:50:50 GMT 2025","181142","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"passed","Mon Jan 13 21:18:56 GMT 2025","Mon Jan 13 21:21:49 GMT 2025","173724","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in pdp page",""
"passed","Mon Jan 13 21:06:27 GMT 2025","Mon Jan 13 21:07:39 GMT 2025","72658","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from home page",""
"passed","Mon Jan 13 20:16:28 GMT 2025","Mon Jan 13 20:19:04 GMT 2025","155944","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Mon Jan 13 19:47:36 GMT 2025","Mon Jan 13 19:51:26 GMT 2025","230335","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Mon Jan 13 20:40:37 GMT 2025","Mon Jan 13 20:41:44 GMT 2025","67261","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"passed","Mon Jan 13 20:02:19 GMT 2025","Mon Jan 13 20:03:49 GMT 2025","89173","","E2E - EventHub portal Scenarios","","","","Create Ondemand Class",""
"passed","Mon Jan 13 19:42:30 GMT 2025","Mon Jan 13 19:44:46 GMT 2025","136254","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"passed","Mon Jan 13 20:25:49 GMT 2025","Mon Jan 13 20:27:11 GMT 2025","82217","","E2E - Signup & My Account Scenarios","","","","Validate user navigation and section accessibility for from the dashboard",""
"passed","Mon Jan 13 19:35:02 GMT 2025","Mon Jan 13 19:38:39 GMT 2025","217194","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Mon Jan 13 20:36:24 GMT 2025","Mon Jan 13 20:37:31 GMT 2025","67764","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Mon Jan 13 20:41:49 GMT 2025","Mon Jan 13 20:42:58 GMT 2025","68828","","Cart page Scenarios","","","","SignIn user able to view cart's empty message",""
"broken","Mon Jan 13 20:38:23 GMT 2025","Mon Jan 13 20:39:38 GMT 2025","74700","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"skipped","Mon Jan 13 21:27:12 GMT 2025","Mon Jan 13 21:27:13 GMT 2025","694","","Global Scenarios - Header & Footer for Makerplace","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_CLP page for makerplace",""
"broken","Mon Jan 13 21:01:34 GMT 2025","Mon Jan 13 21:03:50 GMT 2025","136475","","Store Locator Scenarios","","","","Verify the funtionality of store selector in pdp page",""
"passed","Mon Jan 13 21:12:41 GMT 2025","Mon Jan 13 21:13:44 GMT 2025","63499","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"broken","Mon Jan 13 20:35:09 GMT 2025","Mon Jan 13 20:36:24 GMT 2025","74540","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Mon Jan 13 20:31:08 GMT 2025","Mon Jan 13 20:33:47 GMT 2025","158958","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Mon Jan 13 20:20:15 GMT 2025","Mon Jan 13 20:21:30 GMT 2025","75067","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"broken","Mon Jan 13 21:03:04 GMT 2025","Mon Jan 13 21:05:18 GMT 2025","133773","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Mon Jan 13 21:23:58 GMT 2025","Mon Jan 13 21:25:09 GMT 2025","70875","","Global Scenarios - Header & Footer for Makerplace","","","","Validate content for global headers and footers in makerplace_CLP page for makerplace",""
"passed","Mon Jan 13 20:13:16 GMT 2025","Mon Jan 13 20:15:05 GMT 2025","108376","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"passed","Mon Jan 13 21:31:35 GMT 2025","Mon Jan 13 21:32:38 GMT 2025","62597","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Mon Jan 13 20:52:16 GMT 2025","Mon Jan 13 20:54:20 GMT 2025","124425","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Mon Jan 13 20:08:06 GMT 2025","Mon Jan 13 20:09:07 GMT 2025","61149","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Mon Jan 13 20:16:56 GMT 2025","Mon Jan 13 20:18:42 GMT 2025","106767","","Birthday Party Scenarios","","","","signedIn user books a party without Add-On and verifies the order in admin portal",""
"skipped","Mon Jan 13 20:21:30 GMT 2025","Mon Jan 13 20:21:31 GMT 2025","765","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"passed","Mon Jan 13 19:44:41 GMT 2025","Mon Jan 13 19:46:56 GMT 2025","135039","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"broken","Mon Jan 13 19:55:58 GMT 2025","Mon Jan 13 19:59:33 GMT 2025","215234","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Mon Jan 13 20:08:29 GMT 2025","Mon Jan 13 20:10:55 GMT 2025","146245","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.com][MIKPro]Place order via PDP page",""
"passed","Mon Jan 13 21:09:03 GMT 2025","Mon Jan 13 21:12:29 GMT 2025","206007","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in home page",""
"passed","Mon Jan 13 21:06:14 GMT 2025","Mon Jan 13 21:07:31 GMT 2025","76090","","Store Locator Scenarios","","","","[Sign-in] Verify preview page links of Store Selector",""
"passed","Mon Jan 13 21:15:20 GMT 2025","Mon Jan 13 21:18:56 GMT 2025","215975","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in plp page",""
"passed","Mon Jan 13 19:42:36 GMT 2025","Mon Jan 13 19:44:58 GMT 2025","142239","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Mon Jan 13 20:15:05 GMT 2025","Mon Jan 13 20:16:56 GMT 2025","110827","","Birthday Party Scenarios","","","","signedIn user books a party with Add-On and verifies the order in admin portal",""
"passed","Mon Jan 13 21:05:01 GMT 2025","Mon Jan 13 21:06:14 GMT 2025","73643","","Store Locator Scenarios","","","","Verify the funtionality of store selector in coupons page",""
"passed","Mon Jan 13 20:44:17 GMT 2025","Mon Jan 13 20:50:30 GMT 2025","372668","","Product Description Page Scenarios","","","","Verify the product variants",""
"passed","Mon Jan 13 21:07:31 GMT 2025","Mon Jan 13 21:08:55 GMT 2025","84674","","Store Locator Scenarios","","","","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard",""
