"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Global Scenarios - Headers","9","0","","0"
"0","","0","E2E - Marketplace Scenarios","5","0","","0"
"0","","0","E2E - Checkout Scenarios -STM","5","6","","0"
"0","","0","Store Locator Scenarios","11","2","","0"
"1","","0","Product Landing Page Scenarios","7","0","","0"
"0","","0","E2E - EventHub portal Scenarios","1","8","","0"
"0","","0","E2E - Signup & My Account Scenarios","1","3","","0"
"0","","0","E2E - Checkout Scenarios -BOPIS","4","4","","0"
"1","","0","E2E - Checkout Scenarios -SDD","1","3","","0"
"1","","0","Product Description Page Scenarios","1","0","","0"
"0","","0","Mega menu Scenarios","4","0","","0"
"1","","0","E2E - Classes, Events & Project Scenarios","2","3","","0"
"0","","0","Home Page Scenarios","4","0","","0"
"0","","0","MAP - Admin Portal scenarios","0","1","","0"
"0","","0","Cart page Scenarios","7","5","","0"
"0","","0","E2E - Checkout Mixcart Scenarios","1","0","","0"
"0","","0","MakerPlace - Mega menu Scenarios","1","0","","0"
"0","","0","Sign In and Sign Up Pages Scenarios","1","0","","0"
"0","","0","E2E - Marketplace seller Scenarios","0","1","","0"
