"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17185","Verify the user is able to click on the ""Back to Top"" up arrow button from home page","","Wed Nov 13 14:36:03 IST 2024","passed","Wed Nov 13 14:36:20 IST 2024","","Global Scenarios - Headers","",""
"","303410","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card","","Wed Nov 13 13:55:35 IST 2024","passed","Wed Nov 13 14:00:38 IST 2024","","E2E - Marketplace Scenarios","",""
"","1300","[Sign-in] Validate Adding and Editing the Shipping Address on Checkout and Payment Review pages","","Wed Nov 13 13:55:25 IST 2024","skipped","Wed Nov 13 13:55:26 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","37397","Verify that the Store Locator can be changed multiple times","","Wed Nov 13 14:16:56 IST 2024","passed","Wed Nov 13 14:17:34 IST 2024","","Store Locator Scenarios","",""
"","48810","Verify pagination functionality in PLP page","","Wed Nov 13 14:22:40 IST 2024","passed","Wed Nov 13 14:23:29 IST 2024","","Product Landing Page Scenarios","",""
"","1316","Create Instructor","","Wed Nov 13 13:55:09 IST 2024","skipped","Wed Nov 13 13:55:10 IST 2024","","E2E - EventHub portal Scenarios","",""
"","11","Edit profile","","Wed Nov 13 14:02:16 IST 2024","skipped","Wed Nov 13 14:02:16 IST 2024","","E2E - Signup & My Account Scenarios","",""
"","55620","Verify and validate each store details from the preview pane","","Wed Nov 13 14:15:05 IST 2024","passed","Wed Nov 13 14:16:00 IST 2024","","Store Locator Scenarios","",""
"","39564","Apply multiple filters on the PLP page","","Wed Nov 13 14:24:43 IST 2024","passed","Wed Nov 13 14:25:22 IST 2024","","Product Landing Page Scenarios","",""
"","135561","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Wed Nov 13 13:47:20 IST 2024","passed","Wed Nov 13 13:49:35 IST 2024","","E2E - Checkout Scenarios -BOPIS","",""
"","218167","Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card","","Wed Nov 13 13:50:59 IST 2024","broken","Wed Nov 13 13:54:37 IST 2024","","E2E - Checkout Scenarios -SDD","",""
"","143642","[Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card","","Wed Nov 13 13:49:35 IST 2024","passed","Wed Nov 13 13:51:59 IST 2024","","E2E - Checkout Scenarios -BOPIS","",""
"","115804","Update quantity in PDP page and verify order summary in cart, checkout and payment review page","","Wed Nov 13 14:22:35 IST 2024","broken","Wed Nov 13 14:24:31 IST 2024","","Product Description Page Scenarios","",""
"","44150","Selecting subcategories for a product in the PLP","","Wed Nov 13 14:09:14 IST 2024","passed","Wed Nov 13 14:09:58 IST 2024","","Mega menu Scenarios","",""
"","217694","[Guest User]PlaceOrder using SHIP TO ME","","Wed Nov 13 13:42:46 IST 2024","passed","Wed Nov 13 13:46:24 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","2001","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store","","Wed Nov 13 14:02:03 IST 2024","skipped","Wed Nov 13 14:02:05 IST 2024","","E2E - Classes, Events & Project Scenarios","",""
"","132020","Validate content for global headers and footers in home page","","Wed Nov 13 14:25:48 IST 2024","passed","Wed Nov 13 14:28:00 IST 2024","","Global Scenarios - Headers","",""
"","57872","Verify the funtionality of store selector in clp page","","Wed Nov 13 14:26:41 IST 2024","passed","Wed Nov 13 14:27:39 IST 2024","","Store Locator Scenarios","",""
"","17079","Verify header labels are displayed in ellipses menu when browser window is minimized","","Wed Nov 13 14:14:24 IST 2024","passed","Wed Nov 13 14:14:41 IST 2024","","Home Page Scenarios","",""
"","269690","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Wed Nov 13 13:42:46 IST 2024","passed","Wed Nov 13 13:47:16 IST 2024","","E2E - Checkout Scenarios -BOPIS","",""
"","18","[Sign-in] Verifying the Category & Content list display for ""FAQ Management""","","Wed Nov 13 14:02:52 IST 2024","skipped","Wed Nov 13 14:02:52 IST 2024","","MAP - Admin Portal scenarios","",""
"","14","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page","","Wed Nov 13 14:03:02 IST 2024","skipped","Wed Nov 13 14:03:02 IST 2024","","Cart page Scenarios","",""
"","39859","Verify the funtionality of store selector in coupons page","","Wed Nov 13 14:30:17 IST 2024","passed","Wed Nov 13 14:30:56 IST 2024","","Store Locator Scenarios","",""
"","62765","Verify the funtionality of store selector in pdp page","","Wed Nov 13 14:28:32 IST 2024","passed","Wed Nov 13 14:29:35 IST 2024","","Store Locator Scenarios","",""
"","695841","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD","","Wed Nov 13 13:54:45 IST 2024","passed","Wed Nov 13 14:06:20 IST 2024","","E2E - Checkout Mixcart Scenarios","",""
"","5811","[Sign-in] Verify preview page links of Store Selector","","Wed Nov 13 14:30:56 IST 2024","skipped","Wed Nov 13 14:31:02 IST 2024","","Store Locator Scenarios","",""
"","73621","Verify every link in all carousels on homepage","","Wed Nov 13 14:13:10 IST 2024","passed","Wed Nov 13 14:14:24 IST 2024","","Home Page Scenarios","",""
"","131487","[Guest user][.com][MIKPro]Place order via PDP page","","Wed Nov 13 13:52:20 IST 2024","passed","Wed Nov 13 13:54:32 IST 2024","","E2E - Checkout Scenarios -BOPIS","",""
"","355938","Verify the product variants","","Wed Nov 13 14:14:58 IST 2024","passed","Wed Nov 13 14:20:54 IST 2024","","Product Description Page Scenarios","",""
"","1945","Create template for In Store Class","","Wed Nov 13 13:54:57 IST 2024","skipped","Wed Nov 13 13:54:59 IST 2024","","E2E - EventHub portal Scenarios","",""
"","2279","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page","","Wed Nov 13 14:03:02 IST 2024","skipped","Wed Nov 13 14:03:05 IST 2024","","Cart page Scenarios","",""
"","16036","Verify navigation to the classes & events from the Michaels Admin Portal","","Wed Nov 13 13:55:10 IST 2024","passed","Wed Nov 13 13:55:26 IST 2024","","E2E - EventHub portal Scenarios","",""
"","4889","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME","","Wed Nov 13 13:48:30 IST 2024","skipped","Wed Nov 13 13:48:35 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","108571","Validate addition and removal of items quantity in the Cart Page","","Wed Nov 13 14:04:26 IST 2024","passed","Wed Nov 13 14:06:15 IST 2024","","Cart page Scenarios","",""
"","7635","Search product and then PlaceOrder using SHIP TO ME with Sign-in user","","Wed Nov 13 13:48:11 IST 2024","skipped","Wed Nov 13 13:48:19 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","87265","Validate content for global headers and footers in clp page","","Wed Nov 13 14:28:00 IST 2024","passed","Wed Nov 13 14:29:27 IST 2024","","Global Scenarios - Headers","",""
"","223120","Validate content for global headers and footers in pdp page","","Wed Nov 13 14:31:23 IST 2024","passed","Wed Nov 13 14:35:06 IST 2024","","Global Scenarios - Headers","",""
"","56059","Verify the search functionality of Store Selector pane","","Wed Nov 13 14:16:00 IST 2024","passed","Wed Nov 13 14:16:56 IST 2024","","Store Locator Scenarios","",""
"","95904","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page","","Wed Nov 13 14:09:53 IST 2024","passed","Wed Nov 13 14:11:29 IST 2024","","Cart page Scenarios","",""
"","73419","Verify sign-in options on homepage","","Wed Nov 13 14:11:29 IST 2024","passed","Wed Nov 13 14:12:42 IST 2024","","Home Page Scenarios","",""
"","161103","Navigating Back to Parent Category via Breadcrumb","","Wed Nov 13 14:06:33 IST 2024","passed","Wed Nov 13 14:09:14 IST 2024","","Mega menu Scenarios","",""
