"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","79692","Verify sign-up page fields and functionality","","Fri Feb 14 18:27:52 IST 2025","broken","Fri Feb 14 18:29:11 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","56461","Verify sign-in options on homepage","","Fri Feb 14 18:22:18 IST 2025","passed","Fri Feb 14 18:23:14 IST 2025","","Home Page Scenarios","",""
"","30244","Apply multiple filters on the PLP page","","Fri Feb 14 18:28:55 IST 2025","passed","Fri Feb 14 18:29:25 IST 2025","","Product Landing Page Scenarios","",""
"","97737","[Guest User]PlaceOrder using SHIP TO ME","","Fri Feb 14 17:55:00 IST 2025","broken","Fri Feb 14 17:56:37 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","180291","Guest user is able to signin from cart page via button","","Fri Feb 14 18:43:24 IST 2025","passed","Fri Feb 14 18:46:25 IST 2025","","Cart page Scenarios","",""
"","68403","Validate browsing through the megamenu to land on CLP or PLP","","Fri Feb 14 18:21:00 IST 2025","passed","Fri Feb 14 18:22:08 IST 2025","","Mega menu Scenarios","",""
"","66501","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page","","Fri Feb 14 18:24:32 IST 2025","passed","Fri Feb 14 18:25:39 IST 2025","","Product Landing Page Scenarios","",""
"","45525","Verify ViewOptions functionality in PLP page","","Fri Feb 14 18:26:50 IST 2025","passed","Fri Feb 14 18:27:36 IST 2025","","Product Landing Page Scenarios","",""
"","39784","Verify sign in with invalid credentials displays error","","Fri Feb 14 18:29:11 IST 2025","passed","Fri Feb 14 18:29:51 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","36150","Verify AddToCart functionality in PLP page","","Fri Feb 14 18:26:14 IST 2025","failed","Fri Feb 14 18:26:50 IST 2025","","Product Landing Page Scenarios","",""
"","73218","[Guest User] Verify successful PayPal account login from the Cart page","","Fri Feb 14 18:47:42 IST 2025","passed","Fri Feb 14 18:48:56 IST 2025","","Cart page Scenarios","",""
"","264894","[Guest User][.COM]Place order using SHIP TO ME with Gift Card","","Fri Feb 14 17:59:50 IST 2025","broken","Fri Feb 14 18:04:15 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","20784","Validate marque banner progression through automatic rotation","","Fri Feb 14 18:24:46 IST 2025","passed","Fri Feb 14 18:25:06 IST 2025","","Home Page Scenarios","",""
