"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 14 14:35:26 GMT 2025","Tue Jan 14 14:37:35 GMT 2025","129605","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Tue Jan 14 14:44:15 GMT 2025","Tue Jan 14 14:44:48 GMT 2025","33338","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Tue Jan 14 14:37:35 GMT 2025","Tue Jan 14 14:37:52 GMT 2025","17022","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Tue Jan 14 14:39:13 GMT 2025","Tue Jan 14 14:39:47 GMT 2025","33312","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Tue Jan 14 14:38:51 GMT 2025","Tue Jan 14 14:39:13 GMT 2025","22169","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Tue Jan 14 14:47:38 GMT 2025","Tue Jan 14 14:47:55 GMT 2025","16917","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Tue Jan 14 14:33:13 GMT 2025","Tue Jan 14 14:34:12 GMT 2025","58887","","Birthday Party Scenarios","","","","signedIn user books a party with Add-On and verifies the order in admin portal",""
"passed","Tue Jan 14 14:48:37 GMT 2025","Tue Jan 14 14:48:55 GMT 2025","17572","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"passed","Tue Jan 14 14:39:28 GMT 2025","Tue Jan 14 14:40:07 GMT 2025","38676","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"passed","Tue Jan 14 14:40:07 GMT 2025","Tue Jan 14 14:41:17 GMT 2025","69838","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Tue Jan 14 14:25:34 GMT 2025","Tue Jan 14 14:28:21 GMT 2025","166576","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Tue Jan 14 14:43:01 GMT 2025","Tue Jan 14 14:44:14 GMT 2025","73565","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Tue Jan 14 14:43:17 GMT 2025","Tue Jan 14 14:43:35 GMT 2025","17530","","Home Page Scenarios","","","","Validate marque banner progression through automatic rotation",""
"broken","Tue Jan 14 14:44:45 GMT 2025","Tue Jan 14 14:47:23 GMT 2025","158094","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - STM, SDD",""
"passed","Tue Jan 14 14:38:50 GMT 2025","Tue Jan 14 14:41:55 GMT 2025","184877","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"passed","Tue Jan 14 14:28:21 GMT 2025","Tue Jan 14 14:29:36 GMT 2025","75223","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Tue Jan 14 14:39:47 GMT 2025","Tue Jan 14 14:41:09 GMT 2025","82105","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Tue Jan 14 14:25:35 GMT 2025","Tue Jan 14 14:28:16 GMT 2025","161671","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Tue Jan 14 14:55:24 GMT 2025","Tue Jan 14 14:55:43 GMT 2025","19195","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"failed","Tue Jan 14 14:57:05 GMT 2025","Tue Jan 14 14:58:27 GMT 2025","81870","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"passed","Tue Jan 14 14:48:55 GMT 2025","Tue Jan 14 14:49:12 GMT 2025","16927","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Tue Jan 14 14:37:52 GMT 2025","Tue Jan 14 14:38:29 GMT 2025","36927","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"passed","Tue Jan 14 14:30:40 GMT 2025","Tue Jan 14 14:30:56 GMT 2025","15331","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Tue Jan 14 14:28:16 GMT 2025","Tue Jan 14 14:30:33 GMT 2025","136470","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Tue Jan 14 14:43:35 GMT 2025","Tue Jan 14 14:44:07 GMT 2025","31876","","Home Page Scenarios","","","","Validate marque banner gets frozen when it is paused",""
"passed","Tue Jan 14 14:41:18 GMT 2025","Tue Jan 14 14:42:08 GMT 2025","50097","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Tue Jan 14 14:35:19 GMT 2025","Tue Jan 14 14:36:54 GMT 2025","95258","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Tue Jan 14 14:42:58 GMT 2025","Tue Jan 14 14:43:17 GMT 2025","19297","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"passed","Tue Jan 14 14:48:03 GMT 2025","Tue Jan 14 14:48:37 GMT 2025","34309","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"passed","Tue Jan 14 14:41:17 GMT 2025","Tue Jan 14 14:42:43 GMT 2025","86118","","Cart page Scenarios","","","","[Guest User] Verify Zip code change for Same Day Delivery",""
"broken","Tue Jan 14 14:34:37 GMT 2025","Tue Jan 14 14:38:50 GMT 2025","253427","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Tue Jan 14 14:32:16 GMT 2025","Tue Jan 14 14:33:13 GMT 2025","57497","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"broken","Tue Jan 14 14:33:44 GMT 2025","Tue Jan 14 14:35:13 GMT 2025","89273","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Jan 14 14:47:13 GMT 2025","Tue Jan 14 14:47:38 GMT 2025","25299","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"broken","Tue Jan 14 14:51:15 GMT 2025","Tue Jan 14 14:52:43 GMT 2025","87882","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"passed","Tue Jan 14 14:31:01 GMT 2025","Tue Jan 14 14:32:16 GMT 2025","74700","","Birthday Party Scenarios","","","","guest user books a party without Add-On and verifies the order in admin portal",""
"broken","Tue Jan 14 14:45:34 GMT 2025","Tue Jan 14 14:46:54 GMT 2025","80252","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"broken","Tue Jan 14 14:48:21 GMT 2025","Tue Jan 14 14:49:49 GMT 2025","87530","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"broken","Tue Jan 14 14:51:07 GMT 2025","Tue Jan 14 14:53:32 GMT 2025","144435","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, SDD",""
"broken","Tue Jan 14 14:54:05 GMT 2025","Tue Jan 14 14:55:24 GMT 2025","79253","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Tue Jan 14 14:49:12 GMT 2025","Tue Jan 14 14:49:30 GMT 2025","18336","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"broken","Tue Jan 14 14:42:33 GMT 2025","Tue Jan 14 14:42:46 GMT 2025","12340","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"passed","Tue Jan 14 14:37:06 GMT 2025","Tue Jan 14 14:38:51 GMT 2025","105322","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"broken","Tue Jan 14 14:28:28 GMT 2025","Tue Jan 14 14:30:45 GMT 2025","137376","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
