"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","E2E - Checkout Mixcart Scenarios","","0","2","2","0","0"
"","E2E - Checkout Scenarios -STM","","0","0","2","0","0"
"","E2E - EventHub portal Scenarios","","0","0","1","0","0"
"","Cart page Scenarios","","0","0","7","0","0"
"","Mega menu Scenarios","","0","0","4","0","0"
"","Home Page Scenarios","","0","0","7","0","0"
"","Product Landing Page Scenarios","","1","5","2","0","0"
"","Birthday Party Scenarios","","0","0","2","2","0"
"","E2E - Signup & My Account Scenarios","","0","0","1","0","0"
"","E2E - Checkout Scenarios -SDD","","0","1","0","0","0"
"","E2E - Checkout Scenarios -BOPIS","","0","0","2","0","0"
"","Global Scenarios - Headers & Footer","","0","0","4","0","0"
"","Sign In and Sign Up pages Scenarios","","0","0","4","0","0"
"","E2E - Classes, Events & Project Scenarios","","0","0","1","0","0"
