"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 16 14:44:07 GMT+05:30 2025","Thu Jan 16 14:45:46 GMT+05:30 2025","98738","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, SDD",""
"passed","Thu Jan 16 14:23:13 GMT+05:30 2025","Thu Jan 16 14:26:24 GMT+05:30 2025","190701","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Thu Jan 16 17:17:38 GMT+05:30 2025","Thu Jan 16 17:18:00 GMT+05:30 2025","21891","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Thu Jan 16 15:38:48 GMT+05:30 2025","Thu Jan 16 15:39:55 GMT+05:30 2025","67290","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Thu Jan 16 14:34:13 GMT+05:30 2025","Thu Jan 16 14:36:12 GMT+05:30 2025","118811","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Thu Jan 16 14:42:36 GMT+05:30 2025","Thu Jan 16 14:43:09 GMT+05:30 2025","32519","","Home Page Scenarios","","","","Validate marque banner gets frozen when it is paused",""
"passed","Thu Jan 16 14:36:35 GMT+05:30 2025","Thu Jan 16 14:37:40 GMT+05:30 2025","64105","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"broken","Thu Jan 16 14:59:28 GMT+05:30 2025","Thu Jan 16 14:59:54 GMT+05:30 2025","26650","","Product Landing Page Scenarios","","","","Apply multiple filters on the PLP page",""
"broken","Thu Jan 16 14:32:13 GMT+05:30 2025","Thu Jan 16 14:34:40 GMT+05:30 2025","147060","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Thu Jan 16 14:36:05 GMT+05:30 2025","Thu Jan 16 14:36:35 GMT+05:30 2025","30745","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Thu Jan 16 14:42:21 GMT+05:30 2025","Thu Jan 16 14:42:36 GMT+05:30 2025","15150","","Home Page Scenarios","","","","Validate marque banner progression through automatic rotation",""
"passed","Thu Jan 16 14:31:42 GMT+05:30 2025","Thu Jan 16 14:33:15 GMT+05:30 2025","92866","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
