"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 15 18:47:52 IST 2025","Wed Jan 15 18:48:11 IST 2025","19378","","Product Description Page Scenarios for makerplace","","","","Verify Store link in PDP page",""
"passed","Wed Jan 15 18:31:16 IST 2025","Wed Jan 15 18:31:47 IST 2025","31280","","Store Locator Scenarios","","","","Verify the search functionality of Store Selector pane",""
"passed","Wed Jan 15 18:29:37 IST 2025","Wed Jan 15 18:29:52 IST 2025","15122","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"passed","Wed Jan 15 18:42:03 IST 2025","Wed Jan 15 18:42:31 IST 2025","28175","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page",""
"passed","Wed Jan 15 18:11:48 IST 2025","Wed Jan 15 18:12:29 IST 2025","41493","","E2E - EventHub portal Scenarios","","","","Find a template by searching with template name",""
"passed","Wed Jan 15 18:30:50 IST 2025","Wed Jan 15 18:31:30 IST 2025","40329","","Home Page Scenarios","","","","Validate marque banner gets frozen when it is paused",""
"passed","Wed Jan 15 18:42:53 IST 2025","Wed Jan 15 18:43:54 IST 2025","60748","","Store Locator Scenarios","","","","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard",""
"passed","Wed Jan 15 18:24:34 IST 2025","Wed Jan 15 18:26:39 IST 2025","124674","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Wed Jan 15 18:54:30 IST 2025","Wed Jan 15 18:58:12 IST 2025","222616","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in pdp page",""
"broken","Wed Jan 15 18:48:16 IST 2025","Wed Jan 15 18:49:37 IST 2025","80419","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Wed Jan 15 18:26:48 IST 2025","Wed Jan 15 18:27:19 IST 2025","31275","","Cart page Scenarios","","","","SignIn user able to view cart's empty message",""
"passed","Wed Jan 15 18:13:44 IST 2025","Wed Jan 15 18:14:42 IST 2025","57628","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"passed","Wed Jan 15 19:00:01 IST 2025","Wed Jan 15 19:00:14 IST 2025","13113","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"passed","Wed Jan 15 18:28:46 IST 2025","Wed Jan 15 18:29:37 IST 2025","50646","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"skipped","Wed Jan 15 18:51:00 IST 2025","Wed Jan 15 18:51:02 IST 2025","2060","","Global Scenarios - Header & Footer for Makerplace","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_CLP page for makerplace",""
"passed","Wed Jan 15 18:49:52 IST 2025","Wed Jan 15 18:50:27 IST 2025","35038","","Global Scenarios - Header & Footer for Makerplace","","","","Validate content for global headers and footers in makerplace_CLP page for makerplace",""
"passed","Wed Jan 15 18:32:12 IST 2025","Wed Jan 15 18:33:33 IST 2025","81053","","Cart page Scenarios","","","","[Sign-in User] Verify items in the cart and store Name persist when the guest user signin, signout and re signin",""
"passed","Wed Jan 15 18:38:54 IST 2025","Wed Jan 15 18:39:22 IST 2025","28365","","Store Locator Scenarios","","","","Verify the funtionality of store selector in cart page",""
"passed","Wed Jan 15 18:30:20 IST 2025","Wed Jan 15 18:31:16 IST 2025","55548","","Store Locator Scenarios","","","","Verify and validate each store details from the preview pane",""
"passed","Wed Jan 15 18:42:31 IST 2025","Wed Jan 15 18:43:11 IST 2025","40123","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from cart page",""
"passed","Wed Jan 15 17:52:26 IST 2025","Wed Jan 15 17:54:13 IST 2025","106455","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Wed Jan 15 18:06:45 IST 2025","Wed Jan 15 18:08:46 IST 2025","120988","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, SDD",""
"passed","Wed Jan 15 18:17:35 IST 2025","Wed Jan 15 18:18:08 IST 2025","32765","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"skipped","Wed Jan 15 18:12:06 IST 2025","Wed Jan 15 18:12:07 IST 2025","1177","","E2E - Checkout Scenarios -STM","","","","[Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior",""
"passed","Wed Jan 15 18:27:52 IST 2025","Wed Jan 15 18:29:08 IST 2025","76483","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Wed Jan 15 18:07:57 IST 2025","Wed Jan 15 18:08:39 IST 2025","42004","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"passed","Wed Jan 15 18:03:12 IST 2025","Wed Jan 15 18:05:02 IST 2025","110730","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"passed","Wed Jan 15 18:43:11 IST 2025","Wed Jan 15 18:43:35 IST 2025","23632","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Wed Jan 15 18:46:24 IST 2025","Wed Jan 15 18:48:19 IST 2025","114842","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in clp page",""
"passed","Wed Jan 15 18:38:01 IST 2025","Wed Jan 15 18:38:27 IST 2025","26656","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"broken","Wed Jan 15 18:45:43 IST 2025","Wed Jan 15 18:46:57 IST 2025","74228","","MakerPlace - Mega menu Scenarios","","","","[Guest][MK] Navigating Back to Parent Category via Breadcrumb",""
"passed","Wed Jan 15 17:55:25 IST 2025","Wed Jan 15 17:57:07 IST 2025","102047","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"broken","Wed Jan 15 18:42:42 IST 2025","Wed Jan 15 18:44:11 IST 2025","89207","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Wed Jan 15 17:57:07 IST 2025","Wed Jan 15 17:58:44 IST 2025","96490","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Wed Jan 15 18:22:34 IST 2025","Wed Jan 15 18:22:46 IST 2025","12336","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
