"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Apr 16 17:06:41 CDT 2024","Tue Apr 16 17:07:34 CDT 2024","53058","","P1 E2E Scenarios","","","","P1_09 [Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"broken","Tue Apr 16 17:03:46 CDT 2024","Tue Apr 16 17:04:39 CDT 2024","52860","","P1 E2E Scenarios","","","","P1_06 [Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"broken","Tue Apr 16 17:05:31 CDT 2024","Tue Apr 16 17:05:51 CDT 2024","20053","","P2 E2E Scenarios","","","","P2_03 [Guest user][.com][MIKPro]Place order with Master Credit Card",""
"broken","Tue Apr 16 17:15:29 CDT 2024","Tue Apr 16 17:16:11 CDT 2024","41964","","P2 E2E Scenarios","","","","P2_14 [Sign-Up][Rewards] User can able to register with enrolling reward today",""
"broken","Tue Apr 16 17:00:30 CDT 2024","Tue Apr 16 17:00:59 CDT 2024","29785","","P1 E2E Scenarios","","","","P1_02 [Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"broken","Tue Apr 16 17:10:36 CDT 2024","Tue Apr 16 17:11:01 CDT 2024","25534","","P1 E2E Scenarios","","","","P1_14 [Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"broken","Tue Apr 16 17:10:13 CDT 2024","Tue Apr 16 17:10:37 CDT 2024","24277","","P2 E2E Scenarios","","","","P2_09 [Sign-in User][.com]Verify store Locator page, can search store using city, state and ZIP",""
"broken","Tue Apr 16 17:06:54 CDT 2024","Tue Apr 16 17:07:24 CDT 2024","29565","","P2 E2E Scenarios","","","","P2_05 [Sign-in User][.com][MIKPro]Place order with Master Credit Card",""
"passed","Tue Apr 16 17:05:42 CDT 2024","Tue Apr 16 17:06:41 CDT 2024","59710","","P1 E2E Scenarios","","","","P1_08 [Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Tue Apr 16 17:10:37 CDT 2024","Tue Apr 16 17:12:40 CDT 2024","122852","","P2 E2E Scenarios","","","","P2_10 [Sign-in User][.com]Apply filter on order history page with different criteria",""
"passed","Tue Apr 16 17:12:55 CDT 2024","Tue Apr 16 17:13:47 CDT 2024","51683","","P1 E2E Scenarios","","","","P1_17 [Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Tue Apr 16 17:01:54 CDT 2024","Tue Apr 16 17:02:55 CDT 2024","60672","","P1 E2E Scenarios","","","","P1_04 [Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"broken","Tue Apr 16 17:09:36 CDT 2024","Tue Apr 16 17:10:13 CDT 2024","36363","","P2 E2E Scenarios","","","","P2_08 [Sign-in User][.com]Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Tue Apr 16 17:16:53 CDT 2024","Tue Apr 16 17:17:40 CDT 2024","46174","","P1 E2E Scenarios","","","","P1_22 Edit profile",""
"broken","Tue Apr 16 17:12:40 CDT 2024","Tue Apr 16 17:13:32 CDT 2024","52370","","P2 E2E Scenarios","","","","P2_11 [Sign-in User][.com]Verifying Trending Now In Cart",""
"passed","Tue Apr 16 17:12:01 CDT 2024","Tue Apr 16 17:12:55 CDT 2024","54226","","P1 E2E Scenarios","","","","P1_16 [Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"broken","Tue Apr 16 17:00:00 CDT 2024","Tue Apr 16 17:04:24 CDT 2024","264078","","P2 E2E Scenarios","","","","P2_01 Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Tue Apr 16 17:17:40 CDT 2024","Tue Apr 16 17:18:11 CDT 2024","31114","","P1 E2E Scenarios","","","","P1_23 Reset password",""
"broken","Tue Apr 16 17:07:57 CDT 2024","Tue Apr 16 17:08:52 CDT 2024","54982","","P1 E2E Scenarios","","","","P1_11 [Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"broken","Tue Apr 16 17:00:00 CDT 2024","Tue Apr 16 17:00:30 CDT 2024","29424","","P1 E2E Scenarios","","","","P1_01 [Guest User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Tue Apr 16 17:08:17 CDT 2024","Tue Apr 16 17:09:36 CDT 2024","79463","","P2 E2E Scenarios","","","","P2_07 [Sign-in User][.com]Submit product review on PDP page",""
"passed","Tue Apr 16 17:13:47 CDT 2024","Tue Apr 16 17:14:48 CDT 2024","61224","","P1 E2E Scenarios","","","","P1_18 [Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"broken","Tue Apr 16 17:16:08 CDT 2024","Tue Apr 16 17:16:53 CDT 2024","45258","","P1 E2E Scenarios","","","","P1_21 Forgot password",""
"broken","Tue Apr 16 17:10:11 CDT 2024","Tue Apr 16 17:10:36 CDT 2024","24801","","P1 E2E Scenarios","","","","P1_13 [Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Tue Apr 16 17:11:01 CDT 2024","Tue Apr 16 17:12:01 CDT 2024","60029","","P1 E2E Scenarios","","","","P1_15 [Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"broken","Tue Apr 16 17:03:23 CDT 2024","Tue Apr 16 17:04:06 CDT 2024","42989","","P0 E2E Scenarios","","","","P0_04 [Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Tue Apr 16 17:01:48 CDT 2024","Tue Apr 16 17:02:42 CDT 2024","54125","","P0 E2E Scenarios","","","","P0_02 [Guest User]PlaceOrder using SHIP TO ME",""
"passed","Tue Apr 16 17:04:39 CDT 2024","Tue Apr 16 17:05:42 CDT 2024","62866","","P1 E2E Scenarios","","","","P1_07 [Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Tue Apr 16 17:05:51 CDT 2024","Tue Apr 16 17:06:54 CDT 2024","62903","","P2 E2E Scenarios","","","","P2_04 [Guest user][.com][MIKPro]Place order via PDP page",""
"broken","Tue Apr 16 17:13:32 CDT 2024","Tue Apr 16 17:14:09 CDT 2024","36561","","P2 E2E Scenarios","","","","P2_12 [Sign-in User][.com]Verifying Save for Later In Cart",""
