"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 16 13:14:00 CDT 2024","Tue Jul 16 13:15:21 CDT 2024","80391","","P1 E2E Scenarios - SET 1","","","","P1_06 [Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Tue Jul 16 13:24:38 CDT 2024","Tue Jul 16 13:24:57 CDT 2024","18781","","P2 E2E Scenarios - SET 2","","","","P2_09 [Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"passed","Tue Jul 16 13:21:17 CDT 2024","Tue Jul 16 13:21:54 CDT 2024","37167","","P1 E2E Scenarios - SET 2","","","","P1_23 Reset password",""
"passed","Tue Jul 16 13:19:59 CDT 2024","Tue Jul 16 13:20:52 CDT 2024","53111","","P1 E2E Scenarios - SET 2","","","","P1_21 Forgot password",""
"broken","Tue Jul 16 13:21:06 CDT 2024","Tue Jul 16 13:26:39 CDT 2024","333449","","P2 E2E Scenarios - SET 1","","","","P2_01 Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Tue Jul 16 13:22:27 CDT 2024","Tue Jul 16 13:23:00 CDT 2024","32726","","EventHub portal scenarios","","","","Create template for Online Event",""
"passed","Tue Jul 16 13:26:36 CDT 2024","Tue Jul 16 13:26:45 CDT 2024","8622","","EventHub portal scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Tue Jul 16 13:24:03 CDT 2024","Tue Jul 16 13:24:28 CDT 2024","25249","","EventHub portal scenarios","","","","Create template for In Store Class",""
"broken","Tue Jul 16 13:26:22 CDT 2024","Tue Jul 16 13:27:34 CDT 2024","72448","","P2 E2E Scenarios - SET 2","","","","P2_12 [Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior",""
"passed","Tue Jul 16 13:26:10 CDT 2024","Tue Jul 16 13:26:36 CDT 2024","26328","","EventHub portal scenarios","","","","Create Instructor",""
"passed","Tue Jul 16 13:12:41 CDT 2024","Tue Jul 16 13:14:00 CDT 2024","79127","","P1 E2E Scenarios - SET 1","","","","P1_05 [Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"broken","Tue Jul 16 13:17:40 CDT 2024","Tue Jul 16 13:18:35 CDT 2024","54125","","P1 E2E Scenarios - SET 2","","","","P1_19 [Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Jul 16 13:25:37 CDT 2024","Tue Jul 16 13:26:10 CDT 2024","33487","","EventHub portal scenarios","","","","Find a template by searching with template name",""
"passed","Tue Jul 16 13:25:35 CDT 2024","Tue Jul 16 13:26:22 CDT 2024","47117","","P2 E2E Scenarios - SET 2","","","","P2_11 [Seller account][marketplace] Create product and verify on marketplace listing management",""
"passed","Tue Jul 16 13:11:34 CDT 2024","Tue Jul 16 13:12:41 CDT 2024","67153","","P1 E2E Scenarios - SET 1","","","","P1_04 [Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Tue Jul 16 13:12:09 CDT 2024","Tue Jul 16 13:13:11 CDT 2024","61824","","P0 E2E Scenarios","","","","P0_03 [Guest User]PlaceOrder using Same Day Delivery",""
"failed","Tue Jul 16 13:28:21 CDT 2024","Tue Jul 16 13:30:15 CDT 2024","113279","","P2 E2E Scenarios - SET 1","","","","P2_06 [Sign-in User][.com][MIKPro]Place order via PDP page",""
"passed","Tue Jul 16 13:11:45 CDT 2024","Tue Jul 16 13:13:28 CDT 2024","102421","","P1 E2E Scenarios - SET 2","","","","P1_15 [Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"broken","Tue Jul 16 13:18:39 CDT 2024","Tue Jul 16 13:19:23 CDT 2024","43701","","P1 E2E Scenarios - SET 1","","","","P1_10 [Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Tue Jul 16 13:09:59 CDT 2024","Tue Jul 16 13:10:43 CDT 2024","44502","","P1 E2E Scenarios - SET 1","","","","P1_02 [Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Tue Jul 16 13:25:01 CDT 2024","Tue Jul 16 13:25:37 CDT 2024","35706","","EventHub portal scenarios","","","","Search template by different filter",""
"passed","Tue Jul 16 13:17:39 CDT 2024","Tue Jul 16 13:19:02 CDT 2024","83345","","P0 E2E Scenarios","","","","P0_08 [Sign-in User]PlaceOrder using Same Day Delivery",""
"passed","Tue Jul 16 13:16:10 CDT 2024","Tue Jul 16 13:17:40 CDT 2024","90279","","P1 E2E Scenarios - SET 2","","","","P1_18 [Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"passed","Tue Jul 16 13:23:00 CDT 2024","Tue Jul 16 13:23:27 CDT 2024","27145","","EventHub portal scenarios","","","","Create template for In Store Event",""
"passed","Tue Jul 16 13:27:34 CDT 2024","Tue Jul 16 13:27:47 CDT 2024","12478","","P2 E2E Scenarios - SET 2","","","","P2_13 [Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Tue Jul 16 13:19:23 CDT 2024","Tue Jul 16 13:20:51 CDT 2024","88743","","P1 E2E Scenarios - SET 1","","","","P1_11 [Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Tue Jul 16 13:19:02 CDT 2024","Tue Jul 16 13:19:53 CDT 2024","51145","","P0 E2E Scenarios","","","","P0_09 [Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Tue Jul 16 13:15:18 CDT 2024","Tue Jul 16 13:16:10 CDT 2024","52149","","P1 E2E Scenarios - SET 2","","","","P1_17 [Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Tue Jul 16 13:20:51 CDT 2024","Tue Jul 16 13:22:23 CDT 2024","91234","","P1 E2E Scenarios - SET 1","","","","P1_12 [Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Tue Jul 16 13:23:27 CDT 2024","Tue Jul 16 13:24:03 CDT 2024","35280","","EventHub portal scenarios","","","","Create template for Online Class",""
"passed","Tue Jul 16 13:26:39 CDT 2024","Tue Jul 16 13:27:26 CDT 2024","46558","","P2 E2E Scenarios - SET 1","","","","P2_02 [Guest user][.com]Place order using different variant",""
"passed","Tue Jul 16 13:16:47 CDT 2024","Tue Jul 16 13:17:39 CDT 2024","52083","","P0 E2E Scenarios","","","","P0_07 [Sign-in User]PlaceOrder using SHIP TO ME",""
"broken","Tue Jul 16 13:27:47 CDT 2024","Tue Jul 16 13:28:51 CDT 2024","64255","","P2 E2E Scenarios - SET 2","","","","P2_14 [Sign-Up][Rewards] User can able to register with enrolling reward today",""
"passed","Tue Jul 16 13:22:02 CDT 2024","Tue Jul 16 13:24:38 CDT 2024","155928","","P2 E2E Scenarios - SET 2","","","","P2_08 [Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Tue Jul 16 13:15:14 CDT 2024","Tue Jul 16 13:16:47 CDT 2024","93079","","P0 E2E Scenarios","","","","P0_06 [Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Tue Jul 16 13:27:35 CDT 2024","Tue Jul 16 13:28:06 CDT 2024","31021","","Product Landing Page","","","","Verify product details on PDP, PLP, and Cart Page",""
"passed","Tue Jul 16 13:10:43 CDT 2024","Tue Jul 16 13:11:34 CDT 2024","50765","","P1 E2E Scenarios - SET 1","","","","P1_03 [Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Tue Jul 16 13:26:51 CDT 2024","Tue Jul 16 13:27:35 CDT 2024","43712","","Product Landing Page","","","","Verifying the sort option using various available methods",""
"passed","Tue Jul 16 13:11:15 CDT 2024","Tue Jul 16 13:12:09 CDT 2024","53950","","P0 E2E Scenarios","","","","P0_02 [Guest User]PlaceOrder using SHIP TO ME",""
"passed","Tue Jul 16 13:24:28 CDT 2024","Tue Jul 16 13:25:01 CDT 2024","33190","","EventHub portal scenarios","","","","Create Ondemand Class",""
"passed","Tue Jul 16 13:16:23 CDT 2024","Tue Jul 16 13:17:19 CDT 2024","55431","","P1 E2E Scenarios - SET 1","","","","P1_08 [Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
