"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jul 16 08:39:49 CDT 2024","Tue Jul 16 08:41:31 CDT 2024","101892","","P1 E2E Scenarios - SET 1","","","","P1_11 [Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Tue Jul 16 08:44:54 CDT 2024","Tue Jul 16 08:45:25 CDT 2024","31071","","EventHub portal scenarios","","","","Create Ondemand Class",""
"broken","Tue Jul 16 08:28:15 CDT 2024","Tue Jul 16 08:30:45 CDT 2024","150343","","P1 E2E Scenarios - SET 2","","","","P1_13 [Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Tue Jul 16 08:43:36 CDT 2024","Tue Jul 16 08:44:00 CDT 2024","24439","","EventHub portal scenarios","","","","Create template for In Store Event",""
"broken","Tue Jul 16 08:45:25 CDT 2024","Tue Jul 16 08:46:15 CDT 2024","49320","","EventHub portal scenarios","","","","Search template by different filter",""
"failed","Tue Jul 16 08:32:57 CDT 2024","Tue Jul 16 08:34:18 CDT 2024","81525","","P1 E2E Scenarios - SET 1","","","","P1_05 [Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"passed","Tue Jul 16 08:39:56 CDT 2024","Tue Jul 16 08:40:16 CDT 2024","19268","","P1 E2E Scenarios - SET 2","","","","P1_22 Edit profile",""
"failed","Tue Jul 16 08:35:18 CDT 2024","Tue Jul 16 08:36:33 CDT 2024","75369","","P1 E2E Scenarios - SET 1","","","","P1_07 [Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"failed","Tue Jul 16 08:34:57 CDT 2024","Tue Jul 16 08:36:26 CDT 2024","89495","","P0 E2E Scenarios","","","","P0_06 [Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"failed","Tue Jul 16 08:30:51 CDT 2024","Tue Jul 16 08:31:56 CDT 2024","65941","","P0 E2E Scenarios","","","","P0_02 [Guest User]PlaceOrder using SHIP TO ME",""
"broken","Tue Jul 16 08:42:36 CDT 2024","Tue Jul 16 08:43:36 CDT 2024","59400","","EventHub portal scenarios","","","","Create template for Online Event",""
"passed","Tue Jul 16 08:44:44 CDT 2024","Tue Jul 16 08:45:11 CDT 2024","27544","","P2 E2E Scenarios - SET 2","","","","P2_09 [Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"failed","Tue Jul 16 08:41:31 CDT 2024","Tue Jul 16 08:42:32 CDT 2024","60929","","P1 E2E Scenarios - SET 1","","","","P1_12 [Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Tue Jul 16 08:39:29 CDT 2024","Tue Jul 16 08:40:17 CDT 2024","47393","","P0 E2E Scenarios","","","","P0_09 [Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Tue Jul 16 08:45:11 CDT 2024","Tue Jul 16 08:45:44 CDT 2024","33139","","P2 E2E Scenarios - SET 2","","","","P2_10 [Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
