"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","E2E - Checkout Scenarios -BOPIS","5","0","","0"
"0","","0","E2E - Checkout Scenarios -SDD","5","0","","0"
"1","","0","Cart page Scenarios","12","0","","0"
"0","","0","E2E - Marketplace Scenarios","5","0","","0"
"0","","0","Sign In and Sign Up pages Scenarios","10","0","","0"
"0","","0","E2E - Checkout Scenarios -STM","15","0","","0"
"1","","0","Home Page Scenarios","4","0","","0"
"2","","0","Store Locator Scenarios","11","0","","0"
"0","","0","Global Scenarios - Headers & Footer","9","0","","0"
"2","","0","E2E - Classes, Events & Project Scenarios","4","0","","0"
"0","","0","Birthday Party Scenarios","4","0","","0"
"0","","0","MAP - Admin Portal scenarios","1","0","","0"
"1","","0","Global Scenarios - Header & Footer for Makerplace","4","0","","0"
"0","","0","E2E - Checkout Mixcart Scenarios","4","0","","0"
"1","","0","E2E - Signup & My Account Scenarios","5","0","","0"
"2","","0","Product Landing Page Scenarios","6","0","","0"
"0","","0","Product Description Page Scenarios for makerplace","2","0","","0"
"0","","0","E2E - EventHub portal Scenarios","9","0","","0"
"0","","0","Product Description Page Scenarios","2","0","","0"
"1","","1","Mega menu Scenarios","2","0","","0"
"1","","0","Payment Review page Scenarios","0","0","","0"
"0","","0","E2E - Marketplace seller Scenarios","1","0","","0"
"0","","0","MakerPlace - Mega menu Scenarios","1","0","","0"
