"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jan 17 16:30:04 IST 2025","Fri Jan 17 16:30:06 IST 2025","1917","","E2E - Signup & My Account Scenarios","","","","Validate user navigation and section accessibility for from the dashboard",""
"skipped","Fri Jan 17 16:21:04 IST 2025","Fri Jan 17 16:21:06 IST 2025","2068","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"passed","Fri Jan 17 17:03:33 IST 2025","Fri Jan 17 17:03:53 IST 2025","19421","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"passed","Fri Jan 17 16:35:32 IST 2025","Fri Jan 17 16:36:47 IST 2025","75545","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"skipped","Fri Jan 17 16:54:35 IST 2025","Fri Jan 17 16:54:39 IST 2025","3978","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from plp page",""
"skipped","Fri Jan 17 16:52:45 IST 2025","Fri Jan 17 16:52:48 IST 2025","2999","","Store Locator Scenarios","","","","[Sign-in] Verify preview page links of Store Selector",""
"passed","Fri Jan 17 16:09:55 IST 2025","Fri Jan 17 16:12:30 IST 2025","155146","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Fri Jan 17 16:41:36 IST 2025","Fri Jan 17 16:42:27 IST 2025","51007","","Store Locator Scenarios","","","","Verify preview page links of Store Selector",""
"skipped","Fri Jan 17 16:12:37 IST 2025","Fri Jan 17 16:12:41 IST 2025","4103","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"passed","Fri Jan 17 16:54:45 IST 2025","Fri Jan 17 16:56:07 IST 2025","81667","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in clp page",""
"passed","Fri Jan 17 17:03:53 IST 2025","Fri Jan 17 17:04:13 IST 2025","20288","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Fri Jan 17 16:39:01 IST 2025","Fri Jan 17 16:40:33 IST 2025","92161","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Fri Jan 17 16:37:01 IST 2025","Fri Jan 17 16:39:01 IST 2025","119435","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Fri Jan 17 16:21:05 IST 2025","Fri Jan 17 16:22:47 IST 2025","101573","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com][MIKPro]Place order via PDP page",""
"passed","Fri Jan 17 16:13:31 IST 2025","Fri Jan 17 16:15:21 IST 2025","109258","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Fri Jan 17 16:58:08 IST 2025","Fri Jan 17 16:59:56 IST 2025","108224","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in pdp page",""
"skipped","Fri Jan 17 16:15:50 IST 2025","Fri Jan 17 16:15:57 IST 2025","6415","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Fri Jan 17 16:09:55 IST 2025","Fri Jan 17 16:13:15 IST 2025","200322","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Fri Jan 17 16:34:41 IST 2025","Fri Jan 17 16:36:47 IST 2025","125750","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"skipped","Fri Jan 17 16:29:25 IST 2025","Fri Jan 17 16:29:26 IST 2025","1490","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"skipped","Fri Jan 17 16:22:50 IST 2025","Fri Jan 17 16:22:51 IST 2025","1121","","E2E - Checkout Scenarios -STM","","","","[Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior",""
