"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","117506","[Guest User][.COM]Place order using SHIP TO ME with Gift Card","","Wed Dec 18 14:17:10 IST 2024","passed","Wed Dec 18 14:19:07 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","148245","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card","","Wed Dec 18 14:37:55 IST 2024","passed","Wed Dec 18 14:40:23 IST 2024","","E2E - Marketplace Scenarios","",""
"","56251","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store","","Wed Dec 18 14:50:42 IST 2024","passed","Wed Dec 18 14:51:38 IST 2024","","E2E - Classes, Events & Project Scenarios","",""
"","54037","Verify pagination functionality in PLP page","","Wed Dec 18 15:17:47 IST 2024","passed","Wed Dec 18 15:18:41 IST 2024","","Product Landing Page Scenarios","",""
"","315521","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD","","Wed Dec 18 14:16:34 IST 2024","passed","Wed Dec 18 14:21:50 IST 2024","","E2E - Checkout Mixcart Scenarios","",""
"","16516","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_PLP page for makerplace","","Wed Dec 18 15:32:34 IST 2024","passed","Wed Dec 18 15:32:50 IST 2024","","Global Scenarios - Header & Footer for Makerplace","",""
"","285269","[Sign-in User][.COM]Place order using Store pickup with Gift Card.","","Wed Dec 18 14:27:29 IST 2024","broken","Wed Dec 18 14:32:14 IST 2024","","E2E - Checkout Scenarios -BOPIS","",""
"","236885","[Guest User]PlaceOrder using SHIP TO ME","","Wed Dec 18 14:02:50 IST 2024","passed","Wed Dec 18 14:06:47 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","59625","Verify every link in all carousels on homepage","","Wed Dec 18 15:02:59 IST 2024","broken","Wed Dec 18 15:03:59 IST 2024","","Home Page Scenarios","",""
"","148073","signedIn user books a party with Add-On and verifies the order in admin portal","","Wed Dec 18 14:43:13 IST 2024","passed","Wed Dec 18 14:45:41 IST 2024","","Birthday Party Scenarios","",""
"","114386","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card","","Wed Dec 18 14:40:23 IST 2024","passed","Wed Dec 18 14:42:17 IST 2024","","E2E - Marketplace Scenarios","",""
"","81564","Verify that store options can be updated from the pickup dialog in the cart","","Wed Dec 18 15:12:41 IST 2024","passed","Wed Dec 18 15:14:03 IST 2024","","Store Locator Scenarios","",""
"","67315","Validate content for global headers and footers in pdp page","","Wed Dec 18 15:35:54 IST 2024","passed","Wed Dec 18 15:37:02 IST 2024","","Global Scenarios - Headers & Footer","",""
"","104345","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.","","Wed Dec 18 14:19:07 IST 2024","passed","Wed Dec 18 14:20:52 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","42131","Verify AddToCart functionality in PLP page","","Wed Dec 18 15:14:53 IST 2024","passed","Wed Dec 18 15:15:35 IST 2024","","Product Landing Page Scenarios","",""
"","90736","Verify that products in the cart are grouped separately according to their respective sellers","","Wed Dec 18 14:56:52 IST 2024","passed","Wed Dec 18 14:58:23 IST 2024","","Cart page Scenarios","",""
"","84920","[Guest][MK] Navigating Back to Parent Category via Breadcrumb","","Wed Dec 18 15:25:23 IST 2024","passed","Wed Dec 18 15:26:48 IST 2024","","MakerPlace - Mega menu Scenarios","",""
"","142796","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page","","Wed Dec 18 14:48:45 IST 2024","passed","Wed Dec 18 14:51:08 IST 2024","","Cart page Scenarios","",""
"","37361","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page","","Wed Dec 18 15:26:15 IST 2024","passed","Wed Dec 18 15:26:52 IST 2024","","Sign In and Sign Up pages Scenarios","",""
"","132222","guest user books a party with Add-On and verifies the order in admin portal","","Wed Dec 18 14:41:01 IST 2024","passed","Wed Dec 18 14:43:13 IST 2024","","Birthday Party Scenarios","",""
"","36149","Verify default and changed store pickup options for products in the cart","","Wed Dec 18 15:12:05 IST 2024","broken","Wed Dec 18 15:12:41 IST 2024","","Store Locator Scenarios","",""
"","676835","Validate content for global headers and footers in home page","","Wed Dec 18 15:22:04 IST 2024","passed","Wed Dec 18 15:33:21 IST 2024","","Global Scenarios - Headers & Footer","",""
"","219116","[Guest user][.com]Place order using shipping methods - BOPIS, STM","","Wed Dec 18 14:21:50 IST 2024","passed","Wed Dec 18 14:25:29 IST 2024","","E2E - Checkout Mixcart Scenarios","",""
"","123480","[Guest User] Verify successful PayPal account login from the Payment and Order Review page","","Wed Dec 18 15:06:11 IST 2024","passed","Wed Dec 18 15:08:14 IST 2024","","Cart page Scenarios","",""
"","46004","Verify sign-up page fields and functionality","","Wed Dec 18 15:19:14 IST 2024","passed","Wed Dec 18 15:20:00 IST 2024","","Sign In and Sign Up pages Scenarios","",""
"","19977","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page","","Wed Dec 18 15:38:14 IST 2024","passed","Wed Dec 18 15:38:34 IST 2024","","Global Scenarios - Headers & Footer","",""
"","75500","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_home page for makerplace","","Wed Dec 18 15:31:18 IST 2024","broken","Wed Dec 18 15:32:34 IST 2024","","Global Scenarios - Header & Footer for Makerplace","",""
"","89268","Validate browsing through the megamenu to land on CLP or PLP","","Wed Dec 18 14:59:25 IST 2024","passed","Wed Dec 18 15:00:54 IST 2024","","Mega menu Scenarios","",""
"","212440","Verify signup with invalid data displays error","","Wed Dec 18 15:20:42 IST 2024","passed","Wed Dec 18 15:24:14 IST 2024","","Sign In and Sign Up pages Scenarios","",""
"","58681","Guest user is able to signin from cart page via button","","Wed Dec 18 14:54:17 IST 2024","passed","Wed Dec 18 14:55:16 IST 2024","","Cart page Scenarios","",""
"","44972","Verify submenu navigation, disappearance, parent menu highlight, and options validation","","Wed Dec 18 14:58:40 IST 2024","passed","Wed Dec 18 14:59:25 IST 2024","","Mega menu Scenarios","",""
"","221323","[Guest user][.com]Place order using shipping methods - BOPIS, SDD","","Wed Dec 18 14:28:31 IST 2024","passed","Wed Dec 18 14:32:12 IST 2024","","E2E - Checkout Mixcart Scenarios","",""
"","24481","Verify invalid email message for the forgot password","","Wed Dec 18 15:27:31 IST 2024","passed","Wed Dec 18 15:27:56 IST 2024","","Sign In and Sign Up pages Scenarios","",""
"","112208","[Sign-in User]PlaceOrder using Same Day Delivery","","Wed Dec 18 14:05:22 IST 2024","passed","Wed Dec 18 14:07:14 IST 2024","","E2E - Checkout Scenarios -SDD","",""
"","84012","Verify and validate each store details from the preview pane","","Wed Dec 18 15:05:57 IST 2024","passed","Wed Dec 18 15:07:21 IST 2024","","Store Locator Scenarios","",""
"","176851","guest user books a party without Add-On and verifies the order in admin portal","","Wed Dec 18 14:38:04 IST 2024","passed","Wed Dec 18 14:41:01 IST 2024","","Birthday Party Scenarios","",""
"","126665","[Guest User][.COM]Place order using SHIP TO ME with PLCC","","Wed Dec 18 14:15:03 IST 2024","passed","Wed Dec 18 14:17:10 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","94386","[Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button","","Wed Dec 18 14:51:15 IST 2024","broken","Wed Dec 18 14:52:49 IST 2024","","E2E - Signup & My Account Scenarios","",""
"","52208","Verify the funtionality of store selector in cart page","","Wed Dec 18 15:20:59 IST 2024","passed","Wed Dec 18 15:21:51 IST 2024","","Store Locator Scenarios","",""
"","134513","Update quantity in PDP page and verify order summary in cart, checkout and payment review page","","Wed Dec 18 15:16:06 IST 2024","passed","Wed Dec 18 15:18:20 IST 2024","","Product Description Page Scenarios","",""
"","75424","[Sign-in User][.com][MIKPro]Place order via PDP page","","Wed Dec 18 14:33:03 IST 2024","passed","Wed Dec 18 14:34:19 IST 2024","","E2E - Checkout Scenarios -STM","",""
"","52436","Navigating Back to Parent Category via Breadcrumb","","Wed Dec 18 14:57:19 IST 2024","failed","Wed Dec 18 14:58:12 IST 2024","","Mega menu Scenarios","",""
"","55407","verify user is able to update zipcode for SDD in PLP","","Wed Dec 18 15:19:15 IST 2024","passed","Wed Dec 18 15:20:10 IST 2024","","Product Landing Page Scenarios","",""
"","94885","Validate content for global headers and footers in plp page","","Wed Dec 18 15:34:20 IST 2024","passed","Wed Dec 18 15:35:54 IST 2024","","Global Scenarios - Headers & Footer","",""
