"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 20 04:34:43 CST 2025","Thu Feb 20 04:35:56 CST 2025","73721","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"broken","Thu Feb 20 04:31:29 CST 2025","Thu Feb 20 04:31:55 CST 2025","26129","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Thu Feb 20 04:38:04 CST 2025","Thu Feb 20 04:38:27 CST 2025","22907","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"passed","Thu Feb 20 04:24:36 CST 2025","Thu Feb 20 04:25:14 CST 2025","38376","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"broken","Thu Feb 20 04:11:33 CST 2025","Thu Feb 20 04:13:07 CST 2025","94302","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Thu Feb 20 04:22:32 CST 2025","Thu Feb 20 04:23:10 CST 2025","37858","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Thu Feb 20 04:35:57 CST 2025","Thu Feb 20 04:36:23 CST 2025","26183","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Thu Feb 20 04:36:52 CST 2025","Thu Feb 20 04:37:25 CST 2025","33163","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"broken","Thu Feb 20 04:16:40 CST 2025","Thu Feb 20 04:17:25 CST 2025","44991","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - STM, SDD",""
"broken","Thu Feb 20 04:30:14 CST 2025","Thu Feb 20 04:30:31 CST 2025","16999","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"passed","Thu Feb 20 04:37:25 CST 2025","Thu Feb 20 04:37:43 CST 2025","18057","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"broken","Thu Feb 20 04:15:38 CST 2025","Thu Feb 20 04:16:11 CST 2025","33412","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"broken","Thu Feb 20 04:13:33 CST 2025","Thu Feb 20 04:14:09 CST 2025","35992","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Thu Feb 20 04:30:45 CST 2025","Thu Feb 20 04:31:05 CST 2025","20047","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"passed","Thu Feb 20 04:17:40 CST 2025","Thu Feb 20 04:20:04 CST 2025","143556","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"passed","Thu Feb 20 04:29:29 CST 2025","Thu Feb 20 04:29:47 CST 2025","17809","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"broken","Thu Feb 20 04:11:32 CST 2025","Thu Feb 20 04:12:59 CST 2025","86969","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"broken","Thu Feb 20 04:22:32 CST 2025","Thu Feb 20 04:24:13 CST 2025","101113","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"broken","Thu Feb 20 04:32:22 CST 2025","Thu Feb 20 04:32:47 CST 2025","25051","","Cart page Scenarios","","","","[Guest User] Verify Zip code change for Same Day Delivery",""
"failed","Thu Feb 20 04:25:55 CST 2025","Thu Feb 20 04:28:34 CST 2025","158374","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Thu Feb 20 04:17:59 CST 2025","Thu Feb 20 04:19:46 CST 2025","106837","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Thu Feb 20 04:42:53 CST 2025","Thu Feb 20 04:43:20 CST 2025","26844","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"broken","Thu Feb 20 04:37:46 CST 2025","Thu Feb 20 04:39:18 CST 2025","92055","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Thu Feb 20 04:42:33 CST 2025","Thu Feb 20 04:42:53 CST 2025","20664","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
