"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 21 15:47:08 IST 2025","Fri Feb 21 15:48:35 IST 2025","86993","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in clp page",""
"passed","Fri Feb 21 15:42:27 IST 2025","Fri Feb 21 15:42:55 IST 2025","28180","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Fri Feb 21 15:16:39 IST 2025","Fri Feb 21 15:17:37 IST 2025","57915","","E2E - Signup & My Account Scenarios","","","","Validate user navigation and section accessibility for from the dashboard",""
"passed","Fri Feb 21 15:12:57 IST 2025","Fri Feb 21 15:14:08 IST 2025","70899","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Fri Feb 21 15:06:41 IST 2025","Fri Feb 21 15:07:45 IST 2025","64504","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Fri Feb 21 15:42:03 IST 2025","Fri Feb 21 15:42:27 IST 2025","23163","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"passed","Fri Feb 21 15:07:32 IST 2025","Fri Feb 21 15:08:22 IST 2025","50259","","E2E - Signup & My Account Scenarios","","","","Edit profile",""
"passed","Fri Feb 21 15:43:16 IST 2025","Fri Feb 21 15:43:52 IST 2025","36832","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Fri Feb 21 15:26:27 IST 2025","Fri Feb 21 15:27:06 IST 2025","39356","","Store Locator Scenarios","","","","Verify the search functionality of Store Selector pane",""
"passed","Fri Feb 21 15:20:09 IST 2025","Fri Feb 21 15:20:49 IST 2025","39718","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"broken","Fri Feb 21 14:46:34 IST 2025","Fri Feb 21 14:47:32 IST 2025","57220","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"broken","Fri Feb 21 14:50:36 IST 2025","Fri Feb 21 14:51:17 IST 2025","41121","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"broken","Fri Feb 21 15:32:09 IST 2025","Fri Feb 21 15:32:55 IST 2025","45801","","Cart page Scenarios","","","","Verify that products in the cart are grouped separately according to their respective sellers",""
"passed","Fri Feb 21 15:53:39 IST 2025","Fri Feb 21 15:54:00 IST 2025","21615","","Global Scenarios - Header & Footer for Makerplace","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_home page for makerplace",""
"broken","Fri Feb 21 15:38:36 IST 2025","Fri Feb 21 15:40:05 IST 2025","89010","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"broken","Fri Feb 21 15:02:25 IST 2025","Fri Feb 21 15:03:51 IST 2025","86745","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Fri Feb 21 15:22:52 IST 2025","Fri Feb 21 15:23:08 IST 2025","15497","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"passed","Fri Feb 21 15:32:01 IST 2025","Fri Feb 21 15:32:47 IST 2025","46757","","Store Locator Scenarios","","","","Verify the funtionality of store selector in clp page",""
"broken","Fri Feb 21 15:37:22 IST 2025","Fri Feb 21 15:39:10 IST 2025","108206","","Cart page Scenarios","","","","[Sign-in User] Verify items in the cart and store Name persist when the guest user signin, signout and re signin",""
"broken","Fri Feb 21 19:10:29 IST 2025","Fri Feb 21 19:10:58 IST 2025","29053","","E2E - Marketplace seller Scenarios","","","","[Seller account][marketplace] Create product and verify on marketplace listing management",""
"broken","Fri Feb 21 14:52:54 IST 2025","Fri Feb 21 14:53:27 IST 2025","32895","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Fri Feb 21 15:48:22 IST 2025","Fri Feb 21 15:49:03 IST 2025","40649","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from cart page",""
"broken","Fri Feb 21 15:29:48 IST 2025","Fri Feb 21 15:31:13 IST 2025","85084","","Product Description Page Scenarios","","","","Verify the product variants",""
"broken","Fri Feb 21 15:40:27 IST 2025","Fri Feb 21 15:41:51 IST 2025","84541","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"broken","Fri Feb 21 15:01:21 IST 2025","Fri Feb 21 15:01:49 IST 2025","27805","","E2E - Checkout Scenarios -STM","","","","[Sign-in] Validate Save order for pre-existing user",""
"broken","Fri Feb 21 15:05:20 IST 2025","Fri Feb 21 15:06:44 IST 2025","83746","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Fri Feb 21 16:09:10 IST 2025","Fri Feb 21 16:09:29 IST 2025","19626","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Fri Feb 21 14:59:08 IST 2025","Fri Feb 21 15:08:30 IST 2025","562552","","Birthday Party Scenarios","","","","guest user books a party without Add-On and verifies the order in admin portal",""
"passed","Fri Feb 21 15:49:50 IST 2025","Fri Feb 21 15:50:37 IST 2025","47016","","Product Description Page Scenarios for makerplace","","","","Verify Share links upon hovering share icon",""
"broken","Fri Feb 21 14:54:15 IST 2025","Fri Feb 21 14:54:48 IST 2025","33169","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"broken","Fri Feb 21 15:22:15 IST 2025","Fri Feb 21 15:22:52 IST 2025","36649","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"passed","Fri Feb 21 15:49:03 IST 2025","Fri Feb 21 15:49:39 IST 2025","35918","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Fri Feb 21 14:52:28 IST 2025","Fri Feb 21 14:53:14 IST 2025","46519","","E2E - EventHub portal Scenarios","","","","Search template by different filter",""
"broken","Fri Feb 21 14:42:31 IST 2025","Fri Feb 21 14:43:20 IST 2025","49389","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"passed","Fri Feb 21 15:12:10 IST 2025","Fri Feb 21 15:12:57 IST 2025","47169","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Fri Feb 21 15:50:46 IST 2025","Fri Feb 21 15:54:54 IST 2025","248373","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in pdp page",""
"passed","Fri Feb 21 15:10:20 IST 2025","Fri Feb 21 15:12:10 IST 2025","109500","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Fri Feb 21 14:48:46 IST 2025","Fri Feb 21 14:50:02 IST 2025","76500","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"broken","Fri Feb 21 15:43:40 IST 2025","Fri Feb 21 15:44:37 IST 2025","57630","","Cart page Scenarios","","","","[Guest User] Verify Zip code change for Same Day Delivery",""
"passed","Fri Feb 21 15:14:46 IST 2025","Fri Feb 21 15:15:14 IST 2025","28360","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Fri Feb 21 15:45:58 IST 2025","Fri Feb 21 15:46:36 IST 2025","38649","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from clp page",""
"passed","Fri Feb 21 14:51:04 IST 2025","Fri Feb 21 14:51:39 IST 2025","34969","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"broken","Fri Feb 21 14:47:46 IST 2025","Fri Feb 21 14:48:29 IST 2025","42453","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"broken","Fri Feb 21 14:56:30 IST 2025","Fri Feb 21 14:58:00 IST 2025","89594","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Fri Feb 21 15:47:25 IST 2025","Fri Feb 21 15:48:22 IST 2025","56714","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page",""
"broken","Fri Feb 21 14:42:23 IST 2025","Fri Feb 21 14:43:13 IST 2025","50222","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Fri Feb 21 15:44:56 IST 2025","Fri Feb 21 15:47:08 IST 2025","131568","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in home page",""
"passed","Fri Feb 21 15:45:22 IST 2025","Fri Feb 21 15:45:58 IST 2025","35320","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from home page",""
"passed","Fri Feb 21 15:12:52 IST 2025","Fri Feb 21 15:15:26 IST 2025","153842","","Birthday Party Scenarios","","","","signedIn user books a party with Add-On and verifies the order in admin portal",""
"broken","Fri Feb 21 14:59:31 IST 2025","Fri Feb 21 15:00:59 IST 2025","87839","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"broken","Fri Feb 21 14:56:15 IST 2025","Fri Feb 21 14:57:47 IST 2025","92132","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com]Place order using different variant",""
"broken","Fri Feb 21 15:41:39 IST 2025","Fri Feb 21 15:43:16 IST 2025","96163","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
