"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 22 15:45:32 GMT+05:30 2025","Wed Jan 22 15:47:10 GMT+05:30 2025","97680","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Wed Jan 22 16:16:03 GMT+05:30 2025","Wed Jan 22 16:17:24 GMT+05:30 2025","81058","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Wed Jan 22 16:12:59 GMT+05:30 2025","Wed Jan 22 16:13:18 GMT+05:30 2025","18974","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"passed","Wed Jan 22 16:02:58 GMT+05:30 2025","Wed Jan 22 16:04:16 GMT+05:30 2025","77911","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Wed Jan 22 16:04:16 GMT+05:30 2025","Wed Jan 22 16:05:11 GMT+05:30 2025","54290","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"failed","Wed Jan 22 16:00:49 GMT+05:30 2025","Wed Jan 22 16:02:56 GMT+05:30 2025","127108","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"failed","Wed Jan 22 16:05:22 GMT+05:30 2025","Wed Jan 22 16:07:32 GMT+05:30 2025","129661","","Birthday Party Scenarios","","","","signedIn user books a party with Add-On and verifies the order in admin portal",""
"passed","Wed Jan 22 16:24:53 GMT+05:30 2025","Wed Jan 22 16:25:21 GMT+05:30 2025","27728","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"failed","Wed Jan 22 15:56:26 GMT+05:30 2025","Wed Jan 22 15:58:42 GMT+05:30 2025","136291","","Birthday Party Scenarios","","","","guest user books a party without Add-On and verifies the order in admin portal",""
"broken","Wed Jan 22 16:20:49 GMT+05:30 2025","Wed Jan 22 16:22:11 GMT+05:30 2025","81388","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"broken","Wed Jan 22 15:46:20 GMT+05:30 2025","Wed Jan 22 15:47:59 GMT+05:30 2025","99139","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"broken","Wed Jan 22 16:15:19 GMT+05:30 2025","Wed Jan 22 16:18:31 GMT+05:30 2025","191651","","Cart page Scenarios","","","","[Guest User] Verify Zip code change for Same Day Delivery",""
"broken","Wed Jan 22 16:08:34 GMT+05:30 2025","Wed Jan 22 16:11:58 GMT+05:30 2025","203813","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Wed Jan 22 16:18:45 GMT+05:30 2025","Wed Jan 22 16:19:24 GMT+05:30 2025","38996","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Wed Jan 22 16:14:56 GMT+05:30 2025","Wed Jan 22 16:15:44 GMT+05:30 2025","47482","","Home Page Scenarios","","","","Validate marque banner gets frozen when it is paused",""
"passed","Wed Jan 22 16:14:33 GMT+05:30 2025","Wed Jan 22 16:14:56 GMT+05:30 2025","23650","","Home Page Scenarios","","","","Validate marque banner progression through automatic rotation",""
"passed","Wed Jan 22 16:20:52 GMT+05:30 2025","Wed Jan 22 16:21:35 GMT+05:30 2025","42459","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Wed Jan 22 16:01:57 GMT+05:30 2025","Wed Jan 22 16:02:18 GMT+05:30 2025","20995","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Wed Jan 22 15:52:58 GMT+05:30 2025","Wed Jan 22 15:53:14 GMT+05:30 2025","15647","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Wed Jan 22 16:24:02 GMT+05:30 2025","Wed Jan 22 16:24:29 GMT+05:30 2025","26584","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from clp page",""
"passed","Wed Jan 22 15:57:31 GMT+05:30 2025","Wed Jan 22 15:59:10 GMT+05:30 2025","99085","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"broken","Wed Jan 22 15:50:30 GMT+05:30 2025","Wed Jan 22 15:53:51 GMT+05:30 2025","201359","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"failed","Wed Jan 22 16:19:15 GMT+05:30 2025","Wed Jan 22 16:19:56 GMT+05:30 2025","41143","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Wed Jan 22 16:14:06 GMT+05:30 2025","Wed Jan 22 16:14:33 GMT+05:30 2025","26910","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"failed","Wed Jan 22 15:50:24 GMT+05:30 2025","Wed Jan 22 15:52:47 GMT+05:30 2025","142985","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Wed Jan 22 16:17:24 GMT+05:30 2025","Wed Jan 22 16:18:35 GMT+05:30 2025","71281","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Wed Jan 22 16:15:07 GMT+05:30 2025","Wed Jan 22 16:15:50 GMT+05:30 2025","43164","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"broken","Wed Jan 22 16:03:56 GMT+05:30 2025","Wed Jan 22 16:07:07 GMT+05:30 2025","190395","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - STM, SDD",""
"broken","Wed Jan 22 15:46:20 GMT+05:30 2025","Wed Jan 22 15:47:59 GMT+05:30 2025","99653","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Wed Jan 22 16:22:52 GMT+05:30 2025","Wed Jan 22 16:23:13 GMT+05:30 2025","21790","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Wed Jan 22 16:14:05 GMT+05:30 2025","Wed Jan 22 16:15:07 GMT+05:30 2025","61731","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Wed Jan 22 16:19:56 GMT+05:30 2025","Wed Jan 22 16:20:52 GMT+05:30 2025","56591","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"passed","Wed Jan 22 16:11:49 GMT+05:30 2025","Wed Jan 22 16:14:05 GMT+05:30 2025","136138","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Wed Jan 22 16:13:53 GMT+05:30 2025","Wed Jan 22 16:14:06 GMT+05:30 2025","13027","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"broken","Wed Jan 22 16:25:45 GMT+05:30 2025","Wed Jan 22 16:26:23 GMT+05:30 2025","38350","","Product Landing Page Scenarios","","","","Apply multiple filters on the PLP page",""
"failed","Wed Jan 22 15:51:12 GMT+05:30 2025","Wed Jan 22 15:54:42 GMT+05:30 2025","210724","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"failed","Wed Jan 22 16:09:46 GMT+05:30 2025","Wed Jan 22 16:11:57 GMT+05:30 2025","130747","","Birthday Party Scenarios","","","","signedIn user books a party without Add-On and verifies the order in admin portal",""
"broken","Wed Jan 22 15:57:03 GMT+05:30 2025","Wed Jan 22 16:00:28 GMT+05:30 2025","205054","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"passed","Wed Jan 22 16:22:11 GMT+05:30 2025","Wed Jan 22 16:22:52 GMT+05:30 2025","40795","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Wed Jan 22 16:24:29 GMT+05:30 2025","Wed Jan 22 16:24:53 GMT+05:30 2025","24789","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
