"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 23 17:29:07 CST 2024","Mon Dec 23 17:30:24 CST 2024","76621","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Mon Dec 23 18:01:57 CST 2024","Mon Dec 23 18:03:11 CST 2024","73906","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Mon Dec 23 17:50:08 CST 2024","Mon Dec 23 17:50:46 CST 2024","37874","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"passed","Mon Dec 23 17:24:43 CST 2024","Mon Dec 23 17:26:18 CST 2024","95695","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Mon Dec 23 18:01:23 CST 2024","Mon Dec 23 18:01:45 CST 2024","21543","","Store Locator Scenarios","","","","Verify that the Store Locator can be changed multiple times",""
"passed","Mon Dec 23 18:05:44 CST 2024","Mon Dec 23 18:06:17 CST 2024","32983","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Mon Dec 23 17:58:00 CST 2024","Mon Dec 23 17:58:20 CST 2024","19321","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"passed","Mon Dec 23 18:17:41 CST 2024","Mon Dec 23 18:17:58 CST 2024","17298","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"broken","Mon Dec 23 18:08:08 CST 2024","Mon Dec 23 18:08:44 CST 2024","35377","","Product Landing Page Scenarios","","","","Apply multiple filters on the PLP page",""
"passed","Mon Dec 23 17:27:46 CST 2024","Mon Dec 23 17:29:07 CST 2024","81567","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Mon Dec 23 17:31:35 CST 2024","Mon Dec 23 17:32:36 CST 2024","61210","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Mon Dec 23 17:50:22 CST 2024","Mon Dec 23 17:51:12 CST 2024","49570","","E2E - Signup & My Account Scenarios","","","","Verify visibility of a product under My Favorites section",""
"passed","Mon Dec 23 17:50:04 CST 2024","Mon Dec 23 17:50:22 CST 2024","18109","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Mon Dec 23 17:46:37 CST 2024","Mon Dec 23 17:47:10 CST 2024","32667","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"passed","Mon Dec 23 17:48:19 CST 2024","Mon Dec 23 17:49:21 CST 2024","62272","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Mon Dec 23 18:13:40 CST 2024","Mon Dec 23 18:14:34 CST 2024","54287","","Global Scenarios - Header & Footer for Makerplace","","","","Validate content for global headers and footers in makerplace_home page for makerplace",""
"passed","Mon Dec 23 18:06:17 CST 2024","Mon Dec 23 18:06:36 CST 2024","18672","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
