"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 23 13:38:32 GMT 2024","Wed Oct 23 13:38:33 GMT 2024","298","","E2E - Signup & My Account Scenarios","","","","[Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"failed","Wed Oct 23 13:32:20 GMT 2024","Wed Oct 23 13:34:12 GMT 2024","111756","","E2E - Checkout Scenarios -BOIPS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"skipped","Wed Oct 23 13:49:18 GMT 2024","Wed Oct 23 13:49:19 GMT 2024","287","","Store Locator Scenarios","","","","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard","        validate the details of each store from the preview pane"
"skipped","Wed Oct 23 13:40:22 GMT 2024","Wed Oct 23 13:40:22 GMT 2024","282","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Wed Oct 23 13:42:43 GMT 2024","Wed Oct 23 13:44:16 GMT 2024","93265","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Wed Oct 23 13:49:25 GMT 2024","Wed Oct 23 13:50:34 GMT 2024","68903","","MakerPlace - Mega menu Scenarios","","","","[Guest][MK] Navigating Back to Parent Category via Breadcrumb",""
"passed","Wed Oct 23 13:37:55 GMT 2024","Wed Oct 23 13:39:34 GMT 2024","99540","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"skipped","Wed Oct 23 13:30:40 GMT 2024","Wed Oct 23 13:30:40 GMT 2024","291","","E2E - Checkout Scenarios -STM","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"passed","Wed Oct 23 13:52:46 GMT 2024","Wed Oct 23 13:53:09 GMT 2024","22916","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Wed Oct 23 13:48:31 GMT 2024","Wed Oct 23 13:48:56 GMT 2024","24591","","Store Locator Scenarios","","","","Verify the funtionality of store selector in cart page",""
"passed","Wed Oct 23 13:37:23 GMT 2024","Wed Oct 23 13:38:24 GMT 2024","61391","","E2E - Checkout Scenarios -BOIPS","","","","[Guest user][.com][MIKPro]Place order via PDP page",""
"passed","Wed Oct 23 13:44:25 GMT 2024","Wed Oct 23 13:44:45 GMT 2024","19715","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
