"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 23 14:31:20 IST 2024","Wed Oct 23 14:31:23 IST 2024","3549","","E2E - Checkout Scenarios -BOIPS","","","","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Wed Oct 23 14:55:13 IST 2024","Wed Oct 23 14:56:12 IST 2024","59125","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Wed Oct 23 15:02:36 IST 2024","Wed Oct 23 15:04:23 IST 2024","107051","","MakerPlace - Mega menu Scenarios","","","","[Guest][MK] Navigating Back to Parent Category via Breadcrumb",""
"skipped","Wed Oct 23 14:47:13 IST 2024","Wed Oct 23 14:47:15 IST 2024","2340","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Wed Oct 23 15:08:48 IST 2024","Wed Oct 23 15:09:56 IST 2024","68262","","Global Scenarios - Headers","","","","Validate content for global headers in cart page",""
"passed","Wed Oct 23 14:27:00 IST 2024","Wed Oct 23 14:30:01 IST 2024","180944","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"passed","Wed Oct 23 14:35:39 IST 2024","Wed Oct 23 14:37:34 IST 2024","115251","","E2E - Checkout Scenarios -BOIPS","","","","[Guest user][.com][MIKPro]Place order via PDP page",""
"passed","Wed Oct 23 15:01:40 IST 2024","Wed Oct 23 15:03:57 IST 2024","137018","","Global Scenarios - Headers","","","","Validate content for global headers in home page",""
"passed","Wed Oct 23 14:30:01 IST 2024","Wed Oct 23 14:31:42 IST 2024","100203","","E2E - Checkout Scenarios -STM","","","","[Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"skipped","Wed Oct 23 14:38:20 IST 2024","Wed Oct 23 14:38:29 IST 2024","8192","","E2E - EventHub portal Scenarios","","","","Create Ondemand Class",""
"passed","Wed Oct 23 14:45:06 IST 2024","Wed Oct 23 14:46:59 IST 2024","112209","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
