"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 24 20:21:47 IST 2024","Tue Dec 24 20:22:12 IST 2024","24842","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Tue Dec 24 20:03:57 IST 2024","Tue Dec 24 20:04:49 IST 2024","51782","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"passed","Tue Dec 24 19:47:00 IST 2024","Tue Dec 24 19:50:29 IST 2024","209356","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"broken","Tue Dec 24 20:18:37 IST 2024","Tue Dec 24 20:19:30 IST 2024","52581","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Tue Dec 24 20:20:33 IST 2024","Tue Dec 24 20:21:20 IST 2024","46612","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"skipped","Tue Dec 24 20:55:03 IST 2024","Tue Dec 24 20:55:04 IST 2024","883","","Birthday Party Scenarios","","","","signedIn user books a party without Add-On and verifies the order in admin portal",""
"passed","Tue Dec 24 20:23:18 IST 2024","Tue Dec 24 20:23:50 IST 2024","31854","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Wed Dec 25 00:04:30 IST 2024","Wed Dec 25 00:05:06 IST 2024","35345","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"passed","Tue Dec 24 20:00:57 IST 2024","Tue Dec 24 20:03:35 IST 2024","157766","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"passed","Tue Dec 24 20:09:13 IST 2024","Tue Dec 24 20:10:55 IST 2024","101816","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"broken","Tue Dec 24 19:49:13 IST 2024","Tue Dec 24 19:50:49 IST 2024","96234","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Tue Dec 24 19:59:03 IST 2024","Tue Dec 24 20:00:43 IST 2024","99700","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Tue Dec 24 20:22:42 IST 2024","Tue Dec 24 20:23:11 IST 2024","28314","","Product Landing Page Scenarios","","","","Apply multiple filters on the PLP page",""
"passed","Tue Dec 24 20:11:14 IST 2024","Tue Dec 24 20:11:44 IST 2024","29757","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Tue Dec 24 20:14:59 IST 2024","Tue Dec 24 20:15:12 IST 2024","13298","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"passed","Tue Dec 24 20:14:21 IST 2024","Tue Dec 24 20:14:59 IST 2024","37140","","Home Page Scenarios","","","","Verify every link in all carousels on homepage",""
"passed","Tue Dec 24 20:03:35 IST 2024","Tue Dec 24 20:03:57 IST 2024","21931","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Tue Dec 24 20:24:54 IST 2024","Tue Dec 24 20:25:27 IST 2024","32582","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"passed","Tue Dec 24 20:22:12 IST 2024","Tue Dec 24 20:22:42 IST 2024","30146","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"broken","Wed Dec 25 00:05:06 IST 2024","Wed Dec 25 00:05:56 IST 2024","50024","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"broken","Tue Dec 24 19:55:09 IST 2024","Tue Dec 24 19:58:30 IST 2024","201095","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using all shipping methods - STM, BOPIS, SDD",""
"passed","Tue Dec 24 20:15:12 IST 2024","Tue Dec 24 20:15:30 IST 2024","18144","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"broken","Tue Dec 24 19:53:09 IST 2024","Tue Dec 24 19:54:39 IST 2024","89678","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Tue Dec 24 20:13:25 IST 2024","Tue Dec 24 20:14:09 IST 2024","44048","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Tue Dec 24 20:24:30 IST 2024","Tue Dec 24 20:24:47 IST 2024","16610","","Sign In and Sign Up pages Scenarios","","","","Verify invalid email message for the forgot password",""
"passed","Tue Dec 24 20:23:50 IST 2024","Tue Dec 24 20:24:08 IST 2024","18266","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"broken","Tue Dec 24 20:20:01 IST 2024","Tue Dec 24 20:20:33 IST 2024","31989","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"broken","Tue Dec 24 20:07:30 IST 2024","Tue Dec 24 20:09:03 IST 2024","92463","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, SDD",""
"passed","Tue Dec 24 20:26:04 IST 2024","Tue Dec 24 20:26:24 IST 2024","19281","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"passed","Tue Dec 24 20:25:44 IST 2024","Tue Dec 24 20:26:04 IST 2024","20532","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"broken","Tue Dec 24 20:03:05 IST 2024","Tue Dec 24 20:04:55 IST 2024","110350","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - STM, SDD",""
"passed","Tue Dec 24 20:15:30 IST 2024","Tue Dec 24 20:15:47 IST 2024","16530","","Home Page Scenarios","","","","Validate marque banner progression through automatic rotation",""
"passed","Tue Dec 24 20:11:44 IST 2024","Tue Dec 24 20:13:17 IST 2024","93423","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
