"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 24 16:29:47 IST 2024","Tue Dec 24 16:32:22 IST 2024","154315","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Tue Dec 24 17:00:51 IST 2024","Tue Dec 24 17:01:08 IST 2024","17164","","Global Scenarios - Header & Footer for Makerplace","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_CLP page for makerplace",""
"passed","Tue Dec 24 16:57:59 IST 2024","Tue Dec 24 16:58:33 IST 2024","34660","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"skipped","Tue Dec 24 16:14:13 IST 2024","Tue Dec 24 16:14:14 IST 2024","1121","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Tue Dec 24 16:55:39 IST 2024","Tue Dec 24 16:56:20 IST 2024","41130","","Product Description Page Scenarios for makerplace","","","","Verify Store link in PDP page",""
"passed","Tue Dec 24 16:38:02 IST 2024","Tue Dec 24 16:38:42 IST 2024","39497","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Tue Dec 24 16:48:28 IST 2024","Tue Dec 24 16:49:00 IST 2024","31463","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"passed","Tue Dec 24 16:49:00 IST 2024","Tue Dec 24 16:49:46 IST 2024","46315","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"broken","Tue Dec 24 16:44:50 IST 2024","Tue Dec 24 16:46:18 IST 2024","88031","","Product Description Page Scenarios","","","","Verify the product variants",""
"passed","Tue Dec 24 16:08:52 IST 2024","Tue Dec 24 16:11:21 IST 2024","149701","","E2E - Checkout Scenarios -SDD","","","","[Guest User]PlaceOrder using Same Day Delivery",""
"passed","Tue Dec 24 16:29:12 IST 2024","Tue Dec 24 16:29:33 IST 2024","21912","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"passed","Tue Dec 24 16:56:51 IST 2024","Tue Dec 24 17:01:59 IST 2024","307394","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in pdp page",""
"passed","Tue Dec 24 16:47:41 IST 2024","Tue Dec 24 16:49:20 IST 2024","98746","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"skipped","Tue Dec 24 16:15:48 IST 2024","Tue Dec 24 16:15:53 IST 2024","5289","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Tue Dec 24 16:39:46 IST 2024","Tue Dec 24 16:40:06 IST 2024","19161","","Home Page Scenarios","","","","Verify header labels are displayed in ellipses menu when browser window is minimized",""
"skipped","Tue Dec 24 16:31:53 IST 2024","Tue Dec 24 16:31:54 IST 2024","1271","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Tue Dec 24 17:00:07 IST 2024","Tue Dec 24 17:00:31 IST 2024","24133","","Global Scenarios - Header & Footer for Makerplace","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_home page for makerplace",""
"passed","Tue Dec 24 16:38:42 IST 2024","Tue Dec 24 16:40:22 IST 2024","99693","","Mega menu Scenarios","","","","Validate browsing through the megamenu to land on CLP or PLP",""
"passed","Tue Dec 24 16:08:52 IST 2024","Tue Dec 24 16:12:14 IST 2024","202045","","E2E - Checkout Scenarios -STM","","","","[Guest User]PlaceOrder using SHIP TO ME",""
"skipped","Tue Dec 24 16:27:06 IST 2024","Tue Dec 24 16:27:21 IST 2024","15072","","E2E - Signup & My Account Scenarios","","","","Validate user navigation and section accessibility for from the dashboard",""
"passed","Tue Dec 24 17:01:59 IST 2024","Tue Dec 24 17:02:51 IST 2024","52092","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in cart page",""
"passed","Tue Dec 24 16:46:56 IST 2024","Tue Dec 24 16:47:57 IST 2024","61301","","Store Locator Scenarios","","","","Verify that store options can be updated from the pickup dialog in the cart",""
"passed","Tue Dec 24 16:40:41 IST 2024","Tue Dec 24 16:41:01 IST 2024","20441","","Home Page Scenarios","","","","Validate marque banner progression through automatic rotation",""
"passed","Tue Dec 24 16:36:45 IST 2024","Tue Dec 24 16:38:02 IST 2024","77238","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Tue Dec 24 16:59:11 IST 2024","Tue Dec 24 17:00:07 IST 2024","56197","","Global Scenarios - Header & Footer for Makerplace","","","","Validate content for global headers and footers in makerplace_CLP page for makerplace",""
