"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 17:43:17 IST 2024","Thu Oct 24 17:44:48 IST 2024","91678","","E2E - Signup & My Account Scenarios","","","","[Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Thu Oct 24 17:55:59 IST 2024","Thu Oct 24 17:56:48 IST 2024","49032","","Store Locator Scenarios","","","","[Sign-in] Verify preview page links of Store Selector",""
"broken","Thu Oct 24 17:46:02 IST 2024","Thu Oct 24 17:46:38 IST 2024","35722","","E2E - Signup & My Account Scenarios","","","","[Sign-Up][Rewards] User can able to register with enrolling reward today",""
"passed","Thu Oct 24 17:19:00 IST 2024","Thu Oct 24 17:19:15 IST 2024","14662","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Thu Oct 24 17:29:58 IST 2024","Thu Oct 24 17:31:42 IST 2024","104548","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Thu Oct 24 17:32:11 IST 2024","Thu Oct 24 17:33:47 IST 2024","95590","","E2E - Checkout Scenarios -BOIPS","","","","[Sign-in][.com] automatically discount apply if place order by user who is teacher, military, or senior",""
"passed","Thu Oct 24 17:50:50 IST 2024","Thu Oct 24 17:51:30 IST 2024","39769","","Store Locator Scenarios","","","","Verify the search functionality of Store Selector pane",""
"passed","Thu Oct 24 17:17:11 IST 2024","Thu Oct 24 17:22:31 IST 2024","319445","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"passed","Thu Oct 24 17:34:49 IST 2024","Thu Oct 24 17:36:22 IST 2024","92475","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"broken","Thu Oct 24 17:55:54 IST 2024","Thu Oct 24 17:58:58 IST 2024","184328","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Payment and Order Review page",""
"passed","Thu Oct 24 17:55:07 IST 2024","Thu Oct 24 17:57:01 IST 2024","114046","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"broken","Thu Oct 24 17:34:50 IST 2024","Thu Oct 24 17:35:14 IST 2024","23950","","E2E - Signup & My Account Scenarios","","","","Signup with enrolling reward today",""
"passed","Thu Oct 24 17:53:14 IST 2024","Thu Oct 24 17:54:31 IST 2024","77202","","Store Locator Scenarios","","","","Verify the funtionality of store selector in pdp page",""
"passed","Thu Oct 24 17:40:41 IST 2024","Thu Oct 24 17:41:33 IST 2024","51435","","Cart page Scenarios","","","","Guest user is able to signin from cart page via button",""
"passed","Thu Oct 24 17:14:27 IST 2024","Thu Oct 24 17:15:14 IST 2024","46787","","E2E - EventHub portal Scenarios","","","","Create template for Online Class",""
"passed","Thu Oct 24 17:48:46 IST 2024","Thu Oct 24 17:50:02 IST 2024","75897","","Cart page Scenarios","","","","[Guest User] Verify successful PayPal account login from the Cart page",""
"passed","Thu Oct 24 17:03:19 IST 2024","Thu Oct 24 17:04:59 IST 2024","100593","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"passed","Thu Oct 24 17:45:11 IST 2024","Thu Oct 24 17:46:35 IST 2024","83410","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Thu Oct 24 17:45:44 IST 2024","Thu Oct 24 17:46:38 IST 2024","54006","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"passed","Thu Oct 24 17:02:31 IST 2024","Thu Oct 24 17:03:58 IST 2024","87523","","E2E - Checkout Scenarios -STM","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"passed","Thu Oct 24 17:41:33 IST 2024","Thu Oct 24 17:43:05 IST 2024","91981","","Cart page Scenarios","","","","SignIn user able to view michaels rewards amount",""
"broken","Thu Oct 24 17:39:25 IST 2024","Thu Oct 24 17:41:32 IST 2024","127440","","E2E - Signup & My Account Scenarios","","","","Forgot password",""
"passed","Thu Oct 24 17:01:03 IST 2024","Thu Oct 24 17:02:31 IST 2024","87258","","E2E - Checkout Scenarios -STM","","","","[Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Thu Oct 24 18:09:07 IST 2024","Thu Oct 24 18:09:24 IST 2024","17160","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Thu Oct 24 18:04:08 IST 2024","Thu Oct 24 18:05:04 IST 2024","55747","","Global Scenarios - Headers","","","","Validate content for global headers in cart page",""
"passed","Thu Oct 24 17:54:11 IST 2024","Thu Oct 24 17:55:07 IST 2024","55977","","Product Landing Page Scenarios","","","","Verifying the sort option using various available methods",""
"passed","Thu Oct 24 18:03:24 IST 2024","Thu Oct 24 18:03:42 IST 2024","18946","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Thu Oct 24 17:08:42 IST 2024","Thu Oct 24 17:10:10 IST 2024","88681","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Thu Oct 24 17:06:33 IST 2024","Thu Oct 24 17:10:17 IST 2024","223804","","E2E - Checkout Scenarios -SDD","","","","Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Thu Oct 24 17:42:14 IST 2024","Thu Oct 24 17:43:17 IST 2024","62819","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"passed","Thu Oct 24 17:07:12 IST 2024","Thu Oct 24 17:08:41 IST 2024","89759","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Thu Oct 24 17:45:05 IST 2024","Thu Oct 24 17:45:44 IST 2024","39233","","Mega menu Scenarios","","","","Selecting subcategories for a product in the PLP",""
"passed","Thu Oct 24 17:22:55 IST 2024","Thu Oct 24 17:24:00 IST 2024","64894","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Thu Oct 24 17:10:53 IST 2024","Thu Oct 24 17:12:38 IST 2024","105653","","E2E - Checkout Scenarios -BOIPS","","","","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"passed","Thu Oct 24 17:11:31 IST 2024","Thu Oct 24 17:12:59 IST 2024","88081","","E2E - Checkout Scenarios -STM","","","","[Sign-in User][.COM]Place order using SHIP TO ME with PLCC and Gift Card.",""
"passed","Thu Oct 24 17:59:38 IST 2024","Thu Oct 24 18:00:57 IST 2024","78634","","Global Scenarios - Headers","","","","Validate content for global headers in clp page",""
"passed","Thu Oct 24 17:44:48 IST 2024","Thu Oct 24 17:45:04 IST 2024","15243","","E2E - Signup & My Account Scenarios","","","","[Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Thu Oct 24 17:13:32 IST 2024","Thu Oct 24 17:14:27 IST 2024","54933","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
