"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Product Landing Page Scenarios","","1","0","5","0","0"
"","E2E - Marketplace Scenarios","","0","4","1","0","0"
"","Global Scenarios - Headers","","0","0","9","0","0"
"","E2E - Checkout Scenarios -BOIPS","","0","0","7","1","0"
"","E2E - Signup & My Account Scenarios","","0","1","1","5","0"
"","E2E - EventHub portal Scenarios","","0","4","5","0","0"
"","Cart page Scenarios","","0","2","6","0","0"
"","E2E - Checkout Scenarios -STM","","0","1","9","0","0"
"","MakerPlace - Mega menu Scenarios","","0","1","0","0","0"
"","MAP - Admin Portal scenarios","","0","0","1","0","0"
"","E2E - Checkout Scenarios -SDD","","1","2","2","0","0"
"","E2E - Classes, Events & Project Scenarios","","0","5","1","0","0"
"","Mega menu Scenarios","","0","0","3","0","0"
"","E2E - Marketplace seller Scenarios","","0","0","0","1","0"
"","Product Description Page Scenarios","","1","0","1","0","0"
"","Store Locator Scenarios","","0","0","2","0","0"
"","Home Page Scenarios","","0","0","1","0","0"
