"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98976","[Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Tue Feb 25 14:57:54 IST 2025","broken","Tue Feb 25 14:59:33 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","122779","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Tue Feb 25 14:59:33 IST 2025","broken","Tue Feb 25 15:01:36 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","328985","Validate content for global headers and footers in plp page","","Tue Feb 25 15:51:42 IST 2025","passed","Tue Feb 25 15:57:11 IST 2025","","Global Scenarios - Headers & Footer","",""
"","47386","Search template by different filter","","Tue Feb 25 15:09:33 IST 2025","passed","Tue Feb 25 15:10:21 IST 2025","","E2E - EventHub portal Scenarios","",""
"","21260","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page","","Tue Feb 25 16:01:57 IST 2025","passed","Tue Feb 25 16:02:18 IST 2025","","Global Scenarios - Headers & Footer","",""
"","18572","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page","","Tue Feb 25 16:01:38 IST 2025","passed","Tue Feb 25 16:01:57 IST 2025","","Global Scenarios - Headers & Footer","",""
"","106056","[Guest user][.com]Place order using shipping methods - BOPIS, SDD","","Tue Feb 25 15:10:37 IST 2025","broken","Tue Feb 25 15:12:23 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","88682","Verify that products in the cart are grouped separately according to their respective sellers","","Tue Feb 25 15:29:35 IST 2025","broken","Tue Feb 25 15:31:03 IST 2025","","Cart page Scenarios","",""
"","39322","[Sign-in] Verify user lands on the same page after logging in and logging out from plp page","","Tue Feb 25 15:46:49 IST 2025","passed","Tue Feb 25 15:47:28 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","44030","Verify invalid search keywords display proper error message","","Tue Feb 25 15:29:46 IST 2025","passed","Tue Feb 25 15:30:30 IST 2025","","Home Page Scenarios","",""
"","236309","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card","","Tue Feb 25 15:12:35 IST 2025","broken","Tue Feb 25 15:16:31 IST 2025","","E2E - Marketplace Scenarios","",""
"","57379","Verify visibility of a product under My Favorites section","","Tue Feb 25 15:21:02 IST 2025","passed","Tue Feb 25 15:22:00 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","87182","[Sign-in User][.COM]Place order using Store pickup with Gift Card.","","Tue Feb 25 15:02:37 IST 2025","broken","Tue Feb 25 15:04:04 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","59227","[Sign-in] Validate Adding and Editing the Shipping Address on Checkout and Payment Review pages","","Tue Feb 25 15:11:55 IST 2025","broken","Tue Feb 25 15:12:54 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","40843","Verify submenu navigation, disappearance, parent menu highlight, and options validation","","Tue Feb 25 15:27:05 IST 2025","passed","Tue Feb 25 15:27:45 IST 2025","","Mega menu Scenarios","",""
"","22686","Verify invalid email message for the forgot password","","Tue Feb 25 15:48:33 IST 2025","passed","Tue Feb 25 15:48:56 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","223145","[Sign-in User][.com][MIKPro]Place order via PDP page","","Tue Feb 25 15:13:49 IST 2025","broken","Tue Feb 25 15:17:33 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","27434","Verify that the Store Locator can be changed multiple times","","Tue Feb 25 15:32:35 IST 2025","passed","Tue Feb 25 15:33:03 IST 2025","","Store Locator Scenarios","",""
"","147058","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard","","Tue Feb 25 15:43:06 IST 2025","broken","Tue Feb 25 15:45:33 IST 2025","","Store Locator Scenarios","",""
