"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 27 01:56:37 GMT 2025","Mon Jan 27 01:57:02 GMT 2025","25527","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from cart page",""
"passed","Mon Jan 27 01:57:25 GMT 2025","Mon Jan 27 02:00:08 GMT 2025","162511","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in home page",""
"passed","Mon Jan 27 02:09:10 GMT 2025","Mon Jan 27 02:11:02 GMT 2025","111861","","Global Scenarios - Headers & Footer","","","","Validate content for global headers and footers in cart page",""
"passed","Mon Jan 27 01:31:41 GMT 2025","Mon Jan 27 01:32:37 GMT 2025","56522","","E2E - Signup & My Account Scenarios","","","","Verify visibility of a product under My Favorites section",""
"passed","Mon Jan 27 01:34:04 GMT 2025","Mon Jan 27 01:36:11 GMT 2025","127167","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Trending Now section is displayed in Cart Page",""
"passed","Mon Jan 27 01:09:01 GMT 2025","Mon Jan 27 01:10:19 GMT 2025","78503","","E2E - Checkout Scenarios -STM","","","","Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
"passed","Mon Jan 27 01:26:32 GMT 2025","Mon Jan 27 01:27:37 GMT 2025","65191","","Birthday Party Scenarios","","","","signedIn user books a party with Add-On and verifies the order in admin portal",""
"passed","Mon Jan 27 01:25:15 GMT 2025","Mon Jan 27 01:26:32 GMT 2025","77138","","Birthday Party Scenarios","","","","guest user books a party with Add-On and verifies the order in admin portal",""
"passed","Mon Jan 27 01:51:58 GMT 2025","Mon Jan 27 01:52:16 GMT 2025","17904","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"passed","Mon Jan 27 01:27:37 GMT 2025","Mon Jan 27 01:28:34 GMT 2025","57142","","Birthday Party Scenarios","","","","signedIn user books a party without Add-On and verifies the order in admin portal",""
"failed","Mon Jan 27 01:57:53 GMT 2025","Mon Jan 27 01:59:18 GMT 2025","84890","","Product Landing Page Scenarios","","","","verify user is able to update zipcode for SDD in PLP",""
"passed","Mon Jan 27 01:55:34 GMT 2025","Mon Jan 27 01:56:02 GMT 2025","28584","","Product Landing Page Scenarios","","","","Verify pagination functionality in PLP page",""
"passed","Mon Jan 27 01:10:19 GMT 2025","Mon Jan 27 01:11:21 GMT 2025","61645","","E2E - Checkout Scenarios -STM","","","","[Sign-in User]PlaceOrder using SHIP TO ME",""
"passed","Mon Jan 27 01:17:25 GMT 2025","Mon Jan 27 01:18:36 GMT 2025","71075","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com]Place order using different variant",""
"broken","Mon Jan 27 01:36:30 GMT 2025","Mon Jan 27 01:38:01 GMT 2025","91505","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Mon Jan 27 01:18:19 GMT 2025","Mon Jan 27 01:18:50 GMT 2025","31191","","E2E - EventHub portal Scenarios","","","","Create template for In Store Class",""
"passed","Mon Jan 27 01:54:45 GMT 2025","Mon Jan 27 01:55:34 GMT 2025","49008","","Product Landing Page Scenarios","","","","Verify ViewOptions functionality in PLP page",""
"passed","Mon Jan 27 01:18:45 GMT 2025","Mon Jan 27 01:20:33 GMT 2025","108350","","E2E - Checkout Mixcart Scenarios","","","","[Guest user][.com]Place order using shipping methods - BOPIS, STM",""
"passed","Mon Jan 27 01:08:31 GMT 2025","Mon Jan 27 01:09:42 GMT 2025","71815","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Mon Jan 27 01:42:19 GMT 2025","Mon Jan 27 01:42:40 GMT 2025","20825","","Home Page Scenarios","","","","Verify invalid search keywords display proper error message",""
"broken","Mon Jan 27 01:31:41 GMT 2025","Mon Jan 27 01:33:07 GMT 2025","85919","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Mon Jan 27 02:11:48 GMT 2025","Mon Jan 27 02:12:07 GMT 2025","18468","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"passed","Mon Jan 27 01:55:31 GMT 2025","Mon Jan 27 01:56:02 GMT 2025","30632","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from plp page",""
"passed","Mon Jan 27 02:04:15 GMT 2025","Mon Jan 27 02:05:06 GMT 2025","50802","","Store Locator Scenarios","","","","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard",""
"passed","Mon Jan 27 01:19:32 GMT 2025","Mon Jan 27 01:20:18 GMT 2025","45822","","E2E - EventHub portal Scenarios","","","","Search template by different filter",""
"passed","Mon Jan 27 01:13:56 GMT 2025","Mon Jan 27 01:15:12 GMT 2025","75830","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with Gift Card",""
"passed","Mon Jan 27 01:42:28 GMT 2025","Mon Jan 27 01:43:30 GMT 2025","61723","","Cart page Scenarios","","","","Verify landing on cart page upon clicking ""Edit Cart"" on Checkout page and Payment Review page",""
"passed","Mon Jan 27 01:51:36 GMT 2025","Mon Jan 27 01:52:23 GMT 2025","46799","","Store Locator Scenarios","","","","Verify that store options can be updated from the pickup dialog in the cart",""
"broken","Mon Jan 27 01:46:53 GMT 2025","Mon Jan 27 01:48:10 GMT 2025","77127","","Store Locator Scenarios","","","","Verify that the Store Locator can be changed multiple times",""
"skipped","Mon Jan 27 02:06:48 GMT 2025","Mon Jan 27 02:06:49 GMT 2025","767","","Global Scenarios - Header & Footer for Makerplace","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from makerplace_CLP page for makerplace",""
"passed","Mon Jan 27 02:11:02 GMT 2025","Mon Jan 27 02:11:15 GMT 2025","13208","","Global Scenarios - Headers & Footer","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"broken","Mon Jan 27 02:02:13 GMT 2025","Mon Jan 27 02:03:40 GMT 2025","87391","","Store Locator Scenarios","","","","Verify the funtionality of store selector in coupons page",""
"broken","Mon Jan 27 01:41:04 GMT 2025","Mon Jan 27 01:41:19 GMT 2025","15374","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"passed","Mon Jan 27 01:17:07 GMT 2025","Mon Jan 27 01:17:39 GMT 2025","32460","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"passed","Mon Jan 27 01:21:36 GMT 2025","Mon Jan 27 01:21:50 GMT 2025","14126","","E2E - EventHub portal Scenarios","","","","Verify navigation to the classes & events from the Michaels Admin Portal",""
"passed","Mon Jan 27 01:51:25 GMT 2025","Mon Jan 27 01:51:58 GMT 2025","32658","","Sign In and Sign Up pages Scenarios","","","","Verify social login options on sign up page",""
"passed","Mon Jan 27 01:11:13 GMT 2025","Mon Jan 27 01:12:42 GMT 2025","89083","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Mon Jan 27 01:41:15 GMT 2025","Mon Jan 27 01:41:42 GMT 2025","27202","","Mega menu Scenarios","","","","Verify submenu navigation, disappearance, parent menu highlight, and options validation",""
"skipped","Mon Jan 27 01:23:41 GMT 2025","Mon Jan 27 01:23:41 GMT 2025","20","","E2E - Marketplace seller Scenarios","","","","[Seller account][marketplace] Create product and verify on marketplace listing management",""
"passed","Mon Jan 27 01:40:01 GMT 2025","Mon Jan 27 01:40:50 GMT 2025","49520","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Mon Jan 27 01:21:01 GMT 2025","Mon Jan 27 01:21:36 GMT 2025","35510","","E2E - EventHub portal Scenarios","","","","Create Instructor",""
"passed","Mon Jan 27 01:52:08 GMT 2025","Mon Jan 27 01:53:12 GMT 2025","64226","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Mon Jan 27 01:12:48 GMT 2025","Mon Jan 27 01:13:56 GMT 2025","68322","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"passed","Mon Jan 27 01:40:01 GMT 2025","Mon Jan 27 01:40:25 GMT 2025","23993","","Cart page Scenarios","","","","SignIn user able to view cart's empty message",""
