"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 08:54:50 CDT 2024","Wed Jun 26 08:55:57 CDT 2024","66108","","P1 E2E Scenarios - SET 2","","","","P1_20 [Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"broken","Wed Jun 26 08:57:22 CDT 2024","Wed Jun 26 09:02:42 CDT 2024","319445","","P2 E2E Scenarios - SET 1","","","","P2_01 Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Wed Jun 26 08:50:50 CDT 2024","Wed Jun 26 08:51:46 CDT 2024","56001","","P0 E2E Scenarios","","","","P0_04 [Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"broken","Wed Jun 26 08:54:13 CDT 2024","Wed Jun 26 08:54:50 CDT 2024","37896","","P1 E2E Scenarios - SET 2","","","","P1_19 [Sign-in User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"passed","Wed Jun 26 09:02:59 CDT 2024","Wed Jun 26 09:03:09 CDT 2024","10074","","P2 E2E Scenarios - SET 2","","","","P2_13 [Sign-up] Email-Sign up michaels offers email from footer",""
"passed","Wed Jun 26 09:03:31 CDT 2024","Wed Jun 26 09:04:12 CDT 2024","41448","","P2 E2E Scenarios - SET 1","","","","P2_04 [Guest user][.com][MIKPro]Place order via PDP page",""
"passed","Wed Jun 26 08:48:46 CDT 2024","Wed Jun 26 08:49:28 CDT 2024","42071","","P1 E2E Scenarios - SET 1","","","","P1_03 [Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Wed Jun 26 08:55:57 CDT 2024","Wed Jun 26 08:56:51 CDT 2024","54021","","P1 E2E Scenarios - SET 2","","","","P1_21 Forgot password",""
"passed","Wed Jun 26 08:54:45 CDT 2024","Wed Jun 26 08:55:38 CDT 2024","52791","","P0 E2E Scenarios","","","","P0_08 [Sign-in User]PlaceOrder using Same Day Delivery",""
"passed","Wed Jun 26 08:58:08 CDT 2024","Wed Jun 26 09:00:12 CDT 2024","123322","","P2 E2E Scenarios - SET 2","","","","P2_08 [Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Wed Jun 26 08:56:51 CDT 2024","Wed Jun 26 08:57:32 CDT 2024","41069","","P1 E2E Scenarios - SET 2","","","","P1_22 Edit profile",""
"passed","Wed Jun 26 08:49:02 CDT 2024","Wed Jun 26 08:49:45 CDT 2024","42434","","P0 E2E Scenarios","","","","P0_02 [Guest User]PlaceOrder using SHIP TO ME",""
"passed","Wed Jun 26 08:52:36 CDT 2024","Wed Jun 26 08:53:46 CDT 2024","70039","","P0 E2E Scenarios","","","","P0_06 [Sign-in User]PlaceOrder using Store pickup",""
"passed","Wed Jun 26 09:00:35 CDT 2024","Wed Jun 26 09:01:09 CDT 2024","33589","","EventHub portal scenarios","","","","Create template for Online Event",""
