"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","83261","[Guest user][.com]Place order using shipping methods - STM, SDD","","Mon Jan 27 18:45:59 IST 2025","broken","Mon Jan 27 18:47:23 IST 2025","","E2E - Checkout Mixcart Scenarios","",""
"","47686","Verify ViewOptions functionality in PLP page","","Mon Jan 27 17:45:14 IST 2025","passed","Mon Jan 27 17:46:01 IST 2025","","Product Landing Page Scenarios","",""
"","127245","[Guest User] Verify successful PayPal account login from the Payment and Order Review page","","Mon Jan 27 18:38:05 IST 2025","passed","Mon Jan 27 18:40:12 IST 2025","","Cart page Scenarios","",""
"","15362","Validate marque banner progression through automatic rotation","","Mon Jan 27 17:04:22 IST 2025","passed","Mon Jan 27 17:04:38 IST 2025","","Home Page Scenarios","",""
"","24105","Verify pagination functionality in PLP page","","Mon Jan 27 17:12:26 IST 2025","passed","Mon Jan 27 17:12:50 IST 2025","","Product Landing Page Scenarios","",""
"","100787","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card","","Mon Jan 27 16:53:34 IST 2025","broken","Mon Jan 27 16:55:15 IST 2025","","E2E - Classes, Events & Project Scenarios","",""
"","94897","[Sign-up] Email-Sign up michaels offers email from footer","","Mon Jan 27 16:54:38 IST 2025","passed","Mon Jan 27 16:56:13 IST 2025","","E2E - Signup & My Account Scenarios","",""
"","58560","guest user books a party with Add-On and verifies the order in admin portal","","Mon Jan 27 16:51:33 IST 2025","passed","Mon Jan 27 16:52:32 IST 2025","","Birthday Party Scenarios","",""
"","123668","[Guest User][.COM]Place order using Store pickup with Master Credit Card","","Mon Jan 27 18:35:23 IST 2025","passed","Mon Jan 27 18:37:27 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","186936","[Guest User]PlaceOrder using Store pickup and verify the order ID in admin portal","","Mon Jan 27 16:42:58 IST 2025","passed","Mon Jan 27 16:46:05 IST 2025","","E2E - Checkout Scenarios -BOPIS","",""
"","65126","signedIn user books a party without Add-On and verifies the order in admin portal","","Mon Jan 27 16:53:25 IST 2025","passed","Mon Jan 27 16:54:31 IST 2025","","Birthday Party Scenarios","",""
"","27922","Selecting subcategories for a product in the PLP","","Mon Jan 27 16:58:12 IST 2025","passed","Mon Jan 27 16:58:40 IST 2025","","Mega menu Scenarios","",""
"","108785","Navigating Back to Parent Category via Breadcrumb","","Mon Jan 27 16:56:23 IST 2025","passed","Mon Jan 27 16:58:12 IST 2025","","Mega menu Scenarios","",""
"","75183","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page","","Mon Jan 27 17:06:25 IST 2025","passed","Mon Jan 27 17:07:40 IST 2025","","Product Landing Page Scenarios","",""
"","47066","Verify sign-in options on homepage","","Mon Jan 27 17:02:05 IST 2025","passed","Mon Jan 27 17:02:52 IST 2025","","Home Page Scenarios","",""
"","196159","[Guest User]PlaceOrder using SHIP TO ME","","Mon Jan 27 16:42:59 IST 2025","passed","Mon Jan 27 16:46:15 IST 2025","","E2E - Checkout Scenarios -STM","",""
"","31712","Verify social login options on sign up page","","Mon Jan 27 17:05:30 IST 2025","passed","Mon Jan 27 17:06:02 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","22596","verify user is able to update zipcode for SDD in PLP","","Mon Jan 27 17:13:13 IST 2025","passed","Mon Jan 27 17:13:36 IST 2025","","Product Landing Page Scenarios","",""
"","81688","Verify sign-up page fields and functionality","","Mon Jan 27 17:07:15 IST 2025","broken","Mon Jan 27 17:08:37 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","22893","Verify all shipping methods are displayed in PLP page","","Mon Jan 27 17:12:50 IST 2025","passed","Mon Jan 27 17:13:13 IST 2025","","Product Landing Page Scenarios","",""
"","35734","Verify every link in all carousels on homepage","","Mon Jan 27 17:03:11 IST 2025","passed","Mon Jan 27 17:03:47 IST 2025","","Home Page Scenarios","",""
"","11696","Verify header labels are displayed in ellipses menu when browser window is minimized","","Mon Jan 27 17:03:47 IST 2025","passed","Mon Jan 27 17:03:59 IST 2025","","Home Page Scenarios","",""
"","39269","Verify sign in with invalid credentials displays error","","Mon Jan 27 17:08:37 IST 2025","passed","Mon Jan 27 17:09:16 IST 2025","","Sign In and Sign Up pages Scenarios","",""
"","43391","[Guest User] Verify successful PayPal account login from the Cart page","","Mon Jan 27 17:01:59 IST 2025","passed","Mon Jan 27 17:02:43 IST 2025","","Cart page Scenarios","",""
"","33421","Verify the user is able to click on the ""Back to Top"" up arrow button from home page","","Mon Jan 27 17:09:44 IST 2025","passed","Mon Jan 27 17:10:17 IST 2025","","Global Scenarios - Headers & Footer","",""
