"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 27 23:04:19 GMT 2024","Thu Jun 27 23:04:30 GMT 2024","10762","","P2 E2E Scenarios - SET 2","","","","P2_14 [Sign-Up][Rewards] User can able to register with enrolling reward today",""
"broken","Thu Jun 27 22:51:40 GMT 2024","Thu Jun 27 22:52:17 GMT 2024","37107","","P1 E2E Scenarios - SET 2","","","","P1_14 [Sign-in User][Classes & Events][.COM]Free Classes & Events in store",""
"broken","Thu Jun 27 22:59:19 GMT 2024","Thu Jun 27 23:04:47 GMT 2024","328284","","P2 E2E Scenarios - SET 1","","","","P2_01 Guest-1 MIK Product and 1 SDD Product and 1 MIK Class and 1 MKP with Credit Card",""
"passed","Thu Jun 27 22:51:52 GMT 2024","Thu Jun 27 22:52:36 GMT 2024","43654","","P0 E2E Scenarios","","","","P0_02 [Guest User]PlaceOrder using SHIP TO ME",""
"failed","Thu Jun 27 22:51:07 GMT 2024","Thu Jun 27 22:51:32 GMT 2024","24694","","P1 E2E Scenarios - SET 1","","","","P1_03 [Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"passed","Thu Jun 27 23:06:16 GMT 2024","Thu Jun 27 23:07:02 GMT 2024","45975","","P2 E2E Scenarios - SET 1","","","","P2_06 [Sign-in User][.com][MIKPro]Place order via PDP page",""
"broken","Thu Jun 27 23:01:36 GMT 2024","Thu Jun 27 23:02:02 GMT 2024","26137","","EventHub portal scenarios","","","","Create template for In Store Class",""
"failed","Thu Jun 27 22:54:22 GMT 2024","Thu Jun 27 22:54:47 GMT 2024","25061","","P1 E2E Scenarios - SET 1","","","","P1_07 [Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"broken","Thu Jun 27 23:02:02 GMT 2024","Thu Jun 27 23:02:14 GMT 2024","11773","","EventHub portal scenarios","","","","Create Ondemand Class",""
"passed","Thu Jun 27 23:04:09 GMT 2024","Thu Jun 27 23:04:19 GMT 2024","10173","","P2 E2E Scenarios - SET 2","","","","P2_13 [Sign-up] Email-Sign up michaels offers email from footer",""
"broken","Thu Jun 27 23:01:10 GMT 2024","Thu Jun 27 23:01:36 GMT 2024","25660","","EventHub portal scenarios","","","","Create template for Online Class",""
"passed","Thu Jun 27 22:59:43 GMT 2024","Thu Jun 27 23:01:36 GMT 2024","113438","","P2 E2E Scenarios - SET 2","","","","P2_08 [Sign-in User][.com] Reordering from order history page by clicking on ""Buy All Again"" Button",""
"passed","Thu Jun 27 22:54:14 GMT 2024","Thu Jun 27 22:55:07 GMT 2024","52701","","P1 E2E Scenarios - SET 2","","","","P1_17 [Sign-in User][.COM]Place order using SHIP TO ME with Master Credit Card.",""
"passed","Thu Jun 27 22:53:01 GMT 2024","Thu Jun 27 22:53:57 GMT 2024","56570","","P0 E2E Scenarios","","","","P0_04 [Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Thu Jun 27 22:51:32 GMT 2024","Thu Jun 27 22:52:30 GMT 2024","58846","","P1 E2E Scenarios - SET 1","","","","P1_04 [Guest User][.COM]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Thu Jun 27 22:54:40 GMT 2024","Thu Jun 27 22:56:22 GMT 2024","101492","","P0 E2E Scenarios","","","","P0_06 [Sign-in User]PlaceOrder using Store pickup and verify the order ID in admin portal",""
"failed","Thu Jun 27 22:57:03 GMT 2024","Thu Jun 27 22:57:38 GMT 2024","35276","","P1 E2E Scenarios - SET 2","","","","P1_20 [Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"broken","Thu Jun 27 22:50:40 GMT 2024","Thu Jun 27 22:51:07 GMT 2024","26708","","P1 E2E Scenarios - SET 1","","","","P1_02 [Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Thu Jun 27 22:52:55 GMT 2024","Thu Jun 27 22:54:22 GMT 2024","87312","","P1 E2E Scenarios - SET 1","","","","P1_06 [Guest User][.COM+MarketPlace]Place order using Store Pickup with PLCC and Gift Card",""
"passed","Thu Jun 27 22:58:17 GMT 2024","Thu Jun 27 22:59:36 GMT 2024","79238","","P1 E2E Scenarios - SET 1","","","","P1_12 [Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Thu Jun 27 22:56:57 GMT 2024","Thu Jun 27 22:58:17 GMT 2024","79785","","P1 E2E Scenarios - SET 1","","","","P1_11 [Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Thu Jun 27 22:53:57 GMT 2024","Thu Jun 27 22:54:40 GMT 2024","42665","","P0 E2E Scenarios","","","","P0_05 Search product and then PlaceOrder using SHIP TO ME with Sign-in user",""
