"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 28 20:37:14 IST 2024","Thu Nov 28 20:39:20 IST 2024","125462","","E2E - Checkout Scenarios -BOPIS","","","","[Guest user][.com][MIKPro]Place order via PDP page",""
"skipped","Thu Nov 28 21:23:39 IST 2024","Thu Nov 28 21:23:42 IST 2024","2543","","Store Locator Scenarios","","","","[Sign-in] Verify preview page links of Store Selector",""
"passed","Thu Nov 28 21:13:14 IST 2024","Thu Nov 28 21:15:19 IST 2024","124697","","Store Locator Scenarios","","","","Verify preview page links of Store Selector",""
"passed","Thu Nov 28 21:16:41 IST 2024","Thu Nov 28 21:17:22 IST 2024","40386","","Store Locator Scenarios","","","","Verify the search functionality of Store Selector pane",""
"passed","Thu Nov 28 20:50:52 IST 2024","Thu Nov 28 20:52:17 IST 2024","84719","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Project][.COM]Place order using SHIP TO ME with Master Credit Card",""
"broken","Thu Nov 28 20:49:20 IST 2024","Thu Nov 28 20:50:52 IST 2024","92517","","E2E - Classes, Events & Project Scenarios","","","","[Guest User][Classes & Events][.COM]Free Classes & Events in store",""
"passed","Thu Nov 28 21:24:38 IST 2024","Thu Nov 28 21:27:51 IST 2024","193446","","Global Scenarios - Headers","","","","Validate content for global headers and footers in home page",""
"passed","Thu Nov 28 21:23:01 IST 2024","Thu Nov 28 21:24:22 IST 2024","80797","","Product Description Page Scenarios","","","","Update quantity in PDP page and verify order summary in cart, checkout and payment review page",""
"skipped","Thu Nov 28 20:57:47 IST 2024","Thu Nov 28 20:57:49 IST 2024","2274","","Cart page Scenarios","","","","SignIn user able to view michaels rewards amount",""
"skipped","Thu Nov 28 20:36:36 IST 2024","Thu Nov 28 20:36:38 IST 2024","2321","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with PLCC.",""
"broken","Thu Nov 28 21:22:26 IST 2024","Thu Nov 28 21:24:18 IST 2024","112514","","Product Landing Page Scenarios","","","","Verify AddToCart functionality in PLP page",""
"passed","Thu Nov 28 21:20:17 IST 2024","Thu Nov 28 21:20:52 IST 2024","35021","","Store Locator Scenarios","","","","Verify the funtionality of store selector in clp page",""
"skipped","Thu Nov 28 21:23:42 IST 2024","Thu Nov 28 21:23:48 IST 2024","6237","","Store Locator Scenarios","","","","[Sign-in] Verify all store details from the preview pane and change store selection from the Account Dashboard",""
"skipped","Thu Nov 28 20:37:07 IST 2024","Thu Nov 28 20:37:14 IST 2024","7039","","E2E - Checkout Scenarios -BOPIS","","","","[Sign-in User][.COM]Place order using Store pickup with Gift Card.",""
"passed","Thu Nov 28 21:25:36 IST 2024","Thu Nov 28 21:26:10 IST 2024","34827","","Product Landing Page Scenarios","","","","Verify all shipping methods are displayed in PLP page",""
"passed","Thu Nov 28 21:17:45 IST 2024","Thu Nov 28 21:19:18 IST 2024","92570","","Store Locator Scenarios","","","","Verify default and changed store pickup options for products in the cart",""
"passed","Thu Nov 28 20:53:03 IST 2024","Thu Nov 28 20:55:09 IST 2024","126493","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day delivery with PLCC",""
"passed","Thu Nov 28 21:35:02 IST 2024","Thu Nov 28 21:35:22 IST 2024","19680","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from plp page",""
"passed","Thu Nov 28 21:34:28 IST 2024","Thu Nov 28 21:34:45 IST 2024","16874","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from home page",""
"passed","Thu Nov 28 21:20:52 IST 2024","Thu Nov 28 21:21:35 IST 2024","42948","","Store Locator Scenarios","","","","Verify the funtionality of store selector in plp page",""
"passed","Thu Nov 28 20:51:02 IST 2024","Thu Nov 28 20:53:03 IST 2024","120517","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Ship to me with Master Credit Card",""
"passed","Thu Nov 28 21:12:48 IST 2024","Thu Nov 28 21:13:16 IST 2024","27790","","Home Page Scenarios","","","","Verify marque banner and links on homepage",""
"passed","Thu Nov 28 21:16:14 IST 2024","Thu Nov 28 21:23:01 IST 2024","407489","","Product Description Page Scenarios","","","","Verify the product variants",""
"skipped","Thu Nov 28 20:52:17 IST 2024","Thu Nov 28 20:52:20 IST 2024","3105","","E2E - Classes, Events & Project Scenarios","","","","[Sign-in User][Classes & Events][.COM]Free Classes & Events at online",""
"passed","Thu Nov 28 21:19:09 IST 2024","Thu Nov 28 21:20:41 IST 2024","92274","","Product Landing Page Scenarios","","","","Verify product details on PLP, PDP, Cart Slider, Cart , Checkout and Payment Review Page",""
"passed","Thu Nov 28 20:33:09 IST 2024","Thu Nov 28 20:34:46 IST 2024","97130","","E2E - Checkout Scenarios -STM","","","","[Guest User]MarketPlace PlaceOrder using SHIP TO ME",""
"passed","Thu Nov 28 20:39:01 IST 2024","Thu Nov 28 20:40:27 IST 2024","86466","","E2E - Checkout Scenarios -STM","","","","[Guest user][.com]Place order using different variant",""
"passed","Thu Nov 28 21:26:10 IST 2024","Thu Nov 28 21:27:11 IST 2024","60897","","Sign In and Sign Up pages Scenarios","","","","Verify sign in with invalid credentials displays error",""
"passed","Thu Nov 28 20:58:17 IST 2024","Thu Nov 28 21:01:03 IST 2024","166755","","Mega menu Scenarios","","","","Navigating Back to Parent Category via Breadcrumb",""
"passed","Thu Nov 28 20:55:09 IST 2024","Thu Nov 28 20:57:59 IST 2024","170053","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Same Day Delivery with Master Credit Card and Gift Card",""
"passed","Thu Nov 28 21:25:33 IST 2024","Thu Nov 28 21:26:10 IST 2024","36669","","Sign In and Sign Up pages Scenarios","","","","Verify sign-up page fields and functionality",""
"skipped","Thu Nov 28 21:28:29 IST 2024","Thu Nov 28 21:28:38 IST 2024","8940","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from clp page",""
"skipped","Thu Nov 28 21:28:27 IST 2024","Thu Nov 28 21:28:29 IST 2024","1872","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from home page",""
"passed","Thu Nov 28 21:26:58 IST 2024","Thu Nov 28 21:27:52 IST 2024","54322","","Product Landing Page Scenarios","","","","Apply multiple filters on the PLP page",""
"skipped","Thu Nov 28 20:40:39 IST 2024","Thu Nov 28 20:40:39 IST 2024","12","","E2E - EventHub portal Scenarios","","","","Create template for Online Event",""
"passed","Thu Nov 28 20:33:12 IST 2024","Thu Nov 28 20:34:56 IST 2024","104374","","E2E - Checkout Scenarios -BOPIS","","","","[Guest User][.COM]Place order using Store pickup with Master Credit Card",""
"skipped","Thu Nov 28 20:53:43 IST 2024","Thu Nov 28 20:54:35 IST 2024","51486","","Cart page Scenarios","","","","[Sign-in User][.com] Verify Save for Later & Move to Cart option in Cart Page",""
"passed","Thu Nov 28 20:56:14 IST 2024","Thu Nov 28 20:56:47 IST 2024","33660","","Cart page Scenarios","","","","Guest user is able to signin from cart page via signInlink",""
"skipped","Thu Nov 28 20:52:44 IST 2024","Thu Nov 28 20:52:44 IST 2024","130","","MAP - Admin Portal scenarios","","","","[Sign-in] Verifying the Category & Content list display for ""FAQ Management""",""
"skipped","Thu Nov 28 20:41:59 IST 2024","Thu Nov 28 20:42:08 IST 2024","8781","","E2E - EventHub portal Scenarios","","","","Create Instructor",""
"passed","Thu Nov 28 20:54:35 IST 2024","Thu Nov 28 20:56:14 IST 2024","98638","","Cart page Scenarios","","","","Validate addition and removal of items quantity in the Cart Page",""
"skipped","Thu Nov 28 21:28:38 IST 2024","Thu Nov 28 21:28:40 IST 2024","2009","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from plp page",""
"passed","Thu Nov 28 20:35:08 IST 2024","Thu Nov 28 20:36:57 IST 2024","108919","","E2E - Checkout Scenarios -STM","","","","[Guest User][.COM]Place order using SHIP TO ME with PLCC",""
"skipped","Thu Nov 28 20:36:39 IST 2024","Thu Nov 28 20:36:43 IST 2024","4670","","E2E - Checkout Scenarios -SDD","","","","[Sign-in User][.COM]Place order using Same Day Delivery with Master Credit Card and Gift Card.",""
"passed","Thu Nov 28 21:19:18 IST 2024","Thu Nov 28 21:20:17 IST 2024","58825","","Store Locator Scenarios","","","","Verify that store options can be updated from the pickup dialog in the cart",""
"skipped","Thu Nov 28 21:00:12 IST 2024","Thu Nov 28 21:00:15 IST 2024","2929","","Cart page Scenarios","","","","[Sign-in User] Verify items in the cart and store Name persist when the guest user signin, signout and re signin",""
"passed","Thu Nov 28 21:10:55 IST 2024","Thu Nov 28 21:12:48 IST 2024","113631","","Home Page Scenarios","","","","Verify sign-in options on homepage",""
"passed","Thu Nov 28 20:43:11 IST 2024","Thu Nov 28 20:48:58 IST 2024","346807","","E2E - Marketplace Scenarios","","","","[Guest User][.COM+MarketPlace]Place order using Store Pickup with Gift Card",""
"skipped","Thu Nov 28 20:40:27 IST 2024","Thu Nov 28 20:40:28 IST 2024","1021","","E2E - Checkout Scenarios -STM","","","","[Sign-in] Validate Adding and Editing the Shipping Address on Checkout and Payment Review pages",""
"passed","Thu Nov 28 21:21:35 IST 2024","Thu Nov 28 21:22:13 IST 2024","38309","","Store Locator Scenarios","","","","Verify the funtionality of store selector in pdp page",""
"skipped","Thu Nov 28 20:40:39 IST 2024","Thu Nov 28 20:41:31 IST 2024","52221","","E2E - EventHub portal Scenarios","","","","Create template for In Store Event",""
"skipped","Thu Nov 28 21:28:44 IST 2024","Thu Nov 28 21:28:47 IST 2024","3022","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from cart page",""
"skipped","Thu Nov 28 20:52:08 IST 2024","Thu Nov 28 20:52:59 IST 2024","51158","","E2E - Signup & My Account Scenarios","","","","Reset password",""
"passed","Thu Nov 28 21:35:22 IST 2024","Thu Nov 28 21:35:42 IST 2024","20781","","Global Scenarios - Headers","","","","Verify the user is able to click on the ""Back to Top"" up arrow button from pdp page",""
"skipped","Thu Nov 28 21:28:40 IST 2024","Thu Nov 28 21:28:44 IST 2024","4530","","Sign In and Sign Up pages Scenarios","","","","[Sign-in] Verify user lands on the same page after logging in and logging out from pdp page",""
